name,marca,descrizione,image_url
BOEROHP BRILLANTE,Boero,"BoeroHP Brillante è uno smalto brillante all'acqua ad alte prestazioni A+, alchido-uretanico, monocomponente, inodore, con elevata durezza superficiale e resistenza in esterno, all'unto, al grasso delle mani e al graffio. Totalmente esente dal fenomeno del blocking. Dall'eccellente copertura, si distingue per ottima elasticità e distensione.
Dotato di certificazione IAQ (Indoor Air Quality) “A+” e certificato di qualità ambientale EPD®.",N/D
BOEROHP SATINATO,Boero,"BoeroHP Satinato è uno smalto satinato all'acqua ad alte prestazioni A+ (secondo la certificazione IAQ, Indoor Air Quality). Lo smalto BoeroHP Satinato poliuretanico, monocomponente, inodore, presenta elevata durezza superficiale e resistenza in esterno, all'unto, al grasso delle mani e al graffio. Totalmente esente dal fenomeno del blocking e dall'eccellente copertura, si distingue per ottima elasticità e distensione.
Dotato di certificato di qualità ambientale EPD®.",N/D
BOEROHP OPACO,Boero,"BoeroHP Opaco è uno smalto opaco all'acqua ad alte prestazioni A+, poliuretanico, monocomponente, inodore, con elevata durezza superficiale e resistenza in esterno, all'unto, al grasso delle mani e al graffio. Totalmente esente dal fenomeno del blocking. Dall'eccellente copertura, si distingue per ottima elasticità e distensione.
Con certificazione IAQ (Indoor Air Quality) “A+” e  dotato di certificato di qualità ambientale EPD®.",N/D
MAGNUM BRILLANTE,Boero,"Magnum Brillante è uno smalto brillante all’acqua HACCP e A+, APEO FREE e inodore. Si distingue per un punto di bianco inalterabile, non ingiallente e stabile nel tempo, garantendo estrema costanza e durata di tinta. Con innovativa formula anti impronta, è totalmente esente dal fenomeno del blocking. Ha alta copertura ed ottima distensione. Dichiarato idoneo per la verniciatura di ambienti con presenza di alimenti, secondo la norma UNI 11021-2002 relativa alla metodologia HACCP. Dotato di certificazione IAQ (Indoor Air Quality) “A+” e certificato di qualità ambientale EPD®.",N/D
MAGNUM SATINATO,Boero,"Magnum Satinato è uno smalto satinato all'acqua HACCP e A+, APEO FREE e inodore. Si distingue per un punto di bianco inalterabile, non ingiallente e stabile nel tempo, garantendo estrema costanza e durata di tinta. Con innovativa formula anti impronta, è totalmente esente dal fenomeno del blocking. Ha alta copertura ed ottima distensione. Dichiarato idoneo per la verniciatura di ambienti con presenza di alimenti, secondo la norma UNI 11021-2002 relativa alla metodologia HACCP. Con certificazione IAQ (Indoor Air Quality) “A+” e certificato di qualità ambientale EPD®.",N/D
MAGNUM OPACO,Boero,"Magnum Opaco è uno smalto opaco all'acqua HACCP e A+, APEO FREE e inodore. Si distingue per un punto di bianco inalterabile, non ingiallente e stabile nel tempo, garantendo estrema costanza e durata di tinta. Con innovativa formula anti impronta, è totalmente esente dal fenomeno del blocking. Ha alta copertura e ottima distensione. Dichiarato idoneo per la verniciatura di ambienti con presenza di alimenti, secondo la norma UNI 11021-2002 relativa alla metodologia HACCP. Con certificazione IAQ (Indoor Air Quality) “A+”. Con certificato di qualità ambientale EPD®.",N/D
PRIMERHP,Boero,"PrimerHP è un fondo multisupporto all'acqua, ideale per supporti difficili. Si distingue per l'ottimo potere anticorrosivo e d’adesione. Con essiccazione rapida, è tinteggiabile a sistema, contribuendo attivamente a migliorare l'aspetto e la copertura della finitura con cui viene sovrapplicato, anche nei colori tradizionalmente più complessi, come le tinte accese. Di facile stesura, garantisce risultati ottimali già in prima mano.",N/D
CASABELLA ACQUA,Boero,"Casabella Acqua è una pittura opaca di fondo all'acqua, o pittura uniformante opaca di qualità, specifica per legno, inodore. Isolante e uniformante, è utilizzabile anche come finitura opaca per interni. Copre agevolmente, normalizzando piccole asperità superficiali. È carteggiabile con facilità. Ha buon punto di bianco e non presenta fenomeni di ingiallimento nel tempo, garantendo estrema costanza e durata di tinta.",N/D
FERROPIÙ MICACEO ACQUA,Boero,"Ferropiù Micaceo Acqua è uno smalto ferromicaceo all’acqua decorativo che conferisce alle superfici un aspetto metallico simile al ferro battuto anticato, impreziosito da riflessi luminosi. Con elevato spessore del film, protegge e crea una barriera all’ossigeno, all’umidità e ai raggi U.V., per una durata estrema. Applicabile su diverse superfici con specifico fondo, forma una pellicola coerente e dilatata, resistente al blocking. La sua formulazione all’acqua è priva di metalli dannosi per l’ambiente e la salute. Con certificato IAQ Indoor Air Quality di classe “A+"", APEO FREE e ALUMINIUM FREE*.
*Tecnologia formulativa proprietaria esente da alluminio.",N/D
DURUM,Boero,"Durum è uno smalto ultraresistente brillante ad alte prestazioni, alchido-uretanico, di qualità superiore e con elevata resistenza all’esterno. Ideale per la protezione di supporti in legno e ferro, anche in atmosfere severe come in ambienti marini e industriali. È caratterizzato da ottimo punto di bianco, elevata resistenza all’ingiallimento, eccellente dilatazione e alto potere coprente. Mantiene a lungo la brillantezza originaria.",N/D
