name,brand,brand_padre,descrizione,categoria,image_url
00132 | Asta Carbon Block professional,rollfit,boldrini,Impugnature e pertiche con esclusivo sistema di bloccaggio,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/00132AstaCarbonBlockprofessional.webp
00500 | Vasca professionale per pitture 16L | Wide System,rollfit,boldrini,"Per rulli fino a 50cm.
Con ruote.",accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/00500Vascaprofessionaleperpitture16LWideSystem.webp
79341 | Manico estensibile per rulli da 30 a 50 cm,rollfit,boldrini,manico estensibile boldrini,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/79341Manicoestensibileperrullida30a50cm.webp
"892 | Manico zincato, impugnatura bimateriale per rulli",rollfit,boldrini,"Bimateriale: plastica e gomma.
Adatto alla pertica Carbon Block.",accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/892Manicozincatoimpugnaturabimaterialeperrulli.webp
9002 | Sistema lava rulli Hurricane,rollfit,boldrini,"Macchina lava rulli economica e facile da utilizzare, consente la pulizia agevole di qualsiasi rullo inserito al suo interno, senza bisogno di rimuovere il manico.",accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/9002SistemalavarulliHurricane.webp
Rete scolarullo in metallo,rollfit,boldrini,Rete scolarullo in metallo.,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Retescolarulloinmetallo.webp
Vaschetta in plastica,rollfit,boldrini,Vaschetta in moplen,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Vaschettainplastica.webp
Secchio in plastica,rollfit,boldrini,Secchio in moplen,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Secchioinplastica.webp
Porta pennello in lega,rollfit,boldrini,Porta pennello in lega leggera,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Portapennelloinlega.webp
Porta pennello genux,rollfit,boldrini,Porta pennello genux in plastica,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Portapennellogenux.webp
Porta pennello in metallo,rollfit,boldrini,Porta pennello in metallo,accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Portapennelloinmetallo.webp
Porta pennello in plastica,rollfit,boldrini,"Snodo filettato in plastica a vite, per pennelli",accessori-per-rulli-e-mini-rulli,/images/boldrini_prodotti/Portapennelloinplastica.webp
744 – LOTO MK3 AVANGUARDIA 21mm,avanguardia,boldrini,"Rullo di ricambio di qualità superiore, destinato all’uso professionale. Realizzato con fibre moderne e altamente professionali.
Superfici consigliate:
Superfici ruvide e poco ruvide, facciate e pareti interne intonacate.
Per applicare:
Quarzi, lavabili, silicati, idropitture in genere.",avanguardia,/images/boldrini_prodotti/744LOTOMK3AVANGUARDIA21mm.webp
783 – LOTO 2020 AVANGUARDIA 19mm,avanguardia,boldrini,"Rullo di ricambio di qualità superiore, destinato all’usoprofessionale. Realizzato con fibre moderne e altamente professionali.
Superfici consigliate:
Superfici ruvide e poco ruvide, facciate e pareti interne intonacate.
Per applicare:
Quarzi, lavabili, silicati, idropitture in genere.",avanguardia,/images/boldrini_prodotti/783LOTO2020AVANGUARDIA19mm.webp
784 – LOTO 2020 AVANGUARDIA 12mm,avanguardia,boldrini,"Rulli e rullini di qualità superiore, destinati all’uso professionale. Realizzati con fibre moderne e altamente performanti.
Superfici consigliate:
Superfici lisce e poco ruvide, pareti interne verniciate in precedenza.
Per applicare:
Lavabili, traspiranti, tempere, idropitture in genere.",avanguardia,/images/boldrini_prodotti/784LOTO2020AVANGUARDIA12mm.webp
743 – LOTO MK3 AVANGUARDIA 13mm,avanguardia,boldrini,"Rulli di qualità superiore, destinati all’uso professionale. Realizzati con fibre moderne e altamente performanti.
Superfici consigliate:
Superfici lisce e poco ruvide, pareti interne verniciate.
Per applicare:
Lavabili, traspiranti, tempere, idropitture in genere.",avanguardia,/images/boldrini_prodotti/743LOTOMK3AVANGUARDIA13mm.webp
785 – SILEN-X AVANGUARDIA 14 mm,avanguardia,boldrini,"Rulli e rullini di qualità superiore, destinati all’uso professionale. Realizzati con fibre moderne e altamente performanti.
Superfici consigliate:
Superfici lisce e molto lisce, pareti in gesso e cartongesso.
Per applicare:
Lavabili, super lavabili, smalti all’acqua e resine a spessore.",avanguardia,/images/boldrini_prodotti/785SILEN-XAVANGUARDIA14mm.webp
