name,marca,descrizione,image_url
Kit di 2 utensili da 18 V: GWS 18V-7 + GBH 18V-22 + 2 batterie 4.0Ah + caricabatteria GAL 18V-40 (C) Professional Combo Kit,Bosch,"Il perfetto abbinamento di elettroutensili professionali, per affrontare ogni lavoro con prestazioni e protezione ai massimi livelli",/images/bosch_elettroutensili/Kitdi2utensilida18VGWS18V-7GBH18V-222batterie40AhcaricabatteriaGAL18V-40CProfessionalComboKit.png
Kit di 2 utensili da 18 V: GSB 18V-45 + GBH 18V-22 + 2 batterie 4.0Ah + caricabatteria GAL 18V-40 (C) Professional Combo Kit,Bosch,"Il perfetto abbinamento di elettroutensili professionali, per affrontare ogni lavoro con prestazioni e protezione ai massimi livelli",/images/bosch_elettroutensili/Kitdi2utensilida18VGSB18V-45GBH18V-222batterie40AhcaricabatteriaGAL18V-40CProfessionalComboKit.png
Kit da 2 utensili: GWS 22-230 J + GWS 880 Professional Combo Kit,Bosch,"GWS 22-230 J – Avviamento graduale e protezione contro il riavvio accidentale, per una migliore protezione dell’utilizzatore
GWS 22-230 J - Elevata asportazione grazie al nuovo motore da 2200 W, per un lavoro efficiente
GWS 880 - Eccellente controllo dell’utensile, grazie alla ridotta circonferenza dell’impugnatura e alla struttura ergonomica. Protezione contro il riavvio accidentale, per una maggiore sicurezza dell’utilizzatore",/images/bosch_elettroutensili/Kitda2utensiliGWS22-230JGWS880ProfessionalComboKit.png
"Combo Kit 18V (3): GSB 18V-45 + GWS 18V-10 + GBH 18V-22 + 2 batterie da 5,0 Ah + 1 batteria da 5,5 Ah (PC) + GAL 18-40 + borsa (C) Professional Combo Kit",Bosch,"La perfetta combinazione di elettroutensili a batteria da 18 V, per affrontare il lavoro con prestazioni e funzioni ai massimi livelli.",/images/bosch_elettroutensili/ComboKit18V3GSB18V-45GWS18V-10GBH18V-222batterieda50Ah1batteriada55AhPCGAL18-40borsaCProfessionalComboKit.png
Kit da 3 utensili 18V: GSB 18V-45 + GDX 18V-200 + GWS 18V-7 + 2 batterie 5.0Ah + caricabatteria GAL 18V-40 + borsa portautensili M (C) Professional Combo Kit,Bosch,"Il perfetto abbinamento di elettroutensili professionali, con prestazioni e protezione dell’utilizzatore ai massimi livelli
",/images/bosch_elettroutensili/Kitda3utensili18VGSB18V-45GDX18V-200GWS18V-72batterie50AhcaricabatteriaGAL18V-40borsaportautensiliMCProfessionalComboKit.webp
Kit da 3 utensili: GWS 22-230 J + 2 GWS 750 Professional Combo Kit,Bosch,"GWS 22-230 J – Avviamento graduale e protezione contro il riavvio accidentale, per una migliore protezione dell’utilizzatore
GWS 22-230 J - Elevata asportazione grazie al nuovo motore da 2200 W, per un lavoro efficiente
GWS 750 – Minismerigliatrice angolare con ridotta circonferenza dell’impugnatura, per un impiego più semplice e pratico",/images/bosch_elettroutensili/Kitda3utensiliGWS22-230J2GWS750ProfessionalComboKit.webp
Kit da 3 utensili: GWS 22-230 J + GWS 1000 + GWS 750 Professional Combo Kit,Bosch,"GWS 22-230 J – Avviamento graduale e protezione contro il riavvio accidentale, per una migliore protezione dell’utilizzatore
GWS 1000 – Resistente motore con raffreddamento diretto ottimizzato, per affrontare anche sovraccarichi elevati
GWS 750 – Minismerigliatrice angolare con ridotta circonferenza dell’impugnatura, per un impiego più semplice e pratico",/images/bosch_elettroutensili/Kitda3utensiliGWS22-230JGWS1000GWS750ProfessionalComboKit.webp
Set di 5 utensili da 18 V: GSB+GBH+GWS+GSA+GLI+3x5+GAL Professional Combo Kit,Bosch,"Il perfetto abbinamento di elettroutensili professionali, per
un lavoro efficiente.",/images/bosch_elettroutensili/Setdi5utensilida18VGSBGBHGWSGSAGLI3x5GALProfessionalComboKit.png
"Tool kit: 1 cintura 93, 1 borsello GWT 2, 1 borsello GWT 4 e 2 ProClick Holder Professional Combo Kit",Bosch,"Grande comodità ed ergonomia, grazie alla fodera per cintura imbottita ed integrata
Per accedere comodamente a tutti gli utensili e disporli in modo personalizzato
Design intelligente, per fissare agevolmente i ProClick Holder e borselli da cintura ProClick",/images/bosch_elettroutensili/Toolkit1cintura931borselloGWT21borselloGWT4e2ProClickHolderProfessionalComboKit.png
GWT 20 e set di utensili manuali Professional Combo Kit,Bosch,"Un set essenziale per la massima mobilità: borsa portautensili aperta e 8 utensili manuali Bosch Professional, per la versatilità ideale
Scomparti e taschine molto versatili, per accedere rapidamente agli utensili e disporli in modo personalizzato
Trasporto degli utensili sicuro, grazie alle tacchette di bloccaggio integrate per collegamento alle valigette L-BOXX",/images/bosch_elettroutensili/GWT20esetdiutensilimanualiProfessionalComboKit.png
GRA 18V2-46 Professional Rasaerba a batteria,Bosch,"Il motore brushless è alimentato da due batterie da 18 V che assicurano prestazioni potenti, durata più lunga e maggiore autonomia
Struttura estremamente robusta con copertura completamente in metallo, perfetta per le elevate esigenze dei lavori di taglio dell’erba più impegnativi
Grande praticità grazie al diametro di taglio di 46 cm, all’impugnatura con semplice regolazione dell’altezza su 2 livelli e alla possibilità di riporre l’utensile in verticale con il minimo ingombro",/images/bosch_elettroutensili/GRA18V2-46ProfessionalRasaerbaabatteria.png
Lama per rasaerba da 46 cm Professional Accessorio per rasaerba a batteria,Bosch,"Lama affilata per un taglio pulito
Lunga durata grazie al resistente acciaio temprato
Adatta al rasaerba GRA 18V2-46 con copertura in metallo",/images/bosch_elettroutensili/Lamaperrasaerbada46cmProfessionalAccessorioperrasaerbaabatteria.png
GFR 18V-23 Professional Decespugliatore a batteria,Bosch,"Potente motore brushless per prestazioni elevate, maggiore autonomia e maggiore durata
Risultati eccellenti anche in caso di sottobosco ostinato, grazie alla regolazione elettronica della velocità che consente prestazioni di taglio uniformi
Struttura leggera ed ergonomica e bassi livelli di rumorosità, per operazioni di decespugliamento confortevoli",/images/bosch_elettroutensili/GFR18V-23ProfessionalDecespugliatoreabatteria.png
Set di lame per decespugliatore da 23 cm Professional Accessorio per decespugliatore a batteria,Bosch,"Ideale per gestire erba alta o vegetazione fitta, ad esempio ortiche e rovi",/images/bosch_elettroutensili/Setdilameperdecespugliatoreda23cmProfessionalAccessorioperdecespugliatoreabatteria.png
Lama per decespugliatore da 23 cm Professional Accessorio per decespugliatore a batteria,Bosch,"Ideale per gestire erba alta o vegetazione fitta, ad esempio ortiche e rovi",/images/bosch_elettroutensili/Lamaperdecespugliatoreda23cmProfessionalAccessorioperdecespugliatoreabatteria.png
GHE 18V-60 Professional Tagliasiepi a batteria,Bosch,"Potente motore brushless per prestazioni elevate e lunga durata
Taglia anche i rami spessi senza bloccarsi, grazie al sistema «Anti-Blocking» brevettato da Bosch
Facile maneggevolezza grazie al peso contenuto, al design ergonomico e al bilanciamento ottimale – ideale per il lavoro prolungato",/images/bosch_elettroutensili/GHE18V-60ProfessionalTagliasiepiabatteria.png
GHE 18V-50 Professional Tagliasiepi a batteria,Bosch,"Potente motore brushless per prestazioni elevate e lunga durata
La sua lama da 50 cm taglia i rami più spessi senza inceppamenti, grazie al sistema «Anti-Blocking» brevettato da Bosch
Facile maneggevolezza grazie al peso contenuto, al design ergonomico e al bilanciamento ottimale – ideale per il lavoro prolungato",/images/bosch_elettroutensili/GHE18V-50ProfessionalTagliasiepiabatteria.png
GHE 18V-50 TP Professional Tagliasiepi,Bosch,"Taglia con facilità le siepi alte grazie al manico telescopico da 2,5 m
Prestazioni potenti grazie al motore brushless al e controllo variable della velocità
Taglia anche i rami spessi senza bloccarsi, grazie al sistema «Anti-Blocking» brevettato da Bosch",/images/bosch_elettroutensili/GHE18V-50TPProfessionalTagliasiepi.png
GBL 18V-750 Professional Soffiatore da giardino a batteria,Bosch,"Il motore BITURBO Brushless e la ventola assiale, in combinazione con una batteria ProCORE18V ≥ 5,5 Ah, generano un flusso volumetrico di 780 m³/h e una velocità dell’aria fino a 198 km/h
Il controllo della velocità variabile consente di adattare in modo ottimale la potenza, il livello di rumorosità e l’autonomia in funzione dell’attività da svolgere
Lavoro confortevole grazie alla struttura leggera ed ergonomica e al basso livello di rumorosità",/images/bosch_elettroutensili/GBL18V-750ProfessionalSoffiatoredagiardinoabatteria.png
Set ugello soffiatore intermedio e piatto Professional Accessorio,Bosch,"Ideale per un maggiore flusso d’aria nella pulizia di ampie superfici piatte.
",/images/bosch_elettroutensili/SetugellosoffiatoreintermedioepiattoProfessionalAccessorio.png
Ugello soffiatore piatto Professional Accessorio,Bosch,"Ideale per un maggiore flusso d’aria nella pulizia di ampie superfici piatte.
",/images/bosch_elettroutensili/UgellosoffiatorepiattoProfessionalAccessorio.png
Ugello soffiatore concentratore Professional Accessorio,Bosch,"Ideale per un maggiore flusso d’aria nella pulizia di ampie superfici piatte.
",/images/bosch_elettroutensili/UgellosoffiatoreconcentratoreProfessionalAccessorio.png
GRT 18V-33 Professional Tagliabordi a batteria,Bosch,"Potente motore brushless per prestazioni elevate, maggiore autonomia e maggiore durata
Risultati eccellenti anche in caso di erbacce ostinate, grazie alla regolazione elettronica della velocità che consente prestazioni di taglio uniformi
La struttura leggera, il basso livello di rumorosità e la tracolla rendono il lavoro più confortevole",/images/bosch_elettroutensili/GRT18V-33ProfessionalTagliabordiabatteria.png
