name,marca,descrizione,image_url
IDROREPELLENTE SILICONICO,Colorificio Tirreno,"È un composto organosilicico idoneo al trattamento di diversi materiali alcalini e non, quali calcestruzzo, brocemento, terrecotte, pietre, gesso e per tutti quei materiali sufficientemente porosi e quindi in grado di lasciarsi “impregnare” in profondità onde garantire l’effetto idrorepellente nel tempo. Il trattamento conferisce un effetto perlante già evidente dopo alcune ore dall’applicazione.",/images/colorificiotirreno_prodotti/IDROREPELLENTESILICONICO.webp
ZINCOPLAST FERROMICACEO,Colorificio Tirreno,"Dotato di un ottimo potere di ancoraggio è speci co per il trattamento con un unico prodotto di manufatti in lamiera zincata, alluminio anodizzato, PVC, ecc.. È idoneo anche alla protezione di super ci in ferro.",/images/colorificiotirreno_prodotti/ZINCOPLASTFERROMICACEO.webp
Autentika,Colorificio Tirreno,"Idropittura murale, formulata con delle microfibre apposite che la rendono molto coprente, ideale quindi per pareti con imperfezioni varie, anche senza l’uso del fissativo. Ottima lavabilità e finitura opaca con buon punto di bianco.",/images/colorificiotirreno_prodotti/Autentika.webp
ZINCOFEN,Colorificio Tirreno,"Zincofen è formulato con resine speciali, insaponi cabili, che ne garantiscono la perfetta adesione su lamiere zincate e in lega leggera. Dotato di eccellenti qualità passivanti è idoneo alla protezione anche di normali super ci in ferro. Non contiene piombo né cromati.",/images/colorificiotirreno_prodotti/ZINCOFEN.webp
SANAMATT SPRAY,Colorificio Tirreno,"© 2018 – 2024 Colorificio Tirreno Srl. All Rights Reserved – P.IVA: 01477650111Via Genova, 128 – Ceparana, La Spezia (SP) – Tel. +39 0187 715979 Fax +39 0187 717878",/images/colorificiotirreno_prodotti/SANAMATTSPRAY.webp
ANTIVEGETATIVA TRASPARENTE,Colorificio Tirreno,Antivegetativa trasparente a base di un copolimero che in fase di sintesi è stato modi cato con alcuni biocidi accuratamente selezionati; esente da rame.L’applicazione di tre mani sviluppa un’azione “antifouling” per la stagione.,/images/colorificiotirreno_prodotti/ANTIVEGETATIVATRASPARENTE.webp
BITUMALL,Colorificio Tirreno,"Rivestimento bituminoso di facile applicabilità, di rapida essiccazione e di resa elevata.Pigmentato con alluminio “lea ng” conferisce un elevato potere riflettente ed un eccellente effetto estetico al manufatto così trattato. E’ consigliato per cicli in atmosfera rurale, marina ed industriale leggera, priva di aggressione chimica. Resiste a temperature di esercizio no a 80°C.Bitumall garantisce un sensibile guadagno termico ai locali sottostanti durante la stagione estiva.",/images/colorificiotirreno_prodotti/BITUMALL.webp
BLACKBOARD,Colorificio Tirreno,"Blackboard permette di creare su qualunque parete una vera e propria lavagna magnetica. L’effetto è entusiasmante ed il prodotto può essere applicato anche su muri, metalli, legno e oggettistica d’arredamento.",/images/colorificiotirreno_prodotti/BLACKBOARD.webp
COLLA PER PIASTRELLE,Colorificio Tirreno,"La colla per piastrelle è un adesivo in polvere composto da cemento inerti a granulometria scelta e additivi speciali.Mescolata con acqua, la colla per piastrelle da origine ad una pasta lucida e plastica, dotata di buoneproprietà adesive nei confronti di tutti i materiali da rivestimento e di tutti i sottofondi usati in edilizia.",/images/colorificiotirreno_prodotti/COLLAPERPIASTRELLE.webp
ORO,Colorificio Tirreno,"Finitura di ottima brillantezza e copertura, dovute alla particolare nezza della polvere di bronzo impiegata, è destinato alla decorazione di parti metalliche, di legno, ori e vegetali (questi ultimi tipicamente natalizi).",/images/colorificiotirreno_prodotti/ORO.webp
