name,brand,description,image_url
Supporti pavimento galleggiante Dakota per piastrelle in cemento (200pz),Dakota,N/A,/images/dakota_prodotti_paginato/SupportipavimentogalleggianteDakotaperpiastrelleincemento200pz.webp
Rete da cantiere arancione Dakota Pro in polietilene a maglie ovali 1x50 metri,Dakota,N/A,/images/dakota_prodotti_paginato/RetedacantierearancioneDakotaProinpolietileneamaglieovali1x50metri.webp
"Griglia in ghisa antitacco B125 Dakota 0,5mt per canalette di scolo Taurus 130",Dakota,N/A,/images/dakota_prodotti_paginato/GrigliainghisaantitaccoB125Dakota05mtpercanalettediscoloTaurus130.webp
Sportello a scomparsa per contatori Dakota in acciaio zincato,Dakota,N/A,/images/dakota_prodotti_paginato/SportelloascomparsapercontatoriDakotainacciaiozincato.webp
Pozzetto pluviale Dakota Sifonato Dimensioni: 235 x 125 x 220 mm Diam 80/100,Dakota,N/A,/images/dakota_prodotti_paginato/PozzettopluvialeDakotaSifonatoDimensioni235x125x220mmDiam80100.webp
Griglia Dakota 130x500x20mm a fessura centrale h60mm in polipropilene per canalette,Dakota,N/A,/images/dakota_prodotti_paginato/GrigliaDakota130x500x20mmafessuracentraleh60mminpolipropilenepercanalette.webp
Livellatore da 1mm Dakota per supporto a quadrotti pavimenti flottanti esterni (500pz),Dakota,N/A,/images/dakota_prodotti_paginato/Livellatoreda1mmDakotapersupportoaquadrottipavimentiflottantiesterni500pz.webp
Rete da cantiere arancione Dakota in polietilene a maglie ovali 1x50 metri,Dakota,N/A,/images/dakota_prodotti_paginato/RetedacantierearancioneDakotainpolietileneamaglieovali1x50metri.webp
"Cassetta contatori Dakota Enel 1P in polietilene, 232x420x210mm",Dakota,N/A,/images/dakota_prodotti_paginato/CassettacontatoriDakotaEnel1Pinpolietilene232x420x210mm.webp
Pozzetto di ispezione Dakota Plus 200x200mm in polipropilene grigio,Dakota,N/A,/images/dakota_prodotti_paginato/PozzettodiispezioneDakotaPlus200x200mminpolipropilenegrigio.webp
Griglia Dakota 130x500x20mm a fessura centrale h40mm in polipropilene per canalette,Dakota,N/A,/images/dakota_prodotti_paginato/GrigliaDakota130x500x20mmafessuracentraleh40mminpolipropilenepercanalette.webp
Pozzetto di ispezione Dakota Plus 250x250mm in polipropilene grigio,Dakota,N/A,/images/dakota_prodotti_paginato/PozzettodiispezioneDakotaPlus250x250mminpolipropilenegrigio.webp
Livellatore da 3mm Dakota per supporto a quadrotti pavimenti flottanti esterni (500pz),Dakota,N/A,/images/dakota_prodotti_paginato/Livellatoreda3mmDakotapersupportoaquadrottipavimentiflottantiesterni500pz.webp
"Rete da cantiere verde Dakota Pro in polietilene a maglie ovali 1,2x50 metri",Dakota,N/A,/images/dakota_prodotti_paginato/RetedacantiereverdeDakotaProinpolietileneamaglieovali12x50metri.webp
Griglia Dakota 130x500x20mm a fessura centrale h20mm in polipropilene per canalette,Dakota,N/A,/images/dakota_prodotti_paginato/GrigliaDakota130x500x20mmafessuracentraleh20mminpolipropilenepercanalette.webp
Pozzetto di ispezione Dakota Plus 300x300mm in polipropilene grigio,Dakota,N/A,/images/dakota_prodotti_paginato/PozzettodiispezioneDakotaPlus300x300mminpolipropilenegrigio.webp
Gomma antirumore Dakota per supporti pavimenti flottanti esterni (120pz),Dakota,N/A,/images/dakota_prodotti_paginato/GommaantirumoreDakotapersupportipavimentiflottantiesterni120pz.webp
