name,sku,description,image_url
Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah,dcs386h2t-qw,"Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah

La sega universale a batteria DCS386 è stato progettato per applicazioni di taglio e demolizione anche gravose. Ha un funzionamento efficiente e con ridotte vibrazioni, offre un'impressionante velocità a vuoto di 3.000 corse/min ed una capacità massima di taglio di 300 mm nel legno.\nLe batterie POWERSTACK 5Ah offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e una durata doppia*** rispetto alle batterie standard da 5Ah.\n\n*rispetto alla batteria DEWALT DCB184, non in applicazione **energia utilizzabile rispetto alla batteria DEWALT DCB184, non in applicazione ***cicli di carica rispetto alla batteria DEWALT DCB184”.",/images/dewalt_products_elettroutensili/Segauniversale18VXRBrushless-2xPOWERSTACK5Ah.webp
Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah,dcs386h2t-qw,"Sega universale 18V XR Brushless - 2 x POWERSTACK 5Ah

La sega universale a batteria DCS386 è stato progettato per applicazioni di taglio e demolizione anche gravose. Ha un funzionamento efficiente e con ridotte vibrazioni, offre un'impressionante velocità a vuoto di 3.000 corse/min ed una capacità massima di taglio di 300 mm nel legno.\nLe batterie POWERSTACK 5Ah offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e una durata doppia*** rispetto alle batterie standard da 5Ah.\n\n*rispetto alla batteria DEWALT DCB184, non in applicazione **energia utilizzabile rispetto alla batteria DEWALT DCB184, non in applicazione ***cicli di carica rispetto alla batteria DEWALT DCB184”.",/images/dewalt_products_elettroutensili/Segauniversale18VXRBrushless-2xPOWERSTACK5Ah.webp
Smerigliatrice 125mm 18V XR Brushless - 2 x POWERSTACK 5Ah,dcg405h2t-qw,"Smerigliatrice 125mm 18V XR Brushless - 2 x POWERSTACK 5Ah

Smerigliatrice 125mm a batteria compatta e potente con motore Brushless. La scatola ingranaggi compatta consente un miglior accesso agli spazi ristretti. Parte della gamma DEWALT® Perform & Protect, il DCG405 è dotata di freno elettronico e una frizione elettronica per una maggiore sicurezza e protezione dell'operatore.\nLe batterie POWERSTACK 5AH offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e una durata doppia*** rispetto alle batterie standard da 5AH”.",/images/dewalt_products_elettroutensili/Smerigliatrice125mm18VXRBrushless-2xPOWERSTACK5Ah.webp
"Avvitatore impulsi compatton 1/2"" Hog Ring 18V XR Brushless - 2 x POWERSTACK 5Ah",dcf921h2t-qw,"Avvitatore impulsi compatton 1/2"" Hog Ring 18V XR Brushless - 2 x POWERSTACK 5Ah

Maggior potenza con le batterie POWERSTACK",/images/dewalt_products_elettroutensili/Avvitatoreimpulsicompatton12HogRing18VXRBrushless-2xPOWERSTACK5Ah.webp
Tasselatore compatto SDS-Plus 16mm 18V XR Brushless - 2 x POWERSTACK compatta,dch172e2t-qw,"Tasselatore compatto SDS-Plus 16mm 18V XR Brushless - 2 x POWERSTACK compatta

Il tassellatore SDS-Plus DCH172 offre prestazioni e autonomia ottimizzate in un corpo leggero e ultracompatto. Il potente motore brushless e la tecnologia delle batterie XR Powerstack forniscono un'energia d'impatto di 1,4 Joule che consente affettuare fori nel calcestruzzo fino a 16 mm, è ideale per l'installazione di tasselli in plastica e ancoraggi meccanici di piccolo diametro, che richiedono diametri di ottimale foratura compresi tra 4 e 10 mm. Le batterie POWERSTACK offrono il 50% di potenza in più* con un ingombro ridotto del 25%* e funzionano con tutti gli utensili XR da 18V già in vostro possesso.\n\n*Per quanto riguarda il 50% di potenza in più: rispetto alla batteria DCB183, non nell'applicazione. Per quanto riguarda la confezione più piccola del 25% e l'ingombro più compatto: rispetto alla batteria DCB183”.",/images/dewalt_products_elettroutensili/TasselatorecompattoSDS-Plus16mm18VXRBrushless-2xPOWERSTACKcompatta.webp
Sega circolare 184mm 18V XR Brushless - 2 x  POWERSTACK 5Ah,dcs570h2t-qw,"Sega circolare 184mm 18V XR Brushless - 2 x  POWERSTACK 5Ah

La sega circolare a batteria per i professionisti. Parte della gamma DEWALT® 18V XR, la DCS570 ha un motore brushless, una profondità di taglio massima di 65 mm, una velocità a vuoto di 5.500 giri/min e la regolazione della profondità e dell'angolo di taglio.\nLe batterie POWERSTACK 5AH offrono il 50% di potenza in più* con il 50% di lavoro in più per carica** e il doppio della durata*** delle batterie standard da 5AH.\n\n*rispetto alla batteria DEWALT DCB184, non in applicazione **energia utilizzabile rispetto alla batteria DEWALT DCB184, non in applicazione ***cicli di carica rispetto alla batteria DEWALT DCB184”.",/images/dewalt_products_elettroutensili/Segacircolare184mm18VXRBrushless-2xPOWERSTACK5Ah.webp
Sega circolare per metalli 184mm 18V XR Brushless - 2 x POWERSTACK 5Ah,dcs383h2-qw,"Sega circolare per metalli 184mm 18V XR Brushless - 2 x POWERSTACK 5Ah

",/images/dewalt_products_elettroutensili/Segacircolarepermetalli184mm18VXRBrushless-2xPOWERSTACK5Ah.webp
Levigatrice a nastro 457x13mm XR 18V BRUSHLESS - 2 x POWERSTACK compatta,dcm200e2t-qw,"Levigatrice a nastro 457x13mm XR 18V BRUSHLESS - 2 x POWERSTACK compatta

La lima DCM200 è progettato per applicazioni commerciali gravose con velocità fino a 1.700 m/min. Velocità variabile. Braccio pivottante a 173° offre la massima versatilità e possibilità di accedere a spazi difficili da raggiungere. Luce LED rotante per illuminare l'area di lavoro. Sostituzione e regolazione dei nastri senza attrezzi.",/images/dewalt_products_elettroutensili/Levigatriceanastro457x13mmXR18VBRUSHLESS-2xPOWERSTACKcompatta.webp
Sega Circolare XR FLEXVOLT 54V 6.0Ah BRUSHLESS,dcs576t2-qw,"Sega Circolare XR FLEXVOLT 54V 6.0Ah BRUSHLESS

",/images/dewalt_products_elettroutensili/SegaCircolareXRFLEXVOLT54V60AhBRUSHLESS.webp
18V XR Brushless 26mm SDS-Plus Hammer Drill - 1 X 4Ah,dch133m1-qw,"18V XR Brushless 26mm SDS-Plus Hammer Drill - 1 X 4Ah

",/images/dewalt_products_elettroutensili/18VXRBrushless26mmSDS-PlusHammerDrill-1X4Ah.webp
