name,sku,description,image_url,category
Laser multilinea con raggio verde classe 2,dcle14251gb-xj,"Laser multilinea con raggio verde classe 2

",/images/dewalt_products_resto/Lasermultilineaconraggioverdeclasse2.webp,N/A
Set avvitare FLEXTORQ - McLaren,dt70902t-qz,"Set avvitare FLEXTORQ - McLaren

La gamma DEWALT x McLaren F1 Team è il risultato di una volontà comune di prestazioni.\nFa parte del sistema Tough Case di DEWALT ed è completamente compatibile con tutti i set di valigie Tough Case e i magazzini TSTAK.\nIl kit contiene: Portabit magnetico x 1, punte Impact Ready FLEXTORQ da 57 mm PH1 x 1, PH2 x 2, PH3 x 3, PZ1 x 1, PZ2 x 6, PZ3 x 4, T20 x 2, T25 x 2, punte Impact Ready FLEXTORQ da 25 mm, PH2 x 1, PZ1 x 1, PZ2 x 2, PZ3 x 1, T20 x 1, T25 x 1.",/images/dewalt_products_resto/SetavvitareFLEXTORQ-McLaren.webp,N/A
Set avvitare FLEXTORQ - McLaren,dt70900t-qz,"Set avvitare FLEXTORQ - McLaren

La gamma DEWALT x McLaren F1 Team è il risultato di una volontà comune di prestazioni.\nIl kit contiene: Portabit magnetici Impact Ready x 1, punte Impact Ready FLEXTORQ da 25 mm, PH1 x 1, PH2 x 5, PH3 x 2, PZ1 x 1, PZ2 x 10, PZ3 x 3, T15 x 1, T20 x 1, T25 x 2, T27 x 1, T30 x 3.",/images/dewalt_products_resto/SetavvitareFLEXTORQ-McLaren.webp,N/A
Set avvitare con testa ad angolo - McLaren,dt70782-qz,"Set avvitare con testa ad angolo - McLaren

La gamma DEWALT x McLaren F1 Team è il risultato di una volontà comune di prestazioni.\nFa parte del sistema Tough Case di DEWALT ed è pienamente compatibile con tutti i set di valigie Tough Case e i magazzini TSTAK. Questo set di 33 pezzi include un attacco ad angolo retto modulare Impact Ready, perfetto per raggiungere gli elementi di fissaggio in spazi ristretti.\nIl kit contiene: Attacco ad angolo retto Impact Ready x 1, portabit magnetico x 1, cacciavite pulibile per dadi 8 mm x 1, 10 mm x 1, 13 mm x 1, punte FLEXTORQ Impact Ready da 57 mm PH1 x 1, PZ2 x 2, T20 x 1, T25 x 3, punte FLEXTORQ Impact Ready da 25 mm, PH1 x 1, PH2 x 3, PZ1 x 1, PZ2 x 5, T15 x 1, T20 x 5, T25 x 3, T27 x 1, T30 x 1",/images/dewalt_products_resto/Setavvitarecontestaadangolo-McLaren.webp,N/A
SET 5 PEZZI MULTIFUNZIONE,dt20777-qz,"SET 5 PEZZI MULTIFUNZIONE

",/images/dewalt_products_resto/SET5PEZZIMULTIFUNZIONE.webp,N/A
Lama da taglio su 3 lati Bi-metal da 54 mm,dt20773-qz,"Lama da taglio su 3 lati Bi-metal da 54 mm

",/images/dewalt_products_resto/Lamadatagliosu3latiBi-metalda54mm.webp,N/A
Lama d'affondamento Bi-Metal da 32 mm,dt20774-qz,"Lama d'affondamento Bi-Metal da 32 mm

",/images/dewalt_products_resto/LamadaffondamentoBi-Metalda32mm.webp,N/A
30m Laser Distance Measure,dwht77100-xj,"30m Laser Distance Measure

",/images/dewalt_products_resto/30mLaserDistanceMeasure.webp,N/A
Laser multilinea con raggio rosso classe 2 (630-690nm) con ricarica USB,dcle14201rb-xj,"Laser multilinea con raggio rosso classe 2 (630-690nm) con ricarica USB

",/images/dewalt_products_resto/Lasermultilineaconraggiorossoclasse2630-690nmconricaricaUSB.webp,N/A
Laser multilinea con raggio verde classe 2 (510-530nm) con ricarica USB,dcle14201gb-xj,"Laser multilinea con raggio verde classe 2 (510-530nm) con ricarica USB

",/images/dewalt_products_resto/Lasermultilineaconraggioverdeclasse2510-530nmconricaricaUSB.webp,N/A
Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde,dcle34035b-xj,"Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde

",/images/dewalt_products_resto/TracciatoreLasermultilinea3x360contelecomandoconraggioverde.webp,N/A
Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde,dcle34035d1-qw,"Tracciatore Laser multilinea 3 x 360° con telecomando con raggio verde

",/images/dewalt_products_resto/TracciatoreLasermultilinea3x360contelecomandoconraggioverde.webp,N/A
Laser multilinea con raggio verde classe 2 (510-530nm). Senza batterie e caricabatteria in valigetta.,dcle34031n-xj,"Laser multilinea con raggio verde classe 2 (510-530nm). Senza batterie e caricabatteria in valigetta.

",/images/dewalt_products_resto/Lasermultilineaconraggioverdeclasse2510-530nmSenzabatterieecaricabatteriainvaligetta.webp,N/A
Laser multilinea con raggio verde classe 2 (510-530nm). 1 Batteria XR Litio 18V 2Ah,dcle34031d1-qw,"Laser multilinea con raggio verde classe 2 (510-530nm). 1 Batteria XR Litio 18V 2Ah

Ecco il nostro laser verde multilinea 3 x 360° con compatibilità completa delle batterie della serie di elettroutensili 18V XR. Il DCLE34031D1 offre un eccezionale raggio d'azione di 40 metri (fino a 100 metri con il rilevatore*) con la tecnologia del fascio verde leader della categoria, garantendo una visibilità eccezionale per gli ambienti di lavoro più difficili.",/images/dewalt_products_resto/Lasermultilineaconraggioverdeclasse2510-530nm1BatteriaXRLitio18V2Ah.webp,N/A
"Mazzetta Exocore kg 1,8.",dwht56158-1,"Mazzetta Exocore kg 1,8.

",/images/dewalt_products_resto/MazzettaExocorekg18.webp,N/A
"Laser multilinea con raggio verde, Proietta 2 linee verticali a squadro 90°, classe 2 (510-530nm). Autolivellamento +/-4°, Precisione +/- 3mm/10m",dcle34021n-xj,"Laser multilinea con raggio verde, Proietta 2 linee verticali a squadro 90°, classe 2 (510-530nm). Autolivellamento +/-4°, Precisione +/- 3mm/10m

Il laser a linee incrociate compatto DEWALT® offre la piena compatibilità delle batterie dell'intera serie di elettroutensili XR da 18V. Con un'impressionante portata di lavoro massima di 55 metri (fino a 100 metri con il rilevatore*) e la tecnologia del fascio verde leader della categoria, offre una visibilità eccezionale per gli ambienti di lavoro più difficili.",/images/dewalt_products_resto/LasermultilineaconraggioverdeProietta2lineeverticaliasquadro90classe2510-530nmAutolivellamento-4Precisione-3mm10m.webp,N/A
Tracciatore laser raggio verde (2 linee a croce 90Â° + 5 punti,dce825d1g18-qw,"Tracciatore laser raggio verde (2 linee a croce 90Â° + 5 punti

",/images/dewalt_products_resto/Tracciatorelaserraggioverde2lineeacroce90Â5punti.webp,N/A
Laser multilinea raggio verde 12V / 18V XR 3 X 360 - Senza batterie e caricabatterie,dce089ng18-xj,"Laser multilinea raggio verde 12V / 18V XR 3 X 360 - Senza batterie e caricabatterie

Il nostro primo laser autolivellante a linee incrociate, compatibile con batterie XR da 18 Volt e 12/10 Volt. L'esclusiva regolazione millimentrica, tramite rotella di precisione, posta alla baser del laser, consente all'utlizzatotre di regolare rapidamente e accuratamente i due raggi verticali per una maggiore precisione e velocità di posizionamento. Caratterizzato da un raggio verde che garantisce una migliore visibilità, con precisione di +/- 3 mm su 10 metri, è dotato di un rivestimento in gomma e di un grado di protezione IP54 per l'utilizzo in cantieri con condizioni difficili (polvere, terra, umidità...)",/images/dewalt_products_resto/Lasermultilinearaggioverde12V18VXR3X360-Senzabatterieecaricabatterie.webp,N/A
Tracciatore Laser 3 x 360° raggio verde 18/12V XR - 1 X 2Ah,dce089d1g18-qw,"Tracciatore Laser 3 x 360° raggio verde 18/12V XR - 1 X 2Ah

Il nostro primo Tracciatore laser compatibile con batterie XR 18 V e 12 V. L'esclusiva regolazione fine consente all'utente di regolare rapidamente e accuratamente i fasci verticali per una maggiore precisione. Laser a raggio verde per una migliore visibilità, precisione di +/- 3 mm su 10 metri, corpo ricoperto in gomma, IP54 per i cantieri più difficili.",/images/dewalt_products_resto/TracciatoreLaser3x360raggioverde1812VXR-1X2Ah.webp,N/A
Compound Action Linesman Plier,dwht0-70276,"Compound Action Linesman Plier

The DEWALT® Compound Action Linesman Pliers include induction-hardened cutting blades giving these pliers 70% more cutting power over standard cutting pliers. The bi-material handle allows for a strong grip and provides added comfort.",/images/dewalt_products_resto/CompoundActionLinesmanPlier.webp,N/A
Pinza becchi lunghi  Compound Action mm 190,dwht0-70277,"Pinza becchi lunghi  Compound Action mm 190

Le pinze becchi lunghi Compound Action DEWALT  sono state studiate per garantire un incremento del 70% della capacità di taglio con minor sforzo. Le impugnature Bi Material consentono una presa solida e confortevole.",/images/dewalt_products_resto/PinzabecchilunghiCompoundActionmm190.webp,N/A
Morsetto a barra XL 900 mm,dwht0-83187,"Morsetto a barra XL 900 mm

Il morsetto a barra DEWALT da 900 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 270 kg, una profondità di 95 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",/images/dewalt_products_resto/MorsettoabarraXL900mm.webp,N/A
Pinza poligrip con ganascia a V mm300,dwht0-74432,"Pinza poligrip con ganascia a V mm300

La pinza poligrip DEWALT 300 mm è dotata di ganasce lunghe che consentono una superficie  di serraggio più ampia. L'apertura della ganasce consente di operare su bulloni o tubi più larghi rendendola un utensile indispensabile. Impugnatura Bi Material per maggior confort e controllo.",/images/dewalt_products_resto/PinzapoligripconganasciaaVmm300.webp,N/A
Seghetto multiuso,dwht20542-0,"Seghetto multiuso

Il seghetto multiuso DEWALT  è adatto a molteplici applicazioni. Può utilizzare lame per seghetto alternativo o lame standard",/images/dewalt_products_resto/Seghettomultiuso.webp,N/A
Tronchese diagonale Compound Action,dwht0-70275,"Tronchese diagonale Compound Action

I trochesi diagonali Compound Action DEWALT  sono stati studiati per garantire un incremento del 70% della capacità di taglio con minor sforzo. Le impugnature Bi Material consentono una presa solida e confortevole.",/images/dewalt_products_resto/TronchesediagonaleCompoundAction.webp,N/A
Mini seghetto per ferro,dwht20327-0,"Mini seghetto per ferro

Il mini seghetto DEWALT utilizza lame da 300 mm ed è ideale per lavorare in spazi ristretti grazie alla sua forma compatta. Regolazione della tensione  e sostituzione delle lame senza l'utilizzo di utensili.",/images/dewalt_products_resto/Miniseghettoperferro.webp,N/A
Morsetto a barra grande mm 600,dwht0-83194,"Morsetto a barra grande mm 600

Il morsetto a barra DEWALT da 600 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 135 kg, una profondità di 82 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",/images/dewalt_products_resto/Morsettoabarragrandemm600.webp,N/A
Morsetto a barra grande mm 900,dwht0-83195,"Morsetto a barra grande mm 900

The DEWALT® 900mm Large Trigger Clamp is versatile and easy to use. Its reinforced nylon body and heat-treated steel bar are strong and durable. With 135kg of clamping force, 82mm throat depth, quick change button for easy conversion to a spread and removable jaw pads to help reduce marring, this clamp was built to exceed the expectations of professional contractors.",/images/dewalt_products_resto/Morsettoabarragrandemm900.webp,N/A
Cutter con rotella di bloccaggio 18 mm,dwht10332-0,"Cutter con rotella di bloccaggio 18 mm

Il cutter DEWALT 18 mm con rotella di bloccaggio per sicurezza extra. L'elemento spezza lama permette di avere sempre una lama affilata",/images/dewalt_products_resto/Cutterconrotelladibloccaggio18mm.webp,N/A
Coltello pieghevole a lama retrattile,dwht10035-0,"Coltello pieghevole a lama retrattile

Il coltello pieghevole DEWALT  è compatto e durevole. Il coltello è dotato di serbatoio porta lama. Il sistema cambio lama Rapid Load™ consente di rimuovere la lama usata e sostituirla con una lama nuova in modo semplice e veloce.Il coltello è anche dotato di clip per aggancio alla cintura.",/images/dewalt_products_resto/Coltellopieghevolealamaretrattile.webp,N/A
Morsetto a barra grande mm 300,dwht0-83193,"Morsetto a barra grande mm 300

Il morsetto a barra DEWALT da 300 mm è versatile e semplice da utilizzare. La struttura in nylon rinforzato e la barra in acciaio temprato garantiscono robustezza e durata. Con una pressione di serraggio di 135 kg, una profondità di 82 mm. Il pulsante di rilascio consente di trasformare il morsetto in allargatore. Il rivestimento delle ganasce è removibile per non lasciare segni sul materiale",/images/dewalt_products_resto/Morsettoabarragrandemm300.webp,N/A
