name,descrizione,colori,image_url,marca
Griglia tonda Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: ABS.",N/A,/images/first_corporation_prodotti/GrigliatondaDentroFuori.webp,First Corporation
Griglia rettangolare Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: ABS.",N/A,/images/first_corporation_prodotti/GrigliarettangolareDentroFuori.webp,First Corporation
Griglia tonda Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: METALLO.","Alluminio Bianco, Rame",/images/first_corporation_prodotti/GrigliatondaDentroFuori.webp,First Corporation
Griglia rettangolare Dentro Fuori,"Pratica, sicura, robusta e innovativa, consente la posa in opera dall’interno senza alcun utilizzo di scale o ponteggi Materiale: METALLO.","Alluminio Bianco, Rame",/images/first_corporation_prodotti/GrigliarettangolareDentroFuori.webp,First Corporation
Griglia estetica universale FUTUR125B,"Design elegante con possibilità, rimuovendo la sicura premontata, di regolare il passaggio aria fino a chiusura Materiale: ASA.",N/A,/images/first_corporation_prodotti/GrigliaesteticauniversaleFUTUR125B.webp,First Corporation
Griglia estetica universale QUTUR125B,"Design elegante con possibilità, rimuovendo la sicura premontata, di regolare il passaggio aria fino a chiusura Materiale: ASA.",N/A,/images/first_corporation_prodotti/GrigliaesteticauniversaleQUTUR125B.webp,First Corporation
Griglia tonda universale per fori da ø 40 a 160 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Cromato Satinato, Marrone, Ramato, Sabbia",/images/first_corporation_prodotti/Grigliatondauniversaleperforidaø40a160mm.webp,First Corporation
Griglia tonda universale per fori da ø 165 a 260 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Cromato Satinato, Marrone, Ramato, Sabbia",/images/first_corporation_prodotti/Grigliatondauniversaleperforidaø165a260mm.webp,First Corporation
Griglia tonda universale ad alette dritte per fori da ø 80 a 220 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/Grigliatondauniversaleadalettedritteperforidaø80a220mm.webp,First Corporation
Griglia Unica universale,Super-universale si adatta a tutti i fori da ⌀ 80 mm a 160 mm Materiale: ABS.,N/A,/images/first_corporation_prodotti/GrigliaUnicauniversale.webp,First Corporation
Griglia quadra e rettangolare universale,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliaquadraerettangolareuniversale.webp,First Corporation
Griglia quadra universale tipo “G” ad alette inclinate,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/GrigliaquadrauniversaletipoGadaletteinclinate.webp,First Corporation
Griglia quadra universale tipo “G” ad alette dritte,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/GrigliaquadrauniversaletipoGadalettedritte.webp,First Corporation
Placca a muro universale,Soluzione pratica ed estetica per chiudere un foro già esistente Materiale: ABS.,N/A,/images/first_corporation_prodotti/Placcaamurouniversale.webp,First Corporation
Diffusore aria universale,Diffonde l’aria lungo i 4 lati della griglia e non frontalmente Materiale: ABS.,N/A,/images/first_corporation_prodotti/Diffusoreariauniversale.webp,First Corporation
Griglia tonda da incasso per foro ø 60 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø60mm.webp,First Corporation
Griglia tonda da incasso per foro ø 80 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero, Ramato",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø80mm.webp,First Corporation
Griglia tonda da incasso per foro ø 100 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero, Ramato, Sabbia",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø100mm.webp,First Corporation
Griglia tonda da incasso per foro ø 110 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Nero",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø110mm.webp,First Corporation
Griglia tonda da incasso per foro ø 125 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: .,"Bianco, Marrone, Nero, Ramato, Sabbia",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø125mm.webp,First Corporation
Griglia tonda da incasso per foro ø 160 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone, Ramato",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø160mm.webp,First Corporation
Griglia tonda da incasso per foro ø 200 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø200mm.webp,First Corporation
Griglia tonda da incasso per foro ø 250 mm,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,"Bianco, Marrone",/images/first_corporation_prodotti/Grigliatondadaincassoperforoø250mm.webp,First Corporation
Griglia tonda da incasso ad alette dritte,Le griglie di aerazione sono indispensabili in qualsiasi ambiente per favorirne il corretto ricambio dell’aria Materiale: ABS.,N/A,/images/first_corporation_prodotti/Grigliatondadaincassoadalettedritte.webp,First Corporation
