name,brand,description,image_url
Resina epossidica FIS EM Plus,Fischer,Ancorante chimico epossidico ad alte prestazioni per ferri di ripresa e per ancoraggi strutturali pesanti con carichi sismici C1 e C2 con vita utile in esercizio certificata fino a 100 anni.,/images/fischer_prodotti/ResinaepossidicaFISEMPlus.webp
Ancorante chimico FIS SB Superbond,Fischer,Resina a iniezione in vinilestere ibrido con silani per installazioni con temperature del supporto a partire da -15°C.,/images/fischer_prodotti/AncorantechimicoFISSBSuperbond.webp
Ancorante chimico FIS VS,Fischer,"Resina a iniezione in vinilestere ibrido certificata per ancoraggi in calcestruzzo fessurato, riprese di getto e applicazioni sismiche (categoria di prestazione sismica C1 e C2)",/images/fischer_prodotti/AncorantechimicoFISVS.webp
Ancorante chimico FIS V Plus,Fischer,"Ancorante chimico per applicazioni antisismiche (C1 e C2), riprese di getto e fissaggi su muratura. Alte prestazioni garantite 100 anni.",/images/fischer_prodotti/AncorantechimicoFISVPlus.webp
Ancorante chimico FIS VW Plus,Fischer,Ancorante chimico vinilestere ibrido prestazioni per applicazioni invernali garantite 100 anni.,/images/fischer_prodotti/AncorantechimicoFISVWPlus.webp
Resina a iniezione senza sostanze pericolose FIS V Zero,Fischer,Massima sicurezza per le persone e l‘ambiente. Ancorante chimico strutturale FIS V Zero per ancoraggi su calcestruzzo e muratura e per riprese di getto con resistenza al fuoco.,/images/fischer_prodotti/ResinaainiezionesenzasostanzepericoloseFISVZero.webp
Ancorante chimico FIS C700 HP PRO.1 / T-BOND PRO.1,Fischer,Ancorante chimico vinilestere ibrido PRO.1 per il fissaggio in calcestruzzo fessurato e in muratura piena e forata di barre filettate soggette a carichi medio-pesanti e per la connessione di ferri di ripresa.,/images/fischer_prodotti/AncorantechimicoFISC700HPPRO1T-BONDPRO1.webp
Ancorante chimico FIS VE,Fischer,Resina vinilestere ibrida senza stirene per il fissaggio in calcestruzzo non fessurato e muratura piena e forata di barre filettate soggette a carichi medi.,/images/fischer_prodotti/AncorantechimicoFISVE.webp
Ancorante chimico FIS P PLUS,Fischer,Resina a iniezione in poliestere ibrido senza stirene certificata per ancoraggi in muratura e calcestruzzo non fessurato per carichi leggeri,/images/fischer_prodotti/AncorantechimicoFISPPLUS.webp
Sistema chimico Highbond FIS HB + FHB dyn,Fischer,Resina vinilestere a iniezione FIS HB da combinare con barre multicono FHB-A dyn per fissaggi soggetti a carichi dinamici.,/images/fischer_prodotti/SistemachimicoHighbondFISHBFHBdyn.webp
RSB ancorante chimico in fiala per calcestruzzo fessurato e carichi sismici,Fischer,Per fissaggi in calcestruzzo in ambito sismico categoria C1,/images/fischer_prodotti/RSBancorantechimicoinfialapercalcestruzzofessuratoecarichisismici.webp
RM II ancorante chimico in fiala per calcestruzzo fessurato,Fischer,Ancorante chimico in fiala di vetro certificato per applicazioni in calcestruzzo fessurato che non richiede la pulizia del foro,/images/fischer_prodotti/RMIIancorantechimicoinfialapercalcestruzzofessurato.webp
Barre multicono FHB II-A S e fiale FHB II-P/PF,Fischer,Barra multicono corta in acciaio e fiale di resina in vetro,/images/fischer_prodotti/BarremulticonoFHBII-ASefialeFHBII-PPF.webp
Barre multicono FHB II-A L e fiale FHB II-P/PF,Fischer,Barra multicono lunga in acciaio e fiale di resina in vetro,/images/fischer_prodotti/BarremulticonoFHBII-ALefialeFHBII-PPF.webp
Pistola KPM 2 PLUS,Fischer,Pistola manuale,/images/fischer_prodotti/PistolaKPM2PLUS.webp
Pistola FIS AC,Fischer,Pistola manuale,/images/fischer_prodotti/PistolaFISAC.webp
Pistola FIS DM C Pro,Fischer,Pistola manuale,/images/fischer_prodotti/PistolaFISDMCPro.webp
Pistola FIS AM,Fischer,Pistola manuale FIS AM per cartucce shuttle e standard,/images/fischer_prodotti/PistolaFISAM.webp
Pistola FIS DM S Pro,Fischer,Pistola manuale,/images/fischer_prodotti/PistolaFISDMSPro.webp
Pistola FIS DM S-L,Fischer,Pistola manuale,/images/fischer_prodotti/PistolaFISDMS-L.webp
Pistola FIS DM C,Fischer,Pistola manuale FIS DM C,/images/fischer_prodotti/PistolaFISDMC.webp
Pistola a batteria FIS DB Pro,Fischer,Pistola professionale a batteria per ancoranti chimici in cartuccia shuttle. Ideale in applicazioni seriali o in fori profondi.,/images/fischer_prodotti/PistolaabatteriaFISDBPro.webp
Pistola FIS DP C,Fischer,Pistola pneumatica,/images/fischer_prodotti/PistolaFISDPC.webp
Pistola FIS DP S-L,Fischer,Pistola pneumatica,/images/fischer_prodotti/PistolaFISDPS-L.webp
Pistola pneumatica FIS DP S-XL,Fischer,Pistola ad aria compressa per cartucce shuttle 1500 ml,/images/fischer_prodotti/PistolapneumaticaFISDPS-XL.webp
Pistola FIS AP,Fischer,Pistola pneumatica,/images/fischer_prodotti/PistolaFISAP.webp
Connessioni di barre di armatura,Fischer,Le connessioni professionali per barre di armatura,/images/fischer_prodotti/Connessionidibarrediarmatura.webp
FCC connettore a taglio calcestruzzo-calcestruzzo,Fischer,Connettore a taglio calcestruzzo-calcestruzzo. Sistema certificato per il consolidamento delle costruzioni.,/images/fischer_prodotti/FCCconnettoreatagliocalcestruzzo-calcestruzzo.webp
Miscelatore FIS MR Plus,Fischer,,/images/fischer_prodotti/MiscelatoreFISMRPlus.webp
Miscelatore FIS UMR,Fischer,,/images/fischer_prodotti/MiscelatoreFISUMR.webp
Prolunghe FIS EXT,Fischer,Prolunghe per miscelatore,/images/fischer_prodotti/ProlungheFISEXT.webp
Dispositivi per l'isolamento dielettrico e centraggio di barre filettate DD,Fischer,Accessori per il centraggio e il trattenimento sopratesta di barre filettate,/images/fischer_prodotti/DispositiviperlisolamentodielettricoecentraggiodibarrefilettateDD.webp
Boccola distanziatrice ACD,Fischer,Boccola distanziatrice per applicazioni altamente isolate elettricamente.,/images/fischer_prodotti/BoccoladistanziatriceACD.webp
Barra filettata FIS A classe 5.8,Fischer,"Barra filettata in acciaio zincato con classe di resistenza 5.8, con taglio dritto, dado e rosetta.",/images/fischer_prodotti/BarrafilettataFISAclasse58.webp
Barra filettata FIS A classe 8.8,Fischer,"Barra filettata in acciaio zincato con classe di resistenza 8.8, con taglio dritto, dado e rosetta",/images/fischer_prodotti/BarrafilettataFISAclasse88.webp
Barra filettata FIS A in acciaio inox R-70,Fischer,,/images/fischer_prodotti/BarrafilettataFISAinacciaioinoxR-70.webp
Controdado di sicurezza MU-SL R,Fischer,Controdado di sicurezza secondo Norme UNI 8835 – DIN 7967.,/images/fischer_prodotti/ControdadodisicurezzaMU-SLR.webp
Barra filettata da metro cl. 8.8,Fischer,"Barra filettata da metro in cl 8.8, zincata bianca (DIN 976-1)",/images/fischer_prodotti/Barrafilettatadametrocl88.webp
Barra filettata da metro classe cl. 4.6 / 4.8,Fischer,Barra filettata da metro in cl 4.6 / 4.8 zincata bianca (DIN 976-1),/images/fischer_prodotti/Barrafilettatadametroclassecl4648.webp
Barra filettata da metro classe cl. inox A2,Fischer,Barra filettata da metro in acciaio inox A2 (DIN 976-1),/images/fischer_prodotti/BarrafilettatadametroclasseclinoxA2.webp
Barra filettata da metro classe cl. A4,Fischer,Barra filettata da metro in acciaio inox A4 (DIN 976-1).,/images/fischer_prodotti/BarrafilettatadametroclasseclA4.webp
fischer FIS HK,Fischer,Tassello a rete,/images/fischer_prodotti/fischerFISHK.webp
Tassello FIS HN,Fischer,Tassello a calza con adattatore,/images/fischer_prodotti/TasselloFISHN.webp
Bussola retinata in metallo da 1 metro FIS HL,Fischer,,/images/fischer_prodotti/Bussolaretinatainmetalloda1metroFISHL.webp
Bussola FIS E,Fischer,Bussola con filettatura metrica interna per applicazioni certificate in muratura piena e forata,/images/fischer_prodotti/BussolaFISE.webp
Bussola RG,Fischer,Bussola con filettatura metrica interna per applicazioni certificate in calcestruzzo.,/images/fischer_prodotti/BussolaRG.webp
Barra filettata M,Fischer,"Barra filettata in acciaio classe 5.8 zincato bianco, con dado e rosetta, per bussola in acciaio",/images/fischer_prodotti/BarrafilettataM.webp
Barra filettata FIS M,Fischer,Barra filettata in acciaio classe 5.8 zincato bianco con dado e rosetta e taglio inclinato a 45°,/images/fischer_prodotti/BarrafilettataFISM.webp
Barra filettata FIS M A2,Fischer,"Barra filettata in acciaio inox A2 (DIN 976) con dado e rosetta, e taglio inclinato a 45°",/images/fischer_prodotti/BarrafilettataFISMA2.webp
fischer RG M,Fischer,Barra filettata in acciaio con dado e rosetta,/images/fischer_prodotti/fischerRGM.webp
Gancio FIS A RH,Fischer,Gancio forgiato classe 4.8 zincato bianco con dado e rosetta.,/images/fischer_prodotti/GancioFISARH.webp
Occhiolo FIS A OH,Fischer,Occhiolo classe 8.8 zincato bianco con dado e rosetta.,/images/fischer_prodotti/OcchioloFISAOH.webp
Cancano FIS A WH,Fischer,Cancano in acciaio classe 4.8 zincato bianco.,/images/fischer_prodotti/CancanoFISAWH.webp
fischer barra filettata,Fischer,Barra filettata con dado e rondella FIS GS M K in blister,/images/fischer_prodotti/fischerbarrafilettata.webp
fischer FIS W M K,Fischer,Accessori per fissaggio chimico di sanitari a parete FIS WM K in blister,/images/fischer_prodotti/fischerFISWMK.webp
fischer FIS-Rebar Kit,Fischer,KIT per l’inghisaggio in fori prodondi di barre di armatura,/images/fischer_prodotti/fischerFIS-RebarKit.webp
Accessori per calcestruzzo aerato autoclavato (AAC)/calcestruzzo cellulare,Fischer,Punta per foro conico e tassello di centraggio per barre di ancoraggio e bussole filettate internamente.,/images/fischer_prodotti/AccessoripercalcestruzzoaeratoautoclavatoAACcalcestruzzocellulare.webp
RA-SDS,Fischer,Accessorio di montaggio con attacco SDS per barre con estremità esagonale RG M o FHB II,/images/fischer_prodotti/RA-SDS.webp
BS Scovolini per calcestruzzo e muratura,Fischer,Scovolini per la pulizia di fori in calcestruzzo e muratura,/images/fischer_prodotti/BSScovolinipercalcestruzzoemuratura.webp
Prolunga per scovolino,Fischer,,/images/fischer_prodotti/Prolungaperscovolino.webp
Mandrino SDS M 8,Fischer,,/images/fischer_prodotti/MandrinoSDSM8.webp
SCOVOLINO BSB,Fischer,,/images/fischer_prodotti/SCOVOLINOBSB.webp
Pompetta di soffiaggio ABG per la pulizia manuale dei fori,Fischer,Pompetta di soffiaggio per la pulizia dei fori prima del montaggio del tassello.,/images/fischer_prodotti/PompettadisoffiaggioABGperlapuliziamanualedeifori.webp
Pistola ad aria compressa per pulizia foro,Fischer,,/images/fischer_prodotti/Pistolaadariacompressaperpuliziaforo.webp
Soffietto AB-K E,Fischer,,/images/fischer_prodotti/SoffiettoAB-KE.webp
Malta epossidica colabile ECM-X PLUS CE,Fischer,"Malta epossidica fluida per resine in latta, certificata secondo EN 1504-4 per incollaggi strutturali e EN 1504-6 per ancoraggi di barre di armatura in calcestruzzo.",/images/fischer_prodotti/MaltaepossidicacolabileECM-XPLUSCE.webp
Malta epossidica colabile per legno EC-WOOD,Fischer,Malta epossidica colabile per protesi e connessioni di elementi in legno.,/images/fischer_prodotti/MaltaepossidicacolabileperlegnoEC-WOOD.webp
Primer epossidico EC-PRIMER,Fischer,Sigillante adesivo strutturale epossidico con proprietà di promozione dell'adesione e protezione contro la corrosione,/images/fischer_prodotti/PrimerepossidicoEC-PRIMER.webp
Stucco epossidico EC-PLASTER,Fischer,Stucco adesivo strutturale epossidico ad elevata tixotropia per ricostruzioni ed incollaggi strutturali,/images/fischer_prodotti/StuccoepossidicoEC-PLASTER.webp
FAZ II Plus ancorante con fascetta espandente,Fischer,L'ancorante metallico a battere e a espansione ad alte prestazioni certificato per carichi statici su calcestruzzo fessurato e per applicazioni sismiche e dinamiche. Versione in acciaio zincato.,/images/fischer_prodotti/FAZIIPlusancoranteconfascettaespandente.webp
FAZ II Plus R ancorante con fascetta espandente in acciaio inossidabile,Fischer,L'ancorante metallico a battere e a espansione ad alte prestazioni certificato per carichi statici su calcestruzzo fessurato e per applicazioni sismiche e dinamiche. Versione in acciaio inossidabile con classe di resistenza alla corrosione CRC III.,/images/fischer_prodotti/FAZIIPlusRancoranteconfascettaespandenteinacciaioinossidabile.webp
FAZ II Plus HCR,Fischer,Il nuovo ancorante a battere in acciaio ad alta resistenza alla corrosione (CRC V) per il fissaggio di carichi pesanti nel calcestruzzo fessurato.,/images/fischer_prodotti/FAZIIPlusHCR.webp
FAZ II Plus H ancorante con fascetta espandente,Fischer,L'ancorante metallico a battere e a espansione ad alte prestazioni certificato per carichi statici su calcestruzzo fessurato e per applicazioni sismiche. Versione in acciaio zincato con dado cieco.,/images/fischer_prodotti/FAZIIPlusHancoranteconfascettaespandente.webp
"FAZ II Plus K R ancorante con fascetta espandente in acciaio inossidabile, versione corta",Fischer,L'ancorante metallico a battere e a espansione ad alte prestazioni certificato per carichi statici su calcestruzzo fessurato e per applicazioni sismiche. Versione corta in acciaio inossidabile con classe di resistenza alla corrosione CRC III.,/images/fischer_prodotti/FAZIIPlusKRancoranteconfascettaespandenteinacciaioinossidabileversionecorta.webp
