name,Marca,Descrizione,image_url
Batteria per lavabo a 3 fori in colore nero opaco Gattoni Taolos 1510015NO,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Taolos
Kit di fissaggio incluso
Senza Piletta di scarico
tipo di movimento: Ceramico
Materiale: ottone
Colore: Nero opaco",/images/gattoni_prodotti/Batteriaperlavaboa3foriincoloreneroopacoGattoniTaolos1510015NO.webp
Cartuccia ceramica di ricambio Ø25 Gattoni 40941,Gattoni,"Ø25
Perno innesto maniglia da 9x9 mm
Apertura a ""L"" con asta dritta
Compatibile con serie H20MIX3000 art.: 3041, 3042, 3051, 3052
Serie KUBIK art.: 2542, 2552",/images/gattoni_prodotti/CartucciaceramicadiricambioØ25Gattoni40941.webp
Cartuccia di ricambio per rubinetti Gattoni 40530,Gattoni,"Cartuccia diametro 40 senza distributore di colore BLU
Perno innesto maniglia in PVC quadro da mm.9x9
lavello cucina0800/PCCO 0415,3465,3470
Samoa:Vasca 3425
H2OMIX6000:lavabo 60066 vasca 60300,60310
Ricambio compatibile equivalente all'originale",/images/gattoni_prodotti/CartucciadiricambioperrubinettiGattoni40530.webp
Cartuccia di ricambio Ø35 ruotata 90° Gattoni 40830,Gattoni,"Marca: Gattoni Rubinetteria
Ø35
Compatibile con miscelatori serie ORTA",/images/gattoni_prodotti/CartucciadiricambioØ35ruotata90Gattoni40830.webp
Cartuccia ricambio diametro 35 mm Gattoni 40740,Gattoni,"il particolare di questa cartuccia e Diametro 35 mm con distributore CON REGOLAZIONE, il distributore così nominato si riconosce dal fondo, normalmente le cartucce hanno un fondo piatto, mentre quelle con distributore molto visibile sulla foto hanno sul fondo protuberanze bianche con guarnizioni OR nere, con due sedi per incastro
Ricambio compatibile equivalente all'originale",/images/gattoni_prodotti/Cartucciaricambiodiametro35mmGattoni40740.webp
Cartuccia termostatica per rubinetti GATTONI 40970,Gattoni,"Ricambio originale GATTONI
Descrizione del prodotto:
Cartuccia termostatica adatta a miscelatori doccia esterni
codici TS210-TS225",/images/gattoni_prodotti/CartucciatermostaticaperrubinettiGATTONI40970.webp
Cartuccia termostatica per rubinetti GATTONI 40975,Gattoni,"Ricambio originale GATTONI
Descrizione del prodotto:
Cartuccia termostatica adatta a miscelatori incasso doccia GBOX
codici SC050-TS050/22-TS055/22-ET050/22-ET055/22-TS050/29-TS055/29-ET050/29-ET055/29-TS050/44-TS055/44-TSRE940
",/images/gattoni_prodotti/CartucciatermostaticaperrubinettiGATTONI40975.webp
Cartuccia Ø40 mm con distributore Gattoni 40630,Gattoni,"Ricambio per rubinetti Gattoni
per rubinetti portata diametro 40 con distributore
Ricambio compatibile equivalente all'originale",/images/gattoni_prodotti/CartucciaØ40mmcondistributoreGattoni40630.webp
Colonna doccia colore nero opaco con doccetta in ottone e flessibile Gattoni Orta Old KT125/27N0.OLD,Gattoni,"Marca: Gattoni Rubinetterie
Serie: Orta Old
Miscelatore meccanico
Attacchi standard 1/2""G inclusi
Soffione da Ø202 mm
Doccetta monogetto anticalcare
Flessibile lungo 150 cm
Deviatore
Kit di fissaggio incluso
Materiale: ottone
Colore: nero opaco",/images/gattoni_prodotti/ColonnadocciacoloreneroopacocondoccettainottoneeflessibileGattoniOrtaOldKT12527N0OLD.webp
Colonna doccia con miscelatore termostatico finitura bianco opaco Gattoni Easy KIT/TS60BO,Gattoni,"Marca: Gattoni Rubinetteria
Serie: Easy
Doccetta monogetto
Soffione tondo Ø250 mm
Flessibile 150 cm incluso
Miscelatore termostatico incluso
N°2 eccentrici 1/2""G
Materiale: ottone
Finitura: bianco opaco",/images/gattoni_prodotti/ColonnadocciaconmiscelatoretermostaticofiniturabiancoopacoGattoniEasyKITTS60BO.webp
