name,name,descrizione,image_url
KOMFORT KMWR20 55x37,KOMFORT KMWR20 55x37,vaso sospeso rimless con +PLUS,/images/hidra_prodotti/KOMFORTKMWR2055x37.webp
KOMFORT KMR20 55x37,KOMFORT KMR20 55x37,vaso a terra komfort h45,/images/hidra_prodotti/KOMFORTKMR2055x37.webp
FASTER FAWR20 53x37,FASTER FAWR20 53x37,VASO SOSPESO RIMLESS,/images/hidra_prodotti/FASTERFAWR2053x37.webp
FASTER FART40 53x37,FASTER FART40 53x37,VASO TERRA FILO PARETE RIMLESS TRASLATO,/images/hidra_prodotti/FASTERFART4053x37.webp
FASTER FAR12 68x38,FASTER FAR12 68x38,VASO MONOBLOCCO RIMLESS TRASLATO,/images/hidra_prodotti/FASTERFAR1268x38.webp
FASTER FARTM20 48x37,FASTER FARTM20 48x37,VASO TERRA MINI FILO PARETE RIMLESS TRASLATO,/images/hidra_prodotti/FASTERFARTM2048x37.webp
FASTER FAWRM20 48x37,FASTER FAWRM20 48x37,VASO SOSPESO MINI,/images/hidra_prodotti/FASTERFAWRM2048x37.webp
HI-LINE HIW10 55x38,HI-LINE HIW10 55x38,VASO SOSPESO,/images/hidra_prodotti/HI-LINEHIW1055x38.webp
HI-LINE HI10 55x38,HI-LINE HI10 55x38,VASO TERRA FILO PARETE,/images/hidra_prodotti/HI-LINEHI1055x38.webp
HI-LINE HI12 68x38,HI-LINE HI12 68x38,VASO MONOBLOCCO,/images/hidra_prodotti/HI-LINEHI1268x38.webp
KIUB KIWR20 54x37,KIUB KIWR20 54x37,VASO SOSPESO RIMLESS,/images/hidra_prodotti/KIUBKIWR2054x37.webp
KIUB KIR20 54x37,KIUB KIR20 54x37,VASO A TERRA RIMLESS FILO PARETE,/images/hidra_prodotti/KIUBKIR2054x37.webp
GIÒ EVOLUTION GR20 55x37,GIÒ EVOLUTION GR20 55x37,"VASO A TERRA RIMLESS, TRASLATO E FILO PARETE",/images/hidra_prodotti/GIÒEVOLUTIONGR2055x37.webp
GIÒ EVOLUTION GWR20 55x37,GIÒ EVOLUTION GWR20 55x37,VASO SOSPESO RIMLESS,/images/hidra_prodotti/GIÒEVOLUTIONGWR2055x37.webp
ELLADE DW10,ELLADE DW10,VASO SOSPESO,/images/hidra_prodotti/ELLADEDW10.webp
ELLADE D20,ELLADE D20,VASO TRASLATO FILO PARETE,/images/hidra_prodotti/ELLADED20.webp
ELLADE D10R,ELLADE D10R,VASO RIMLESS SCARICO A PAVIMENTO,/images/hidra_prodotti/ELLADED10R.webp
ELLADE D11R,ELLADE D11R,VASO RIMLESS SCARICO A PARETE,/images/hidra_prodotti/ELLADED11R.webp
ELLADE D12R,ELLADE D12R,VASO MONOBLOCCO RIMLESS SCARICO PAVIMENTO,/images/hidra_prodotti/ELLADED12R.webp
ELLADE D13R,ELLADE D13R,VASO MONOBLOCCO RIMLESS SCARICO A PARETE,/images/hidra_prodotti/ELLADED13R.webp
ELLADE D23,ELLADE D23,VASO MONOBLOCCO TRASLATO FILO PARETE,/images/hidra_prodotti/ELLADED23.webp
ELLADE D59,ELLADE D59,CASSETTA ALTA CON COPERCHIO,/images/hidra_prodotti/ELLADED59.webp
ELLADE D58,ELLADE D58,CASSETTA A ZAINO,/images/hidra_prodotti/ELLADED58.webp
TOUR TUWR30 52x36,TOUR TUWR30 52x36,VASO SOSPESO RIMLESS,/images/hidra_prodotti/TOURTUWR3052x36.webp
TOUR TUR30 52x36,TOUR TUR30 52x36,VASO A TERRA RIMLESS TRASLATO FILO PARETE,/images/hidra_prodotti/TOURTUR3052x36.webp
TOUR 4.0 TUWR40 52x37,TOUR 4.0 TUWR40 52x37,VASO SOSPESO RIMLESS,/images/hidra_prodotti/TOUR40TUWR4052x37.webp
TOUR 4.0 TUR40 52x37,TOUR 4.0 TUR40 52x37,VASO TERRA RIMLESS FILO PARETE,/images/hidra_prodotti/TOUR40TUR4052x37.webp
MY MWR20 52x36,MY MWR20 52x36,VASO SOSPESO RIMLESS,/images/hidra_prodotti/MYMWR2052x36.webp
MY MR40 52X36,MY MR40 52X36,VASO A TERRA RIMLESS TRASLATO FILO PARETE,/images/hidra_prodotti/MYMR4052X36.webp
MY MR30 52x36,MY MR30 52x36,WC RIMLESS FILO PARETE (fino ad esaurimento scorte),/images/hidra_prodotti/MYMR3052x36.webp
KOMFORT KMW24 55x37,KOMFORT KMW24 55x37,BIDET SOSPESO,/images/hidra_prodotti/KOMFORTKMW2455x37.webp
KOMFORT KM24 55x37,KOMFORT KM24 55x37,BIDET TERRA FILOMURO,/images/hidra_prodotti/KOMFORTKM2455x37.webp
FASTER FAW14 53x37,FASTER FAW14 53x37,BIDET SOSPESO,/images/hidra_prodotti/FASTERFAW1453x37.webp
FASTER FA14 53x37,FASTER FA14 53x37,BIDET FILO PARETE,/images/hidra_prodotti/FASTERFA1453x37.webp
FASTER FAM24 48x37,FASTER FAM24 48x37,BIDET FILO PARETE MINI,/images/hidra_prodotti/FASTERFAM2448x37.webp
FASTER FAWM24 48x37,FASTER FAWM24 48x37,BIDET SOSPESO,/images/hidra_prodotti/FASTERFAWM2448x37.webp
HI-LINE HIW14 55x38,HI-LINE HIW14 55x38,BIDET SOSPESO,/images/hidra_prodotti/HI-LINEHIW1455x38.webp
HI-LINE HI14 55x38,HI-LINE HI14 55x38,BIDET TERRA FILO PARET MONOFORO,/images/hidra_prodotti/HI-LINEHI1455x38.webp
KIUB KIW14 54x37,KIUB KIW14 54x37,BIDET SOSPESO,/images/hidra_prodotti/KIUBKIW1454x37.webp
KIUB KI14 54x37,KIUB KI14 54x37,BIDET FILO PARETE,/images/hidra_prodotti/KIUBKI1454x37.webp
GIÒ EVOLUTION GWR24 55x37,GIÒ EVOLUTION GWR24 55x37,BIDET SOSPESO,/images/hidra_prodotti/GIÒEVOLUTIONGWR2455x37.webp
GIÒ EVOLUTION G24 55x37,GIÒ EVOLUTION G24 55x37,BIDET FILO PARETE,/images/hidra_prodotti/GIÒEVOLUTIONG2455x37.webp
ELLADE D24,ELLADE D24,BIDET FILO PARETE MONOFORO,/images/hidra_prodotti/ELLADED24.webp
ELLADE DW14,ELLADE DW14,BIDET SOSPESO,/images/hidra_prodotti/ELLADEDW14.webp
ELLADE D14,ELLADE D14,BIDET MONOFORO/3 FORI,/images/hidra_prodotti/ELLADED14.webp
TOUR TUW24I 52x36,TOUR TUW24I 52x36,BIDET SOSPESO,/images/hidra_prodotti/TOURTUW24I52x36.webp
TOUR TU24I 52x36,TOUR TU24I 52x36,BIDET TERRA,/images/hidra_prodotti/TOURTU24I52x36.webp
TOUR 4.0 TUW44 52x37,TOUR 4.0 TUW44 52x37,BIDET SOSPESO,/images/hidra_prodotti/TOUR40TUW4452x37.webp
TOUR 4.0 TU44 52x37,TOUR 4.0 TU44 52x37,BIDET TERRA FILO PARETE,/images/hidra_prodotti/TOUR40TU4452x37.webp
MY MW24 52x36,MY MW24 52x36,BIDET SOSPESO,/images/hidra_prodotti/MYMW2452x36.webp
MY M24 52x36,MY M24 52x36,BIDET FILO PARETE,/images/hidra_prodotti/MYM2452x36.webp
KOMFORT KM43,KOMFORT KM43,LAVABO TONDO D'APPOGGIO 43CM,/images/hidra_prodotti/KOMFORTKM43.webp
KOMFORT KM44,KOMFORT KM44,LAVABO TONDO D'APPOGGIO CON PIANO RUBINETTO 43CM,/images/hidra_prodotti/KOMFORTKM44.webp
KOMFORT KM60,KOMFORT KM60,LAVABO OVALE D'APPOGGIO CON PIANO RUBINETTO DX/SX 60cm,/images/hidra_prodotti/KOMFORTKM60.webp
HI-LINE HI19,HI-LINE HI19,LAVABO SOSPESO MONOFORO,/images/hidra_prodotti/HI-LINEHI19.webp
HI-LINE HI17,HI-LINE HI17,LAVABO APPOGGIO,/images/hidra_prodotti/HI-LINEHI17.webp
KIUB KI50,KIUB KI50,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI50.webp
KIUB KI60,KIUB KI60,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI60.webp
KIUB KI80,KIUB KI80,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI80.webp
KIUB KI100,KIUB KI100,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI100.webp
KIUB KI100DX,KIUB KI100DX,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI100DX.webp
KIUB KI100SX,KIUB KI100SX,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI100SX.webp
KIUB KI120,KIUB KI120,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI120.webp
KIUB KI120DV,KIUB KI120DV,LAVABO SOSPESO/APPOGGIO CON DOPPIA VASCA MONOFORO,/images/hidra_prodotti/KIUBKI120DV.webp
KIUB KI120DX,KIUB KI120DX,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI120DX.webp
KIUB KI120SX,KIUB KI120SX,LAVABO SOSPESO/APPOGGIO MONOFORO,/images/hidra_prodotti/KIUBKI120SX.webp
KIUB KI140DV,KIUB KI140DV,LAVABO SOSPESO/APPOGGIO CON DOPPIA VASCA MONOFORO,/images/hidra_prodotti/KIUBKI140DV.webp
GIÒ EVOLUTION G43E,GIÒ EVOLUTION G43E,LAVABO QUADRO D'APPOGGIO,/images/hidra_prodotti/GIÒEVOLUTIONG43E.webp
GIÒ EVOLUTION G42E,GIÒ EVOLUTION G42E,LAVABO TONDO D'APPOGGIO,/images/hidra_prodotti/GIÒEVOLUTIONG42E.webp
