name,brand,description,image_url
Perforatore TE 2-M,Hilti,Martello perforatore SDS Plus (TE-C) compatto multifunzione a tre modalità - per perforazione con e senza percussione,/images/hilti_prodotti/PerforatoreTE2-M.webp
Perforatore a batteria TE 2-22,Hilti,Perforatore a batteria SDS compatto e leggero con impugnatura pistola per una migliore maneggevolezza in caso di applicazioni di perforazione sopraelevata (piattaforma della batteria Nuron),/images/hilti_prodotti/PerforatoreabatteriaTE2-22.webp
Perforatore TE 3-C,Hilti,"Potente perforatore elettrico SDS plus a tre modalità per perforazione a percussione, perforazione solo rotante e scalpellatura",/images/hilti_prodotti/PerforatoreTE3-C.webp
Perforatore TE 3-M,Hilti,Potente perforatore multifunzione con impugnatura a pistola e a triplice modalità SDS Plus (TE-C) con funzione di scalpellatura,/images/hilti_prodotti/PerforatoreTE3-M.webp
Perforatore a batteria TE 4-22,Hilti,Perforatore a batteria SDS Plus compatto con il miglior rapporto prestazioni/peso per la perforazione sopratesta (piattaforma a batteria Nuron),/images/hilti_prodotti/PerforatoreabatteriaTE4-22.webp
Perforatore a batteria TE 5-22,Hilti,"Potente trapano perforatore a percussione rotante SDS Plus con corpo lungo e impugnatura a vanga, ideale per la foratura verso il basso (piattaforma a batteria Nuron)",/images/hilti_prodotti/PerforatoreabatteriaTE5-22.webp
Perforatore a batteria TE 6-22,Hilti,"Perforatore a batteria versatile SDS Plus con ampio raggio di foratura, funzione di scalpellatura e mandrino a cambio rapido (piattaforma a batteria Nuron)",/images/hilti_prodotti/PerforatoreabatteriaTE6-22.webp
Perforatore TE 6-CL,Hilti,Potente perforatore con impugnatura a D SDS Plus (TE-C) con funzione di scalpellatura,/images/hilti_prodotti/PerforatoreTE6-CL.webp
Perforatore a batteria TE 30-22,Hilti,3.9 kg,/images/hilti_prodotti/PerforatoreabatteriaTE30-22.webp
Combinato TE 30-ATC/AVR,Hilti,"Perforatore SDS plus (TE-C) potente per forature intense e scalpellature correttive nel calcestruzzo, con Active Torque Control (ATC, regolazione attiva della coppia) e Active Vibration Reduction (AVR, Sistema di Riduzione delle Vibrazioni)",/images/hilti_prodotti/CombinatoTE30-ATCAVR.webp
Combinato te 30 AVR,Hilti,"Potente perforatore SDS Plus (TE-C) per foratura intensiva e scalpellatura correttiva nel calcestruzzo, con Active Vibration Reduction (AVR)",/images/hilti_prodotti/Combinatote30AVR.webp
Combinato TE30,Hilti,Potente perforatore combinato SDS Plus (TE-C) per perforazioni intense nel calcestruzzo,/images/hilti_prodotti/CombinatoTE30.webp
Perforatore a batteria TE 50-22,Hilti,"Perforatore compatto e cordless SDS Max (TE-Y) con peso ridotto, maggiore potenza e minori vibrazioni per la foratura e la scalpellatura nel calcestruzzo (batteria Nuron)",/images/hilti_prodotti/PerforatoreabatteriaTE50-22.webp
Perforatore a batteria TE 60-22,Hilti,Potente perforatore cordless SDS Max (TE-Y) con AVR - Sistema di Riduzione delle Vibrazioni e ATC - Regolazione Attiva della Coppia per la perforazione e la scalpellatura ad uso intensivo del calcestruzzo (Nuron),/images/hilti_prodotti/PerforatoreabatteriaTE60-22.webp
Perforatore TE 60-AVR,Hilti,"Perforatore SDS Max (TE-Y) versatile e potente per la foratura e scalpellatura intensiva nel calcestruzzo, con Active Vibration Reduction (AVR)",/images/hilti_prodotti/PerforatoreTE60-AVR.webp
Combinato TE 60-ATC-AVR,Hilti,"Perforatore SDS Max (TE-Y) versatile e potente per forature e scalpellature nel cemento armato, con Active Vibration Reduction (AVR, regolazione attiva della coppia) e Active Torque Control (ATC, sistema di riduzione delle vibrazioni)",/images/hilti_prodotti/CombinatoTE60-ATC-AVR.webp
Combinato TE 70/ATC,Hilti,Perforatore molto potente SDS Max (TE-Y) per foratura e scalpellatura intensiva nel calcestruzzo,/images/hilti_prodotti/CombinatoTE70ATC.webp
Perforatore a batteria TE 2-A22,Hilti,"Perforatore cordless compatto, leggero, da 22 V per una maneggevolezza superiore",/images/hilti_prodotti/PerforatoreabatteriaTE2-A22.webp
Perforatore a batteria TE 4-A22,Hilti,Perforatore cordless da 22 V compatto con maniglia a D per una superiore maneggevolezza nelle applicazioni in serie,/images/hilti_prodotti/PerforatoreabatteriaTE4-A22.webp
Perforatore a batteria TE 6-A22,Hilti,"Potente perforatore a batteria da 22V con impugnatura a D, per maggiori prestazioni di foratura in calcestruzzo e di scalpellatura leggera",/images/hilti_prodotti/PerforatoreabatteriaTE6-A22.webp
Perforatore a batteria TE 6-A36,Hilti,Perforatore cordless da 36 V versatile e per prestazioni superiori,/images/hilti_prodotti/PerforatoreabatteriaTE6-A36.webp
Combinato a batteria TE 30-A36,Hilti,"Perforatore combinato a batteria ad elevate prestazioni, provvisto di motore brushless e ATC (Controllo attivo della coppia)",/images/hilti_prodotti/CombinatoabatteriaTE30-A36.webp
Combinato te 50 AVR,Hilti,"Il nostro perforatore SDS Max (TE-Y) più compatto, per un comfort e un controllo leggeri durante la foratura o la scalpellatura di calcestruzzo, pietra e muratura",/images/hilti_prodotti/Combinatote50AVR.webp
Combinato  TE 70-AVR,Hilti,"Potentissimo perforatore SDS Max (TE-Y) per foratura e scalpellatura intensiva nel calcestruzzo, con Active Vibration Reduction (AVR)",/images/hilti_prodotti/CombinatoTE70-AVR.webp
Martello demolitore TE 300-AVR SDS-Plus,Hilti,Martello demolitore SDS Plus (TE-C) molto leggero per correzioni di superfici nel calcestruzzo e muratura,/images/hilti_prodotti/MartellodemolitoreTE300-AVRSDS-Plus.webp
Martello demolitore cordless TE 500-22 SDS-Max,Hilti,"Martello demolitore cordless SDS Max (TE-Y) per la scalpellatura in calcestruzzo o muratura, con Sistema di Riduzione delle Vibrazioni (Active Vibration Reduction) (piattaforma batteria Nuron)",/images/hilti_prodotti/MartellodemolitorecordlessTE500-22SDS-Max.webp
Martello demolitore TE 500-AVR SDS-Max,Hilti,"Martello demolitore versatile SDS Max (TE-Y) per una scalpellatura leggera nel calcestruzzo e muratura, con Sistema di Riduzione delle Vibrazioni (AVR, Active Vibration Reduction)",/images/hilti_prodotti/MartellodemolitoreTE500-AVRSDS-Max.webp
Martello demolitore TE 500 SDS-Max,Hilti,Martello demolitore robusto SDS Max (TE-Y) per una scalpellatura leggera nel calcestruzzo e muratura,/images/hilti_prodotti/MartellodemolitoreTE500SDS-Max.webp
Martello demolitore TE 700-AVR SDS-Max,Hilti,"Potente martello demolitore SDS Max (TE-Y) per una scalpellatura pesante nel calcestruzzo e muratura, con Sistema di Riduzione delle Vibrazioni (AVR, Active Vibration Reduction)",/images/hilti_prodotti/MartellodemolitoreTE700-AVRSDS-Max.webp
TE 800-AVR,Hilti,"Robusto demolitore / martello demolitore con lunga durata di vita - ad alte prestazioni, basse vibrazioni - per lavorare a parete e solaio",/images/hilti_prodotti/TE800-AVR.webp
Demolitore per calcestruzzo TE 1000-AVR,Hilti,Demolitore versatile per demolizione o scalpellatura di pavimenti e applicazioni occasionali su pareti (con cavo di alimentazione universale),/images/hilti_prodotti/DemolitorepercalcestruzzoTE1000-AVR.webp
Martello pneumatico cordless TE 2000-22,Hilti,Martello pneumatico a batteria potente e leggero per la frantumazione del calcestruzzo e altri lavori di demolizione (piattaforma batteria Nuron),/images/hilti_prodotti/MartellopneumaticocordlessTE2000-22.webp
TE 2000-AVR,Hilti,Demolitore TE-S potente ed estremamente leggero per calcestruzzo e demolizioni,/images/hilti_prodotti/TE2000-AVR.webp
Martello pneumatico elettrico TE 3000-AVR per uso intensivo,Hilti,"Demolitore eccezionalmente potente per demolizioni pesanti nel calcestruzzo, il taglio di asfalto, la messa a terra e la posa di barre a terra",/images/hilti_prodotti/MartellopneumaticoelettricoTE3000-AVRperusointensivo.webp
Trapano avvitatore a batteria SF 4-22,Hilti,Trapano avvitatore a batteria compatto con regolazione attiva della coppia per applicazioni quotidiane di perforazione e avvitamento soprattutto in luoghi difficili da raggiungere (piattaforma della batteria Nuron),/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF4-22.webp
Trapano a percussione a batteria SF 4H-22,Hilti,Trapano a percussione compatto con regolazione attiva della coppia (ATC) per applicazioni quotidiane di perforazione e avvitamento soprattutto in luoghi difficili da raggiungere (piattaforma della batteria Nuron),/images/hilti_prodotti/TrapanoapercussioneabatteriaSF4H-22.webp
Trapano avvitatore a batteria SF 6-22,Hilti,Trapano avvitatore di classe superiore con regolazione attiva della coppia ed ergonomia avanzata per la foratura e l'avvitamento universali su legno e metallo (piattaforma a batteria Nuron),/images/hilti_prodotti/TrapanoavvitatoreabatteriaSF6-22.webp
Trapano a percussione a batteria SF 6H-22,Hilti,"Trapano a percussione di classe superiore con regolazione attiva della coppia ed ergonomia avanzata per la foratura e l'avvitamento universali su legno, metallo e muratura (piattaforma a batteria Nuron)",/images/hilti_prodotti/TrapanoapercussioneabatteriaSF6H-22.webp
