name,brand,description,image_url,category,product_url
35370 – AFFILACATENE SF7C106,Hyundai,"Affilacatene da taglio Hyundai con scocca in metallo e avanzamento semiautomatico: il massimo della comodità. La robusta scocca in metallo ospita un disco abrasivo in lega speciale. Possibilità di regolare l’angolo di affilatura di +35°/-35°, per trovare la posizione perfetta. Adatto a tutte le catene di motoseghe, potatori o qualsiasi altro attrezzo da taglio, a scoppio o elettrico, di qualsiasi marca. Risparmio ed ecologia tutto in uno.",/images/hyundai_prodotti/35370AFFILACATENESF7C106.webp,AFFILACATENE,https://www.vincoasti.com/prodotto/35370-affilacatene-sf7c106/
35910 – BIOTRITURATORE A SCOPPIO HY HY65H-GS,Hyundai,"Biotrituratore 4 tempi Hyundai a benzina d 6,5HP, 212cc di cilindrata. Doppie lame reversiili con un peso netto di 85Kg e lordo di 95Kg.",/images/hyundai_prodotti/35910BIOTRITURATOREASCOPPIOHYHY65H-GS.webp,BIOTRITURATORI,https://www.vincoasti.com/prodotto/35910-biotrituratore-a-scoppio-hy-hy65h-gs/
35900 – BIOTRITURATORE HYUNDAI 175CC 3.1KW,Hyundai,"Il biotriturature Hyundai è ideale dopo una potature, diametro massimo consigliato dei rami 44mm. Il contenitore da 30L è rimovibile. Due ruote da 20cm di diametro facilitano il trasporto.",/images/hyundai_prodotti/35900BIOTRITURATOREHYUNDAI175CC31KW.webp,BIOTRITURATORI,https://www.vincoasti.com/prodotto/35900-biotrituratore-hyundai-175cc-3-1kw/
35215 – DECESPUGLIATORE HYUNDAI LDBC430C,Hyundai,"Decespugliatore a scoppio 2 tempi da 43 cc con potenza di 1,7 HP, ideale per la manutenzione di giardini e aiuole. Dotato di testina a filo (460 rpm), disco in metallo da 255 mm, impugnatura comfort soft grip ed Easy Start con pompetta primer. Conforme alla normativa EURO 5. Incluso kit protezione con cuffie e maschera.",/images/hyundai_prodotti/35215DECESPUGLIATOREHYUNDAILDBC430C.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35215-decespugliatore-hyundai-ldbc430c/
37270 – DECESPUGLIATORE POLAR 25CC LDBC260,Hyundai,"decespugliatore Polar con testina in nylon, impugnatura ergonomica e diritta, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Leggero e maneggevole per una maggiore velocità di lavoro. L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio -1 tracolla – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/37270DECESPUGLIATOREPOLAR25CCLDBC260.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/37270-decespugliatore-polar-25cc-ldbc260/
35275 – DECESPUGLIATORE HYUNDAI 2 TEMPI 43CC,Hyundai,"Decespugliatore a scoppio 2 tempi da 43 cc con potenza di 1,7 HP e velocità fino a 11.000 rpm. Dotato di impugnatura ergonomica, testina a filo, disco in metallo a 8 denti e asta da 28 mm. Conforme alla normativa EURO 5 per basse emissioni. Inclusi maschera protettiva, tracolla comfort e doppio imballo (asta + motore).",/images/hyundai_prodotti/35275DECESPUGLIATOREHYUNDAI2TEMPI43CC.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35275-decespugliatore-hyundai-2-tempi-43cc/
37250 – DECESPUGLIATORE 4IN1 POLAR YSCG430MF,Hyundai,"decespugliatore Polar 4 in 1: decespugliatore per erbe, taglio arbusti, tagliasiepi, potatore. Ideale per tutti i lavori di manutenzione di piccoli giardini e frutteti. Basta sostituire il terminale dell’asta con l’accessorio adatto e non è più necessario possedere più attrezzi, ma soltanto uno! Impugnatura ergonomica e diritta ad innesto rapido. L’imballo contiene: 1 decespugliatore, 1 testina a filo in nylon – 1 disco da taglio in acciaio – 1 lama tagliasiepi – 1 accessorio motosega potatore – set chiavi – tanica per miscela – 1 tracolla.",/images/hyundai_prodotti/37250DECESPUGLIATORE4IN1POLARYSCG430MF.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/37250-decespugliatore-4in1-polar-yscg430mf/
35704 – DECESPUGLIATORE ELETTRICO 4 IN 1 SF7A204,Hyundai,"decespugliatore elettrico Hyundai 4 in 1. Comprende una testina a filo di nylon per il taglio dell’erba, 1 disco in acciaio da 254mm per gli arbusti, una sega potatore da 240mm e una tagliasiepi da430mm. Potente e silenzioso, perfetto per lavorare anche negli spazi più difficili da raggiungere e da curare, ottimo anche per rifinire bordature e viottoli. Con il sistema “Tap&Go” non è più necessario impiegare tempo e fatica per sostituire il filo di taglio, basterà un semplice movimento e l’attrezzo sarà di nuovo pronto per il taglio. Impugnatura ergonomica antiscivolo, per la massima comodità di taglio. Sistema antitrazione per evitare il distacco della presa elettrica durante il lavoro. Sistema a sicurezza intrinseca, permette il fermo immediato della testina quando viene rilasciato il tasto di avvio con la mano. L’imballo contiene: 1 decespugliatore elettrico – 1 testina in nylon – 1 disco in metallo per taglio arbusti – 1 accessorio sega potatore – 1 accessorio lama tagliasiepi",/images/hyundai_prodotti/35704DECESPUGLIATOREELETTRICO4IN1SF7A204.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35704-decespugliatore-elettrico-4-in-1-sf7a204/
35703 – DECESPUGLIATORE ELETTRICO SF7A214,Hyundai,"decespugliatore elettrico Hyundai con testina a filo di nylon, potente e silenzioso, perfetto per lavorare anche negli spazi più difficili da raggiungere e da curare, ottimo per rifinire bordature e viottoli. Con il sistema “Tap&Go” non è più necessario impiegare tempo e fatica per sostituire il filo di taglio, basterà un semplice movimento e l’attrezzo sarà di nuovo pronto per il taglio. Dotato di disco in metallo da 254mm di diametro per il taglio degli arbusti più resistenti. Impugnatura ergonomica antiscivolo, per la massima comodità di taglio. Sistema antitrazione per evitare il distacco della presa elettrica durante il lavoro. Sistema a sicurezza intrinseca, permette il fermo immediato della testina quando viene rilasciato il tasto di avvio con la mano. L’imballo contiene: 1 decespugliatore elettrico – 1 testina in nylon – 1 disco in metallo per taglio arbusti",/images/hyundai_prodotti/35703DECESPUGLIATOREELETTRICOSF7A214.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35703-decespugliatore-elettrico-sf7a214/
35700 – DECESPUGLIATORE 4TEMPI CG-KW-400,Hyundai,"decespugliatore Hyundai con testina in nylon, impugnatura ergonomica e diritta, dotato di testina con fili di nylon e disco per il taglio delle erbe più resistenti. Motore 4 tempi molto leggero, per un lavoro confortevole e più silenzioso grazie alla regolarità di funzionamento. L’imballo contiene: 1 decespugliatore – 1 testina in nylon – 1 disco da taglio in acciaio – 1 tracolla imbottita – set di chiavi – tanica per miscela.",/images/hyundai_prodotti/35700DECESPUGLIATORE4TEMPICG-KW-400.webp,DECESPUGLIATORE,https://www.vincoasti.com/prodotto/35700-decespugliatore-4tempi-cg-kw-400/
