name,marca,descrizione,categoria,image_url
SYNTESI,IMER,Betoniere con motore elettrico o a scoppio. Capacità vasca: da 140 a 350 l.,Betonaggio,/images/imer_products/SYNTESI.webp
MINIBETA,IMER,Betoniera di piccole dimensioni. Motore elettrico. Capacità vasca: 134 l.,Betonaggio,/images/imer_products/MINIBETA.webp
ROLLBETA,IMER,Betoniera di piccole dimensioni. Motore elettrico. Capacità vasca: 134 l. Supporto rotante opzionale.,Betonaggio,/images/imer_products/ROLLBETA.webp
RIOBETA 140,IMER,Betoniera di piccole dimensioni con scarico alto. Motore elettrico. Capacità vasca: 134 l.,Betonaggio,/images/imer_products/RIOBETA_140.webp
SPIN 15 A,IMER,Mescolatore a ciclo continuo. Capacità tramoggia 60 l.,Mescolamento,/images/imer_products/SPIN_15_A.webp
SPIN 30 PLUS,IMER,Mescolatore a ciclo continuo. Capacità tramoggia 110 l.,Mescolamento,/images/imer_products/SPIN_30_PLUS.webp
MIX 60 PLUS,IMER,Mescolatrice compatta con pala universale. Capacità vasca 56 l.,Mescolamento,/images/imer_products/MIX_60_PLUS.webp
MIX-ALL,IMER,Mescolatrice compatta con esclusiva pala a tre movimenti. Capacità vasca 56 l.,Mescolamento,/images/imer_products/MIX-ALL.webp
MIX 80,IMER,Mescolatrice planetaria ad azione forzata. Capacità vasca 80 l.,Mescolamento,/images/imer_products/MIX_80.webp
MIX 120 PLUS,IMER,Mescolatrice planetaria ad azione forzata. Capacità vasca 120 l.,Mescolamento,/images/imer_products/MIX_120_PLUS.webp
MIX 200,IMER,Mescolatrice planetaria ad azione forzata. Capacità vasca 200 l.,Mescolamento,/images/imer_products/MIX_200.webp
MIX 360 R PLUS,IMER,Mescolatrice planetaria ad azione forzata. Capacità vasca 360 l.,Mescolamento,/images/imer_products/MIX_360_R_PLUS.webp
MIX 750,IMER,Mescolatrice planetaria ad azione forzata. Capacità vasca 750 l.,Mescolamento,/images/imer_products/MIX_750.webp
ES 150 NEO,IMER,Elevatore con telaio fisso. Portata 150 kg.,Elevazione,/images/imer_products/ES_150_NEO.webp
ET 150 NEO,IMER,"Elevatore ad alta velocità, con telaio estensibile. Portata 150 kg.",Elevazione,/images/imer_products/ET_150_NEO.webp
TR VK 200 NEO,IMER,"Elevatore ad alta velocità, con telaio estensibile. Portata 200 kg.",Elevazione,/images/imer_products/TR_VK_200_NEO.webp
ET 200 NEO,IMER,Elevatore con telaio fisso. Portata 200 kg.,Elevazione,/images/imer_products/ET_200_NEO.webp
ETR 200 NEO,IMER,Elevatore con telaio estensibile. Portata 200 kg.,Elevazione,/images/imer_products/ETR_200_NEO.webp
TR 225 NEO,IMER,Elevatore con telaio estensibile. Portata 200 kg.,Elevazione,/images/imer_products/TR_225_NEO.webp
AP 120 SPRING,IMER,Argano per ponteggi. Portata 120 kg.,Elevazione,/images/imer_products/AP_120_SPRING.webp
AP 150,IMER,Argano per ponteggi. Portata 150 kg.,Elevazione,/images/imer_products/AP_150.webp
AIRONE 200 NEO,IMER,Elevatore a braccio telescopico. Portata 200 kg.,Elevazione,/images/imer_products/AIRONE_200_NEO.webp
AIRONE 300 NEW,IMER,Elevatore a braccio telescopico. Portata 300 kg.,Elevazione,/images/imer_products/AIRONE_300_NEW.webp
ET 300 NEO,IMER,Elevatore a cavalletto. Portata 300 kg.,Elevazione,/images/imer_products/ET_300_NEO.webp
G 500,IMER,Elevatore a cavalletto. Portata 500 kg.,Elevazione,/images/imer_products/G_500.webp
ACCESSORI ELEVAZIONE,IMER,,Elevazione,/images/imer_products/ACCESSORI_ELEVAZIONE.webp
COMBI 200 VA,IMER,Segatrice ad acqua con motore scorrevole. Per ceramica. Disco Ø 200 mm.,Segatrici,/images/imer_products/COMBI_200_VA.webp
COMBI 250 VA,IMER,Segatrice ad acqua con motore scorrevole. Per ceramica. Disco Ø 250 mm.,Segatrici,/images/imer_products/COMBI_250_VA.webp
COMBI 250-1000 VA,IMER,Segatrice ad acqua con motore scorrevole. Per ceramica. Disco Ø 250 mm.,Segatrici,/images/imer_products/COMBI_250-1000_VA.webp
COMBI 250-1500 VA,IMER,Segatrice ad acqua con motore scorrevole. Per ceramica. Disco Ø 250 mm.,Segatrici,/images/imer_products/COMBI_250-1500_VA.webp
C350 IPOWER,IMER,"Segatrice ad acqua con motore scorrevole. Per materiali lapidei, laterizi e pietra. Disco Ø 350 mm.",Segatrici,/images/imer_products/C350_IPOWER.webp
M400 SMART,IMER,Segatrice ad acqua con carrello scorrevole. Per blocchi. Disco Ø 350/400 mm.,Segatrici,/images/imer_products/M400_SMART.webp
MASONRY 600,IMER,Segatrice ad acqua con carrello scorrevole. Per blocchi. Disco Ø 600 mm.,Segatrici,/images/imer_products/MASONRY_600.webp
MASONRY 750 PLUS,IMER,Segatrice ad acqua con carrello scorrevole. Per blocchi di grandi dimensioni. Disco Ø 750 mm.,Segatrici,/images/imer_products/MASONRY_750_PLUS.webp
H 110 PLUS,IMER,Segatrice per legno con altezza di taglio fissa o regolabile. Disco Ø 350 mm.,Segatrici,/images/imer_products/H_110_PLUS.webp
DISCHI DIAMANTATI SERIE 3000,IMER,,Segatrici,/images/imer_products/DISCHI_DIAMANTATI_SERIE_3000.webp
TERRA 450,IMER,Tagliasfalti con motore benzina/diesel. Disco Ø 450 mm.,Tagliasfalti,/images/imer_products/TERRA_450.webp
TERRA 500,IMER,Tagliasfalti con motore benzina/diesel. Disco Ø 500 mm.,Tagliasfalti,/images/imer_products/TERRA_500.webp
VIBROCOSTIPATORI,IMER,"Vibrocostipatori con motore benzina. Potenza motore 2,1 kW.",Compattazione,/images/imer_products/VIBROCOSTIPATORI.webp
PIASTRE VIBRANTI,IMER,"Piastre vibranti marcia avanti con motore benzina/diesel. Potenza motore da 2,6 a 3,6 kW.",Compattazione,/images/imer_products/PIASTRE_VIBRANTI.webp
