name,marca,descrizione,image_url
Martello tedesco da banco,Kapriol,Martello tedesco da muratore con resistente testa in acciaio forgiato temprato verniciata e comodo manico ergonomico in frassino fissata con un cuneo metallico per garantire la massima sicurezza. I martelli da muratore Kapriol sono progettati per garantire prestazioni professionali grazie all'equilibrata distribuzione dei pesi che li rende ben bilanciati. Martello tedesco certificato secondo la norma DIN 1041 . SPECIFICHE TECNICHE testa verniciata con polvere epossidica manico fissato con cuneo metallico a norma DIN 1041 MATERIALI Testa : acciaio forgiato temprato Manico : legno di frassino,/images/kapriol_handtools/Martellotedescodabanco.webp
Martello da carpentiere Vienna,Kapriol,"Il martello da carpentiere Vienna dispone di una testa in acciaio forgiato con una speciale zigrinatura antiscivolo sulla superficie del battente , mentre, il lato opposto tagliente consente di svolgere lavori di demolizione e scalpellature, ed è dotato di sistema levachiodi laterale. La pratica spina di sicurezza inserita nella testa del martello impedisce la fuoriuscita dal manico. Il martello da muratore è equipaggiato di un resistente manico in acciaio tubolare cromato rivestito con l'impugnatura ergonomica Progrip Tri-componente in materiale plastico antiscivolo e antiurto. SPECIFICHE TECNICHE testa con speciale zigrinatura antiscivolo sul battente e levachiodi laterale spina di sicurezza nella testa per impedire la fuoriuscita dal manico lato con tagliente per demolizioni e scalpellature MATERIALI Testa : acciaio forgiato temprato Manico : acciaio tubolare cromato Impugnatura : materiale plastico",/images/kapriol_handtools/MartellodacarpentiereVienna.webp
Martello da carpentiere Roofing Hammer,Kapriol,"Martello da carpentiere specifico per la posa e copertura di tetti , con resistente testa in acciaio forgiato con speciale zigrinatura antiscivolo sul battente e spina di sicurezza che evita la fuoriuscita dal manico. Il martello da muratore per tetti si caratterizza per le penne levachiodi di diversa lunghezza : una corta mentre l'altra allungata per l’utilizzo nelle cavità strette difficilmente accessibili. Il robusto manico in acciaio tubolare cromato con impugnatura ergonomica in materiale plastico tricomponente consente una presa salda e sicura durante l'utilizzo. SPECIFICHE TECNICHE testa con speciale zigrinatura antiscivolo sul battente spina di sicurezza nella testa per impedire la fuoriuscita dal manico penne levachiodo di diversa lunghezza, una corta e una allungata MATERIALI Testa : acciaio forgiato temprato Manico : acciaio tubolare cromato Impugnatura : materiale plastico",/images/kapriol_handtools/MartellodacarpentiereRoofingHammer.webp
Martello da carpentiere Claw Hammer,Kapriol,"Resistente martello da carpentiere con testa in acciaio forgiato temprato interamente lucidata, dotata di alto collo che conferisce la massima stabilità al martello durante l'utilizzo. Le penne levachiodi hanno una particolare forma molto incurvata che facilita l’estrazione di chiodi con il minimo sforzo . Il martello da carpentiere Claw Hammer è equipaggiato di un comodo manico in materiale plastico antiscivolo Progrip Bi-component . SPECIFICHE TECNICHE testa interamente lucidata con alto collo penne levachiodi molto incurvate MATERIALI Testa : acciaio forgiato temprato Manico : materiale plastico bicomponente",/images/kapriol_handtools/MartellodacarpentiereClawHammer.webp
Martello da carpentiere Coffreur,Kapriol,Martello da carpentiere maneggevole e resistente con testa in acciaio altolegato al Nichel-Cromo-Molibdeno con sagomatura dei levachiodi per la facile e rapida estrazione dei chiodi. Il manico del martello Coffreur è dotato di pratica svasatura antisfilo ed è disponibile sia con manico in plastica antiscivolo Progrip Tri-componente che in legno di frassino verniciato trasparente. Tutti i martelli da carpentiere Kapriol vengono sottoposti a triplice trattamento termico per migliorarne le performance. SPECIFICHE TECNICHE testa verniciata con polvere epossidica disponibile sia con manico Progrip Tri-componente che manico in legno di frassino verniciato trasparente manico con svasatura antisfilo MATERIALI Testa : acciaio altolegato al Nichel-Cromo-Molibdeno Manico : lega di alluminio aeronautico temprato Impugnatura : materiale termoplastico,/images/kapriol_handtools/MartellodacarpentiereCoffreur.webp
Martello da carpentiere Madrid,Kapriol,"Martello da muratore classico con manico in legno di faggio certificato con pratica svasatura anti sfilo e testa in acciaio forgiato all'estremità funzionale alla battitura dei chiodi, mentre le penne consentono una semplice estrazione dei chiodi. Il martello da muratore Kapriol è un utensile professionale di alta qualità che viene sottoposto a triplice trattamento termico per garantire una maggior resistenza e durata nel tempo. SPECIFICHE TECNICHE testa verniciata con polvere epossidica manico con svasatura anti filo MATERIALI Testa : acciaio forgiato temprato Manico : legno di faggio",/images/kapriol_handtools/MartellodacarpentiereMadrid.webp
Martello da carpentiere Catania,Kapriol,"Martello da carpentiere con testa in acciaio forgiato temprato verniciata con polvere epossidica. La sagomatura e l'inclinazione dei levachiodi del martello facilitano il lavoro di estrazione del chiodo senza danneggiarlo o tranciarlo. Il martello da muratore Catania è disponibile sia nella versione con manico in legno di faggio con verniciatura trasparente, sia con manico ergonomico Progrip Tri-component in plastica antiscivolo resistente agli urti. SPECIFICHE TECNICHE testa verniciata con polvere epossidica manico verniciato trasparente MATERIALI Testa : acciaio forgiato temprato Manico : legno di faggio o plastica tricomponente",/images/kapriol_handtools/MartellodacarpentiereCatania.webp
Martello da carpentiere Bricklayer,Kapriol,"Martello da carpentiere professionale progettato per garantire una buona resa nella battitura e la facile estrazione di chiodi . Testa in acciaio altolegato al Nichel-Cromo-Molibdeno verniciata con polvere epossidica, con battente e penne levachiodi lucidate. La comoda impugnatura del manico in legno viene sottoposta a particolari trattamenti protettivi per aumentare la resistenza in tutte le condizioni d’uso. Il martello Bricklayer è disponibile con manico in legno di faggio o acacia di diverse lunghezze e peso complessivo. SPECIFICHE TECNICHE testa verniciata con polvere epossidica con battente e penne lucidate disponibile sia con manico Progrip Tri-componente che manico in legno di faggio certificato la parte finale del manico consente l'inserimento nel gancio portautensili MATERIALI Testa : acciaio altolegato al Nichel-Cromo-Molibdeno Manico : legno di faggio, frassino o acacia",/images/kapriol_handtools/MartellodacarpentiereBricklayer.webp
Martello da carpentiere Evolution Rivoir,Kapriol,"Resistente e maneggevole martello da carpentiere con testa in acciaio progettato per garantire una migliore resa in fase di battuta. Il particolare manico in lega di alluminio aeronautico temprato garantisce un'elevata resistenza e una maggior durata nel tempo. I martelli da carpentiere Kapriol sono progettati per garantire elevati standard di battitura e una facile estrazione dei chiodi , grazie al processo di stampaggio a caldo che conferisce una maggior resistenza meccanica ed elimina buona parte dei possibili difetti interni della materia prima. SPECIFICHE TECNICHE Testa sottoposta a triplice trattamento termico Verniciatura della testa con polvere epossidica e finitura martellata Battente, penne e superficie di appoggio lucidati Paracolpi in materiale plastico Spina di sicurezza che impedisce la fuoriuscita dal manico Manico in lega di alluminio aeronautico temprato Impugnatura ergonomica in materiale termoplastico con paracolpi in materiale plastico MATERIALI Testa : acciaio altolegato al Nichel-Chromo-Molibdeno Manico : lega di alluminio aeronautico temprato Impugnatura : materiale termoplastico",/images/kapriol_handtools/MartellodacarpentiereEvolutionRivoir.webp
Martello da carpentiere Evolution 927,Kapriol,"Martello da carpentiere con testa in acciaio altolegato al Nichel-Cromo-Molibdeno e spina di sicurezza che impedisce la fuoriuscita della testa dal manico, garantendo la massima tenuta. Il dimensionamento della testa conferisce al martello un'efficace azione dinamica. Il martello da carpentiere Evolution 927 si differenzia per il resistente manico Ergal 7075 , rivestito con l'impugnatura ergonomica in materiale termoplastico Santoprene e paracolpi in materiale composito antiurto. SPECIFICHE TECNICHE testa in acciaio con ampia superficie battente e inserto magnetico paracolpi in materiale composito antiurto profilo aprisacco in materiale composito manico in Ergal 7075 impugnatura ergonomica in materiale termoplastico Santoprene con elevata capacità di ridurre le vibrazioni MATERIALI Testa : acciaio altolegato al Nichel-Cromo-Molibdeno Manico : Ergal 7075 Impugnatura : materiale termoplastico Santoprene",/images/kapriol_handtools/MartellodacarpentiereEvolution927.webp
