name,marca,descrizione,image_url
Disco diamantato Zenit 3D F-DUO,Kapriol,"Zenit 3D F-DUO è il nuovo disco da taglio caratterizzato dalla speciale geometria del settore diamantato che garantisce un taglio ultrarapido ed elevato comfort di lavoro. Grazie all’evoluta tecnologia Zenith 3D , questo disco diamantato riduce le vibrazioni e il surriscaldamento dei segmenti e dell’anima in acciaio. Realizzato con speciali tecnologie che lo rendono estremamente veloce e durevole nel tempo il disco diamantato ultrarapido è indicato per il taglio a secco o a umido di cemento, laterizio. refrattari e pietra. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Abrasivi/Refrattari 🟠 Granito/Pietra 🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Zenit_3D_F-DUO.webp
Disco diamantato Power Pro,Kapriol,"Disco diamantato con corona segmentata che permette un taglio veloce e pratici fori di areazione che consentono all’ utensile di non surriscaldarsi durante il lavoro. Il disco da taglio Power Pro con un diametro di 230 mm e foro di 22,2 mm consente di effettuare tagli netti e precisi su materiali resistenti quali laterizio, cemento e cemento armato, pietra e granito. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠 Granito, pietra🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Power_Pro.webp
Disco diamantato SPRINTER,Kapriol,"Disco da taglio universale per il taglio a secco e a umido, dotato di corona segmentata che permette la fuoriuscita del materiale dal canale di taglio in maniera rapida. Il disco diamantato SPRINTER con stadard di qualità Premium può essere utilizzato con materiali come laterizio, cemento armato, pietra e granito . TIPOLOGIA MATERIALE Laterizio 🟠🟠 Cemento 🟠🟠 Cemento armato 🟠🟠 Granito/Pietra 🟠🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_SPRINTER.webp
Disco diamantato King,Kapriol,"Disco diamantato per macchine portatili realizzato con speciali tecnologie che lo rendono particolarmente veloce , garantendo un taglio netto e pulito su materiali resistenti. Il disco diamantato King è indicato per il taglio a umido di pietra, granito, cemento e laterizio . TIPOLOGIA MATERIALE Laterizio 🟠🟠 Cemento 🟠🟠 Cemento armato 🟠🟠 Abrasivi/Refrattari 🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Standard INDICAZIONI DI TAGLIO Taglio a umido",/images/kapriol_powertools/Disco_diamantato_King.webp
Disco da taglio Zenit 3D GM-BB,Kapriol,"Zenith 3D GM-BB è il nuovo disco diamantato che si avvale delle tecnologia 3D Evolution con grani di diamante disposti in svariate configurazioni, equidistanti tra loro e perfettamente allineati su ogni strato del settore diamantato all’interno del legante. Questa innovazione fa si che, al logorarsi di uno strato del disco diamantato, un nuovo strato di grani allineati si esponga uniformemente, garantendo prestazioni elevate. Il consumo uniforme di Zenith 3D consente alle macchine sulle quali viene montato di mantenere costante il numero di giri del motore e di non lavorare mai sotto carico, mantenedo la massima stabilità ed eliminando quasi totalmente gli eccessi di carico e le vibrazioni all’operatore. Il disco diamantato per scanalatura, con qualità platinum, è indicato per il taglio a secco di laterizio e cemento . TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Zenit_3D_GM-BB.webp
Disco diamantato Razor Gres,Kapriol,"Disco diamantato realizzato con speciali tecnologie che lo rendono particolarmente veloce, una lunga resistenza e durata di utilizzo. Il disco da taglio Razor Gres ha uno spessore del disco ridotto per garantire un taglio preciso e pulito su titti i tipi di materiali, quali gres porcellanato, ceramica, granito, pietra e marmo. Questo disco diamantato per piastrelle consette di effettuare tagli netti e puliti anche sui materiali più tenaci e resistenti . TIPOLOGIA MATERIALE Ceramica/Kinkler 🟠🟠🟠 Gres porcellanato 🟠🟠🟠 Granito/Pietra 🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Razor_Gres.webp
Disco diamantato Fissure Master,Kapriol,"Disco diamantato Fissure Master , con qualità Platinum, particolarmente resistente e di lunga durata , pensato per lavori pesanti di costruzione con materiali duri e resistenti. Questo disco da taglio è particolarmente indicato per l'utilizzo su laterizio, cemento e asfalto , grazie alla speciale corona segmentata che permette la fuoriuscita del materiale dal canale di taglio in maniera rapida. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Asfalto 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Fissure_Master.webp
Disco da taglio Metal Max,Kapriol,"Disco per smerigliatrice Metal Max con tecnologia Vacuum che conferisce al disco lunga durata e massima efficienza, riducendo i costi di taglio del metallo . Il disco da taglio Metal Max è una nuova e valida alternativa ai dischi abrasivi , offrendo i seguenti vantaggi: altezza di taglio costante , eliminazione dei rischi da rottura , elevata riduzione di odori e residui di polvere . Questo disco multiuso è indicato per il taglio a secco o a umido di diversi tipi di materiali come: lamiera, alluminio, acciaio inox, ferro e ghisa . TIPOLOGIA MATERIALE Lamiera 🟠🟠🟠 Alluminio 🟠🟠🟠 Acciaio Inox 🟠🟠🟠 Tondino 🟠🟠🟠 Ferro/Ghisa 🟠🟠🟠 STANDARD QUALITATITIVI Qualità Platinum INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Metal_Max.webp
Disco diamantato Flash,Kapriol,"Disco diamantato prodotto con tecnologia Forged , tramite l'utilizzo di un mix esclusivo di leganti e diamanti che conferiscono al disco la massima versatilità di taglio su tutti i tipi di materiali. Questo disco da taglio garantisce vibrazioni ridotte e un maggior comfort per l’operatore, oltre a una riduzione del 50% della possibilità di rottura o distacco del segmento dall’anima del disco. Il disco diamantato Flash è un prodotto con marchio OSA conforme alla normativa EN 13236 sulle performance e la sicurezza dei dischi da taglio. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠 Abrasivi/Refrattari 🟠🟠 Ferro/Ghisa 🟠🟠 Asfalto 🟠 Granito/Pietra 🟠🟠🟠 STANDARD QUALITATITIVI Qualità premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_diamantato_Flash.webp
Disco da taglio Tornado,Kapriol,"Resistente disco da taglio di qualità Premium costruito con speciali tecnologie che lo rendono particolarmente veloce e garantiscono un lunga durata di utilizzo. Il disco diamantato Tornado è adatto al taglio di cemento, abrasivi, refrattari, laterizio granito e pietra , ed è disponibile nella misura con diametro di 230 mm, foro di 22,2 mm e spessore di 2,5 mm. TIPOLOGIA MATERIALE Laterizio 🟠🟠🟠 Cemento 🟠🟠🟠 Cemento armato 🟠🟠🟠 Granito/Pietra 🟠🟠🟠 Abrasivi/Refrattari 🟠 STANDARD QUALITATITIVI Qualità Premium INDICAZIONI DI TAGLIO Taglio a secco Taglio a umido",/images/kapriol_powertools/Disco_da_taglio_Tornado.webp
