name,marca,descrizione,image_url
Elettropompa sommersa per acque scure SP 9.500 Dirt,Karcher,"Robusta e affidabile, la pompa sommersa SP 9.500 Dirt con una capacità fino a 9.500 l/h incluso interruttore a galleggiante è una pompa per il pompaggio e il trasferimento di acqua sporca.",/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_scure_SP_9.500_Dirt.webp
Elettropompa sommersa per acque chiare SP 9.000 Flat,Karcher,Gestisce fino a 9.000 l/h e pompa fino a un livello di 1 mm asciutto: la pompa sommersa ad aspirazione piatta SP 9.000 Flat è la pompa entry-level compatta per acque da chiare a leggermente sporche.,/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_chiare_SP_9.000_Flat.webp
Elettropompa sommersa per acque chiare e scure SP 5 Dual,Karcher,"La SP 5 Dual è la prima elettropompa sommersa per acqua scure ed acque chiare, fino a 9.500 l/h. Aspira fino ad 1 mm da terra ed è dotata di galleggiante regolabile.",/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_chiare_e_scure_SP_5_Dual.webp
Elettropompa sommersa per acque scure SP 22.000 Dirt Level Sensor,Karcher,Con sensore di livello e prefiltro integrato: la pompa sommersa per acque sporche SP 22.000 Dirt Level Sensor riesce a pompare acqua sporca fino a 22.000 l/h.,/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_scure_SP_22.000_Dirt_Level_Sensor.webp
Elettropompa sommersa per acque scure SP 22.000 Dirt,Karcher,"22.000 l/h, robusta e affidabile: la pompa sommersa per acque sporche SP 22.000 Dirt con prefiltro integrato e interruttore a galleggiante regolabile in altezza.",/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_scure_SP_22.000_Dirt.webp
Elettropompa sommersa per acque scure SP 11.000 Dirt,Karcher,Pompare in modo affidabile acqua con una capacità di pompaggio fino a 11.000 l/h: con la pompa per acqua sporca compatta e robusta SP 11.000 Dirt incl. interruttore a galleggiante.,/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_scure_SP_11.000_Dirt.webp
Elettropompa sommersa per acque scure SP 16.000 Dirt,Karcher,Pompare e trasferire rapidamente l'acqua sporca con una capacità di pompaggio fino a 16.000 l/h: con la robusta pompa per acqua sporca SP 16.000 Dirt incl. interruttore a galleggiante r,/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_scure_SP_16.000_Dirt.webp
Elettropompa sommersa per acque chiare e scure SP 16.000 Dual,Karcher,"Pompe fino a 16.000 l/h di acqua pulita e sporca: la robusta pompa sommersa SP 16.000 Dual con funzione 2 in 1 per acqua sporca, pescante piatto da 1 mm e interruttore a galleggiante",/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_chiare_e_scure_SP_16.000_Dual.webp
Elettropompa sommersa per acque chiare SP 17.000 Flat Level Sensor,Karcher,"Perfetto per max. 17.000 litri di acqua pulita: la potente pompa sommersa SP 17.000 Flat Level Sensor con pescante piatto da 1 mm, sensore di livello e interruttore automatico/manuale.",/images/karcher_prodotti_HG/Elettropompa_sommersa_per_acque_chiare_SP_17.000_Flat_Level_Sensor.webp
Elettropompe per irrigazione BP 7.000 Garden,Karcher,"La pompa da giardino BP 7.000 Garden è durevole, potente e perfettamente adatta all'irrigazione con acqua proveniente da fonti alternative come cisterne o serbatoi d'acqua.",/images/karcher_prodotti_HG/Elettropompe_per_irrigazione_BP_7.000_Garden.webp
