name,marca,descrizione,image_url
Idropulitrice ad alta pressione a filo con spazzole al carbonio 1800 W raffreddata ad aria KARCHER K 6 Black 165 bar,KARCHER,,/images/karcher_prodotti_LRM/Idropulitrice_ad_alta_pressione_a_filo_con_spazzole_al_carbonio_1800_W_raffreddata_ad_aria_KARCHER_K_6_Black_165_bar.webp
Vaporiera alimentazione elettrica KARCHER SC 1 EasyFix 1200 W,KARCHER,,/images/karcher_prodotti_LRM/Vaporiera_alimentazione_elettrica_KARCHER_SC_1_EasyFix_1200_W.webp
Idropulitrice ad alta pressione a filo con spazzole al carbonio 1800 W raffreddata ad aria KARCHER K 4 Black 130 bar,KARCHER,,/images/karcher_prodotti_LRM/Idropulitrice_ad_alta_pressione_a_filo_con_spazzole_al_carbonio_1800_W_raffreddata_ad_aria_KARCHER_K_4_Black_130_bar.webp
Aspiratore solidi e liquidi KARCHER KWD 6 P S V-30/8/22/T (BSY) *EU aspirazione 26 kPa 30 L 1300 W,KARCHER,,/images/karcher_prodotti_LRM/Aspiratore_solidi_e_liquidi_KARCHER_KWD_6_P_S_V-30_8_22_T_(BSY)__EU_aspirazione_26_kPa_30_L_1300_W.webp
Idropulitrice ad alta pressione a filo a induzione 1800 W raffreddata ad acqua KARCHER K 4 Power Control FLEX 130 bar,KARCHER,,/images/karcher_prodotti_LRM/Idropulitrice_ad_alta_pressione_a_filo_a_induzione_1800_W_raffreddata_ad_acqua_KARCHER_K_4_Power_Control_FLEX_130_bar.webp
Idropulitrice ad alta pressione a filo con spazzole al carbonio 1800 W raffreddata ad aria KARCHER K 5 Black 145 bar,KARCHER,,/images/karcher_prodotti_LRM/Idropulitrice_ad_alta_pressione_a_filo_con_spazzole_al_carbonio_1800_W_raffreddata_ad_aria_KARCHER_K_5_Black_145_bar.webp
Idropulitrice ad alta pressione a filo 3000 W raffreddata ad acqua KARCHER K 7 Power FLEX 180 bar,KARCHER,,/images/karcher_prodotti_LRM/Idropulitrice_ad_alta_pressione_a_filo_3000_W_raffreddata_ad_acqua_KARCHER_K_7_Power_FLEX_180_bar.webp
Idropulitrice ad alta pressione a filo a induzione 600 W raffreddata ad acqua KARCHER PCL 4 Lavasuperfici 10 bar,KARCHER,,/images/karcher_prodotti_LRM/Idropulitrice_ad_alta_pressione_a_filo_a_induzione_600_W_raffreddata_ad_acqua_KARCHER_PCL_4_Lavasuperfici_10_bar.webp
Aspirapolvere da officina KARCHER WD 3 V-17/6/20 CAR aspirazione 0 kPa 17 L 1000 W,KARCHER,,/images/karcher_prodotti_LRM/Aspirapolvere_da_officina_KARCHER_WD_3_V-17_6_20_CAR_aspirazione_0_kPa_17_L_1000_W.webp
Aspiratore solidi e liquidi KARCHER WD 3 V-19/4/20 aspirazione 20 kPa 19 L 1000 W,KARCHER,,/images/karcher_prodotti_LRM/Aspiratore_solidi_e_liquidi_KARCHER_WD_3_V-19_4_20_aspirazione_20_kPa_19_L_1000_W.webp
