name,brand,description,image_url
"Aquapanel Outdoor 12,5 mm",Knauf,"Lastra in cemento fibrorinforzato per pareti esterne, facciate ventilate e ambienti a diretto contatto con acqua.",/images/knauf_prodotti/AquapanelOutdoor125mm.webp
Danotile R.U.,Knauf,Pannello in gesso rivestito per controsoffitto modulare con orditura a T a vista,/images/knauf_prodotti/DanotileRU.webp
"Lastra Diamant (DFHIR) 12,5 mm",Knauf,Lastra in gesso rivestito con fibre minerali per altissima resistenza meccanica,/images/knauf_prodotti/LastraDiamantDFHIR125mm.webp
"Lastra GKB Advanced 12,5 mm",Knauf,"Lastra in gesso rivestito leggera, con innovativa tecnologia Li-Tek",/images/knauf_prodotti/LastraGKBAdvanced125mm.webp
CLT C1 THERMAL,Knauf,Doga rigida isolante in lana minerale di roccia lamellare con primer su un lato e bordi smussati,/images/knauf_prodotti/CLTC1THERMAL.webp
FKD RS,Knauf,Pannello rigido in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/FKDRS.webp
SmartRoof XTRA,Knauf,Pannello rigido isolante in lana minerale senza rivestimento,/images/knauf_prodotti/SmartRoofXTRA.webp
TP 432 KD,Knauf,Pannello isolante in lana minerale rivestito con velo vetro bio-based su un lato,/images/knauf_prodotti/TP432KD.webp
TOPIQ Efficient Pro Hygena 20,Knauf,Pannello in lana di roccia per controsoffitti modulari,/images/knauf_prodotti/TOPIQEfficientProHygena20.webp
AQUAPANEL® Basecoat,Knauf,Rasante cementizio per lastre Aquapanel,/images/knauf_prodotti/AQUAPANELBasecoat.webp
Tribon,Knauf,Massetto fluido premiscelato per interni,/images/knauf_prodotti/Tribon.webp
Fugenfüller Advanced,Knauf,"Stucco in polvere a base di gesso per la stuccatura dei giunti. Spiccato punto di bianco, livello Q4",/images/knauf_prodotti/FugenfüllerAdvanced.webp
"Profilo montante C 50/75/50 sp. 0,6 mm",Knauf,"Orditura metallica per la realizzazione di pareti, contropareti e controsoffitti autoportanti",/images/knauf_prodotti/ProfilomontanteC507550sp06mm.webp
Serie KS38 Profilo portante T 24/38,Knauf,Orditura metallica per la realizzazione di controsoffitti modulari ispezionabili,/images/knauf_prodotti/SerieKS38ProfiloportanteT2438.webp
Autolivellina NE 425 Advanced,Knauf,Massetto autolivellante a basso spessore per impianti radianti,/images/knauf_prodotti/AutolivellinaNE425Advanced.webp
Massetto fluido FE 80 Termico Advanced,Knauf,Massetto fluido premiscelato per interni ad alta conducibilità termica,/images/knauf_prodotti/MassettofluidoFE80TermicoAdvanced.webp
Lastra Fireboard 25 mm,Knauf,Lastra antifuoco in gesso rinforzato con fibre di vetro,/images/knauf_prodotti/LastraFireboard25mm.webp
"Lastra Kasa 12,5 mm",Knauf,Lastra in gesso rivestito per neutralizzazione degli agenti inquinanti nell'aria,/images/knauf_prodotti/LastraKasa125mm.webp
"Lastra Silentboard 12,5 mm",Knauf,Lastra in gesso rivestito per isolamento acustico,/images/knauf_prodotti/LastraSilentboard125mm.webp
"Lastra Vidiwall 12,5 mm",Knauf,Lastra in gessofibra per la massima resistenza meccanica e isolamento acustico,/images/knauf_prodotti/LastraVidiwall125mm.webp
Deciwool,Knauf,Pannello arrotolato in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/Deciwool.webp
Naturoll PLUS,Knauf,Rotolo isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturollPLUS.webp
SmartWall N C1,Knauf,Pannello rigido isolante in lana minerale di roccia con primer su un lato,/images/knauf_prodotti/SmartWallNC1.webp
Venti Pro,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/VentiPro.webp
THERMATEX® Alpha One 24,Knauf,Pannello in fibra minerale per controsoffitti modulari,/images/knauf_prodotti/THERMATEXAlphaOne24.webp
SM 700,Knauf,Rasante collante per sistema cappotto termico,/images/knauf_prodotti/SM700.webp
Super finish,Knauf,Stucco pronto in pasta a base gesso per la rasatura delle lastre in cartongesso,/images/knauf_prodotti/Superfinish.webp
Uniflott,Knauf,Stucco in polvere per la stuccatura dei giunti tra le lastre in cartongesso,/images/knauf_prodotti/Uniflott.webp
Superlivellina NE 499 Advanced,Knauf,Massetto autolivellante a bassissimo spessore per impianti radianti,/images/knauf_prodotti/SuperlivellinaNE499Advanced.webp
Ganci e clip,Knauf,Accessori per orditure metalliche,/images/knauf_prodotti/Gancieclip.webp
Pendini e ganci Nonius,Knauf,Accessori per sistema di sospensioni Nonius,/images/knauf_prodotti/PendinieganciNonius.webp
Nastro microforato Kurt,Knauf,Accessori per la stuccatura dei giunti,/images/knauf_prodotti/NastromicroforatoKurt.webp
"Idrolastra GKI (H) 12,5 mm",Knauf,Lastra in gesso rivestito a ridotto assorbimento di umidità,/images/knauf_prodotti/IdrolastraGKIH125mm.webp
"Ignilastra GKF (DF) 12,5 mm",Knauf,Lastra in gesso rivestito con fibre minerali per sistemi resistenti al fuoco,/images/knauf_prodotti/IgnilastraGKFDF125mm.webp
Isolastra Advanced PSE-G,Knauf,Lastra GKB Advanced accoppiata a pannello isolante in polistirolo espanso additivato con grafite (PSE-G) per isolamento termico,/images/knauf_prodotti/IsolastraAdvancedPSE-G.webp
"Lastra GKB (A) 12,5 mm",Knauf,Lastra in gesso rivestito standard,/images/knauf_prodotti/LastraGKBA125mm.webp
SmartWall S C1,Knauf,Pannello rigido isolante in lana minerale di roccia con primer su un lato,/images/knauf_prodotti/SmartWallSC1.webp
Ultracoustic P,Knauf,Pannello isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/UltracousticP.webp
Ultracoustic R,Knauf,Rotolo isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/UltracousticR.webp
Venti Pro B,Knauf,Pannello rigido isolante in lana minerale di roccia rivestito con velo vetro nero su un lato,/images/knauf_prodotti/VentiProB.webp
ECOMIN Orbit Micro 13,Knauf,Pannello in fibra minerale per controsoffitti modulari,/images/knauf_prodotti/ECOMINOrbitMicro13.webp
Thermatex Feinstratos Hygena A1 15,Knauf,Pannello in fibra minerale per controsoffitti modulari,/images/knauf_prodotti/ThermatexFeinstratosHygenaA115.webp
Roccia di Gambassi,Knauf,Intonaco a base gesso per interni,/images/knauf_prodotti/RocciadiGambassi.webp
Velvet,Knauf,Finitura liscia pregiata a base di gesso alabastrino,/images/knauf_prodotti/Velvet.webp
AQUAPANEL® Joint Filler grey,Knauf,Stucco per giunti a base cementizia per lastre Aquapanel,/images/knauf_prodotti/AQUAPANELJointFillergrey.webp
Fugenfüller Leicht,Knauf,Stucco in polvere a base di gesso per la stuccatura dei giunti,/images/knauf_prodotti/FugenfüllerLeicht.webp
Profilo C Plus 27/50/27,Knauf,Orditura metallica per la realizzazione di controsoffitti e contropareti,/images/knauf_prodotti/ProfiloCPlus275027.webp
Aquapanel Maxi Screws punta chiodo,Knauf,Viti per fissaggio di lastre Aquapanel su orditura metallica,/images/knauf_prodotti/AquapanelMaxiScrewspuntachiodo.webp
SmartWall FKL,Knauf,Pannello rigido isolante in lana minerale di roccia lamellare senza rivestimento,/images/knauf_prodotti/SmartWallFKL.webp
SmartWall N 500 FB,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartWallN500FB.webp
TI 212,Knauf,Rotolo isolante in lana minerale di vetro rivestito con carta kraft su un lato con ECOSE® Technology,/images/knauf_prodotti/TI212.webp
TP 216,Knauf,Pannello isolante in lana minerale di vetro rivestito con carta kraft su un lato con ECOSE® Technology,/images/knauf_prodotti/TP216.webp
Mineral Wool 32,Knauf,Pannello isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/MineralWool32.webp
Mineral Wool 32 ALU,Knauf,Pannello isolante in lana minerale di vetro rivestito con carta alluminata su un lato con ECOSE® Technology,/images/knauf_prodotti/MineralWool32ALU.webp
NaturBoard FORTE,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardFORTE.webp
NaturBoard PARTITION,Knauf,Pannello semi-rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardPARTITION.webp
Mineral Wool 32 K,Knauf,Pannello isolante in lana minerale di vetro rivestito con carta kraft su un lato con ECOSE® Technology,/images/knauf_prodotti/MineralWool32K.webp
Mineral Wool 35,Knauf,Pannello isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/MineralWool35.webp
NaturBoard PARTITION COMFORT,Knauf,Pannello semi-rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardPARTITIONCOMFORT.webp
NaturBoard SILENCE,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardSILENCE.webp
KI FIT 040,Knauf,Rotolo isolante in lana minerale di vetro senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/KIFIT040.webp
NaturBoard SILENCE ALU,Knauf,Pannello rigido isolante in lana minerale di roccia rivestito con alluminio retinato PE su un lato con ECOSE® Technology,/images/knauf_prodotti/NaturBoardSILENCEALU.webp
NaturBoard SILENCE B,Knauf,Pannello rigido isolante in lana minerale di roccia rivestito con velo vetro nero su un lato con ECOSE® Technology,/images/knauf_prodotti/NaturBoardSILENCEB.webp
SmartFacade 32 BP,Knauf,Pannello isolante in lana minerale di vetro rivestito con velo vetro nero su un lato con ECOSE® Technology,/images/knauf_prodotti/SmartFacade32BP.webp
NaturBoard SILENCE K,Knauf,Pannello rigido isolante in lana minerale di roccia rivestito su un lato con carta kraft con ECOSE® Technology,/images/knauf_prodotti/NaturBoardSILENCEK.webp
NaturBoard TIMBER,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardTIMBER.webp
NaturBoard TIMBER COMFORT,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardTIMBERCOMFORT.webp
NaturBoard TPT,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardTPT.webp
NaturBoard WALLS,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento con ECOSE® Technology,/images/knauf_prodotti/NaturBoardWALLS.webp
SmartRoof All-Fix THERMAL,Knauf,Pannello rigido isolante in lana minerale di roccia rivestito su un lato con velo vetro rinforzato,/images/knauf_prodotti/SmartRoofAll-FixTHERMAL.webp
SmartRoof BASE,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofBASE.webp
SmartRoof PRO,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofPRO.webp
SmartRoof THERMAL,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofTHERMAL.webp
SmartRoof TOP,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofTOP.webp
SmartRoof ULTRA,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartRoofULTRA.webp
SmartWall FKD S THERMAL,Knauf,Pannello rigido isolante in lana minerale di roccia senza rivestimento,/images/knauf_prodotti/SmartWallFKDSTHERMAL.webp
