name,Marca,descrizione,image_url
Leca CLS 1400: calcestruzzo leggero strutturale,Leca,premiscelato in sacco,/images/leca_prodotti/LecaCLS1400calcestruzzoleggerostrutturale.webp
Leca CLS 1600: calcestruzzo leggero strutturale,Leca,premiscelato in sacco,/images/leca_prodotti/LecaCLS1600calcestruzzoleggerostrutturale.webp
Leca CLS 1800: Calcestruzzo fibrato leggero,Leca,premiscelato in sacco,/images/leca_prodotti/LecaCLS1800Calcestruzzofibratoleggero.webp
Leca Inject-L Leggero: malta premiscelata leggera,Leca,Leca Inject-L Leggero: malta premiscelata leggera per riempimenti di vuoti e intercapedini murarie,/images/leca_prodotti/LecaInject-LLeggeromaltapremiscelataleggera.webp
Leca Inject-R Rapido: malta premiscelata leggera a rapido indurimento,Leca,Leca Inject-R Rapido: malta premiscelata leggera a rapido indurimento per riempimenti di vuoti e cavità,/images/leca_prodotti/LecaInject-RRapidomaltapremiscelataleggeraarapidoindurimento.webp
Leca Inject-S Strutturale: malta premiscelata leggera ad alte prestazioni,Leca,Leca Inject-S Strutturale: malta premiscelata leggera ad alte prestazioni (in classe R3) per riempimenti di vuoti e cavità,/images/leca_prodotti/LecaInject-SStrutturalemaltapremiscelataleggeraadalteprestazioni.webp
Connettore Legno Doppia Orditura: rinforzo solai in legno,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/ConnettoreLegnoDoppiaOrditurarinforzosolaiinlegno.webp
Leca CLS 1800 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,/images/leca_prodotti/LecaCLS1800CAMcalcestruzzoleggerostrutturaleconformeaiCAM.webp
Mini connettore calcestruzzo,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/Miniconnettorecalcestruzzo.webp
Leca CLS 1600 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,/images/leca_prodotti/LecaCLS1600CAMcalcestruzzoleggerostrutturaleconformeaiCAM.webp
Leca CLS 1400 CAM: calcestruzzo leggero strutturale conforme ai CAM,Leca,Premiscelato in sacco,/images/leca_prodotti/LecaCLS1400CAMcalcestruzzoleggerostrutturaleconformeaiCAM.webp
SuperGrip CentroStorico,Leca,"Promotore di adesione universale per lisciature, massetti, intonaci e rasature, in esterni ed esterni ed è privo di solventi",/images/leca_prodotti/SuperGripCentroStorico.webp
QUOTAZERO: massetto per strati di finitura e pendenze a basso spessore,Leca,"massetto terra umida, a basso spessore per esterni e interni",/images/leca_prodotti/QUOTAZEROmassettoperstratidifinituraependenzeabassospessore.webp
PaRis Fluid: massetto autolivellante per pavimenti riscaldati.,Leca,massetto antiritiro e a basso spessore,/images/leca_prodotti/PaRisFluidmassettoautolivellanteperpavimentiriscaldati.webp
Connettore Legno: rinforzo solai in legno,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/ConnettoreLegnorinforzosolaiinlegno.webp
Connettore Acciaio Avvitato: rinforzo solai in acciaio,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/ConnettoreAcciaioAvvitatorinforzosolaiinacciaio.webp
Connettore Acciaio Saldato: rinforzo solai mediante saldatura,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/ConnettoreAcciaioSaldatorinforzosolaimediantesaldatura.webp
Connettore Acciaio Incollato: rinforzo con elementi in acciaio incollato,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/ConnettoreAcciaioIncollatorinforzoconelementiinacciaioincollato.webp
Connettore Calcestruzzo per il consolidamento dei solai in laterocemento,Leca,connettore meccanico per consolidamento statico,/images/leca_prodotti/ConnettoreCalcestruzzoperilconsolidamentodeisolaiinlaterocemento.webp
Leca: Argilla espansa per la bioedilizia,Leca,"per sottofondi, coperture, riempimenti, alleggerimenti, isolamenti e calcestruzzi",/images/leca_prodotti/LecaArgillaespansaperlabioedilizia.webp
LecaPiù: argilla espansa a basso assorbimento d’acqua,Leca,per sottofondi di pavimenti sensibili all’umidità,/images/leca_prodotti/LecaPiùargillaespansaabassoassorbimentodacqua.webp
Leca TermoPiù: argilla espansa antirisalita di umidità,Leca,per sottofondi e vespai isolati contro terra,/images/leca_prodotti/LecaTermoPiùargillaespansaantirisalitadiumidità.webp
TermoBag: sacconi per drenaggio pareti contro terra,Leca,per l'isolamento termico delle pareti contro terra,/images/leca_prodotti/TermoBagsacconiperdrenaggiopareticontroterra.webp
PaviLeca: riempimento granulare per massetti a secco,Leca,per sottofondi di pavimenti a secco,/images/leca_prodotti/PaviLecariempimentogranularepermassettiasecco.webp
Lecacem Mini: Sottofondo alleggerito resistente a superficie chiusa,Leca,sottofondo alleggerito premiscelato in sacco,/images/leca_prodotti/LecacemMiniSottofondoalleggeritoresistenteasuperficiechiusa.webp
Lecacem Classic: Sottofondo alleggerito a veloce asciugatura,Leca,sottofondo alleggerito premiscelato in sacco,/images/leca_prodotti/LecacemClassicSottofondoalleggeritoaveloceasciugatura.webp
Lecacem Maxi: Sottofondo alleggerito drenante ad alto spessore,Leca,sottofondo alleggerito premiscelato in sacco,/images/leca_prodotti/LecacemMaxiSottofondoalleggeritodrenanteadaltospessore.webp
Sottofondo CentroStorico: leggero ad alta resistenza,Leca,sottofondo alleggerito premiscelato in sacco,/images/leca_prodotti/SottofondoCentroStoricoleggeroadaltaresistenza.webp
Sottofondo leggero NHL,Leca,sottofondo leggero predosato a base di pura calce idraulica naturale,/images/leca_prodotti/SottofondoleggeroNHL.webp
Lecamix Fast: Massetto alleggerito a veloce asciugatura,Leca,massetto alleggerito premiscelato in sacco,/images/leca_prodotti/LecamixFastMassettoalleggeritoaveloceasciugatura.webp
Lecamix Forte: Massetto alleggerito antiritiro,Leca,massetto alleggerito premiscelato in sacco,/images/leca_prodotti/LecamixForteMassettoalleggeritoantiritiro.webp
Lecamix Facile: premiscelato in sacco per la realizzazione di massetti alleggeriti e massetti isolanti,Leca,massetto alleggerito premiscelato in sacco,/images/leca_prodotti/LecamixFacilepremiscelatoinsaccoperlarealizzazionedimassettialleggeritiemassettiisolanti.webp
Massetto CentroStorico: massetto alleggerito fibrorinforzato,Leca,massetto alleggerito premiscelato in sacco,/images/leca_prodotti/MassettoCentroStoricomassettoalleggeritofibrorinforzato.webp
Massetto Leggero NHL: massetto a base calce idraulica naturale,Leca,predosato leggero a base di calce idraulica naturale NHL 3.5,/images/leca_prodotti/MassettoLeggeroNHLmassettoabasecalceidraulicanaturale.webp
PaRis 2.0: Massetto radiante ad alta conducibilità,Leca,"fibrorinforzato, ad altà conducibilità, a basso spessore ed ecosostenibile",/images/leca_prodotti/PaRis20Massettoradianteadaltaconducibilità.webp
PaRis SLIM: Massetto radiante autolivellante a basso spessore,Leca,per pavimenti riscaldati e lisciature di fondi irregolari,/images/leca_prodotti/PaRisSLIMMassettoradianteautolivellanteabassospessore.webp
ultraSLIM: livellina antiritiro per lisciatura e livellamento fondi irregolari,Leca,massetto fluido ultrasottile,/images/leca_prodotti/ultraSLIMlivellinaantiritiroperlisciaturaelivellamentofondiirregolari.webp
Massettomix Pronto: massetto pronto a rapida asciugatura,Leca,massetto premiscelato a rapida asciugatura,/images/leca_prodotti/MassettomixProntomassettoprontoarapidaasciugatura.webp
Calcestruzzo CentroStorico: Calcestruzzo alleggerito fibrato,Leca,premiscelato in sacchi,/images/leca_prodotti/CalcestruzzoCentroStoricoCalcestruzzoalleggeritofibrato.webp
Micro calcestruzzo CentroStorico,Leca,microcalcestruzzo fibrorinforzato a elevate prestazioni,/images/leca_prodotti/MicrocalcestruzzoCentroStorico.webp
Betoncino strutturale NHL: betoncino a base calce idraulica naturale,Leca,predosato leggero a base di calce idraulica naturale NHL 3.5,/images/leca_prodotti/BetoncinostrutturaleNHLbetoncinoabasecalceidraulicanaturale.webp
Connettore chimico: adesivo epossidico per il rinforzo strutturale,Leca,connettore chimico per consolidamento statico,/images/leca_prodotti/Connettorechimicoadesivoepossidicoperilrinforzostrutturale.webp
Connettore Perimetrale: collegamento solaio-pareti e cerchiatura antisismica,Leca,connettore perimetrale per consolidamento antisismico,/images/leca_prodotti/ConnettorePerimetralecollegamentosolaio-paretiecerchiaturaantisismica.webp
Ancorante Chimico: resina per il fissaggio di Connettore Perimetrale,Leca,ancorante per connettore perimetrale,/images/leca_prodotti/AncoranteChimicoresinaperilfissaggiodiConnettorePerimetrale.webp
Materassino CentroStorico: Isolanti acustici sottopavimento,Leca,materassino anticalpestio sottopavimento,/images/leca_prodotti/MaterassinoCentroStoricoIsolantiacusticisottopavimento.webp
Materassino CalpeStop: Isolante acustico al calpestio,Leca,materassino anticalpestio,/images/leca_prodotti/MaterassinoCalpeStopIsolanteacusticoalcalpestio.webp
Termointonaco Laterlite: intonaco termico base calce o cemento,Leca,intonaco termico premiscelato,/images/leca_prodotti/TermointonacoLaterliteintonacotermicobasecalceocemento.webp
Intonaco Tagliafuoco: Intonaco REI 180 protettivo al fuoco,Leca,intonaco REI premiscelato,/images/leca_prodotti/IntonacoTagliafuocoIntonacoREI180protettivoalfuoco.webp
Malta Leca M5: Malta per muratura isolante premiscelata,Leca,malta premiscelata leggera,/images/leca_prodotti/MaltaLecaM5Maltapermuraturaisolantepremiscelata.webp
Malta Leca M10: Malta per muratura isolante premiscelata,Leca,malta premiscelata leggera,/images/leca_prodotti/MaltaLecaM10Maltapermuraturaisolantepremiscelata.webp
Malta Strutturale NHL: per intonaci e rinforzi a base calce idraulica naturale,Leca,predosato leggero a base di calce idraulica naturale NHL 3.5,/images/leca_prodotti/MaltaStrutturaleNHLperintonacierinforziabasecalceidraulicanaturale.webp
AgriLeca: Argilla espansa per giardini pensili,Leca,argilla espansa a PH neutro,/images/leca_prodotti/AgriLecaArgillaespansapergiardinipensili.webp
AgriLaterLite: argilla espansa per piante in vaso e fioriere,Leca,palline di argilla espansa,/images/leca_prodotti/AgriLaterLiteargillaespansaperpianteinvasoefioriere.webp
LecaGreen: Substrato colturale leggero,Leca,substrato per giardini pensili,/images/leca_prodotti/LecaGreenSubstratocolturaleleggero.webp
IdroLeca: Argilla espansa per coltura idroponica,Leca,argilla espansa per coltivazioni fuori suolo,/images/leca_prodotti/IdroLecaArgillaespansapercolturaidroponica.webp
LecaDrain: Strato drenante leggero e resistente,Leca,strato drenante per giardini pensili,/images/leca_prodotti/LecaDrainStratodrenanteleggeroeresistente.webp
Membrana CentroStorico semi traspirante,Leca,membrana per la protezione dei solai in legno,/images/leca_prodotti/MembranaCentroStoricosemitraspirante.webp
Lattice d’aggrappo e fissativo superficiale,Leca,promotore d'adesione e fissativo superficiale,/images/leca_prodotti/Latticedaggrappoefissativosuperficiale.webp
Primer CentroStorico: Resina epossidica bicomponente,Leca,primer antirisalita di umidità,/images/leca_prodotti/PrimerCentroStoricoResinaepossidicabicomponente.webp
SabbiaLeca: argilla espansa per intonaci tagliafuoco,Leca,inerte leggero,/images/leca_prodotti/SabbiaLecaargillaespansaperintonacitagliafuoco.webp
Leca LCM: Argilla espansa per vasche di stoccaggio,Leca,per l'abbattimento delle emissioni inquinanti,/images/leca_prodotti/LecaLCMArgillaespansapervaschedistoccaggio.webp
Impastatrici LecaMix: Impastatrice per sottofondi e massetti,Leca,mescolatore a ciclo continuo,/images/leca_prodotti/ImpastatriciLecaMixImpastatricepersottofondiemassetti.webp
ReoLeca,Leca,betoncino leggero pompabile,/images/leca_prodotti/ReoLeca.webp
