name,brand,description,image_url
Makita Faro a batteria DEADML805,Makita,"Alimentazione: A BATTERIA | Batteria Fornita: No | Tipologia: Faro a batteria | Valigetta: No | Batterie Compatibili: BL1430 - BL1440 - BL1830 - BL1840 - BL11850 - BL1860 | Caricabatteria Compatibili: DC18RC - DC18RD | Caricabatteria Fornito: No | Autonomia: 8,5 - 17 h | N. Led: 20",/images/makita_products/Makita_Faro_a_batteria_DEADML805.webp
Makita Tassellatore-Scalpellatore 3 funzioni SDS-Plus compatibile HR2630TX12,Makita,"Tassellatore con impugnatura ergonomica dotato di
portapunte ad innesto rapido per punte SDS-Plus
compatibili. Adatto per foratura e foratura ad
impatto. Potenza del motore di 800 W e velocità
regolabile tra 0 e 1.200 giri/min tramite l' interruttore
elettronico. Energia d'urto di 2,4 J. 3 funzioni:
rotazione, percussione, rotazione + percussione.
LED di illuminazione per illuminare la zona di lavoro.
E' presente la frizione di sicurezza per la sicurezza
dell'operatore durante la lavorazione. Dotato di
tecnologia anti vibrazione (AVT) per ridurre al minimo
le vibrazioni durante l'utilizzo. Cavo di alimentazione
2,5m.",/images/makita_products/Makita_Tassellatore-Scalpellatore_3_funzioni_SDS-Plus_compatibile_HR2630TX12.webp
Makita Tassellatore-Scalpellatore 3 funzioni SDS-Plus Compatibili HR2631FT12,Makita,"Tassellatore con impugnatura ergonomica dotato di portapunte ad innesto rapido per punte SDS-Plus compatibili. Adatto per foratura e foratura ad impatto. Potenza del motore di 800 W e velocità regolabile tra 0 e 1.200 giri/min tramite l' interruttore elettronico. Energia d'urto di 2,4 J. 3 funzioni: rotazione, percussione, rotazione + percussione. LED di illuminazione per illuminare la zona di lavoro. E' presente la frizione di sicurezza per la sicurezza dell'operatore durante la lavorazione. Dotato di tecnologia anti vibrazione (AVT) per ridurre al minimo le vibrazioni durante l'utilizzo. Cavo di alimentazione 2,5m. Accessori in dotazione: Impugnatura laterale, asta di profondità, mandrino autoserrante, valigetta, valigetta 17 accessori.",/images/makita_products/Makita_Tassellatore-Scalpellatore_3_funzioni_SDS-Plus_Compatibili_HR2631FT12.webp
Makita Prolunga per carotatrice P-66759,Makita,Attacco utensile: 1.1/4 UNC | Dimensioni: 300 mm,/images/makita_products/Makita_Prolunga_per_carotatrice_P-66759.webp
Makita Frusta per vernice D. mm. 100 P-22028,Makita,Attacco utensile: M14 | Lunghezza: 590 mm | Diametro: 100 mm,/images/makita_products/Makita_Frusta_per_vernice_D._mm._100_P-22028.webp
Makita Frusta per colla D. mm. 120 P-22012,Makita,Attacco utensile: M14 | Lunghezza: 590 mm | Diametro: 120 mm,/images/makita_products/Makita_Frusta_per_colla_D._mm._120_P-22012.webp
Makita Frusta per intonaco D. mm. 120 P-22056,Makita,Attacco utensile: M14 | Lunghezza: 590 mm | Diametro: 120 mm | Quantità massima: 15-30 kg,/images/makita_products/Makita_Frusta_per_intonaco_D._mm._120_P-22056.webp
Makita Frusta per intonaco D. mm. 100 P-02353,Makita,Attacco utensile: SW10 | Lunghezza: 590 mm | Diametro: 100 mm | Quantità massima: 10-25 kg,/images/makita_products/Makita_Frusta_per_intonaco_D._mm._100_P-02353.webp
Makita Frusta per colla D. mm. 80 P-02331,Makita,Attacco utensile: SW8 | Lunghezza: 400 mm | Diametro: 80 mm | Quantità massima: 5-20 kg,/images/makita_products/Makita_Frusta_per_colla_D._mm._80_P-02331.webp
Makita Frusta per vernice D. mm. 90 P-02347,Makita,Attacco utensile: SW8 | Lunghezza: 400 mm | Diametro: 90 mm | Quantità massima: 6-10 kg,/images/makita_products/Makita_Frusta_per_vernice_D._mm._90_P-02347.webp
"Makita Kit Energy 5,0 Ah + Carica Doppio",Makita,"Capacità batteria al litio: 5,0 Ah | Caricabatteria Fornito: DC18RD","/images/makita_products/Makita_Kit_Energy_5,0_Ah_+_Carica_Doppio.webp"
Makita Trapano angolare 18V DDA350ZJ,Makita,Capacità foro metallo: 10 mm | Capacità foro legno: 25 mm | Velocità a vuoto g/min: 0-1.800 g/min | Capacità mandrino: mm 10 | Alimentazione: A BATTERIA | Batteria Fornita: No | Led Illuminazione: Si | Valigetta: Si | Reversibilità: Si | Interruttore elettronico: Si (palmare) | Carboncini: CB-440 | Mandrino: Cremagliera | Gamma Batteria: 18 V,/images/makita_products/Makita_Trapano_angolare_18V_DDA350ZJ.webp
Makita Cuffia aspirazione 198440-5,Makita,Capacità: 230 mm | Tipologia: Cuffia aspirazione | Valigetta: No | Utilizzo: Taglio | Dimensione: 40x25x10 cm,/images/makita_products/Makita_Cuffia_aspirazione_198440-5.webp
Makita Aspiratore Soffiatore UB1103,Makita,"Depressione massima: 5,7 kpa | Potenza: 600W | Velocità a vuoto g/min: 16.000 g/min | Portata aria: 4,1 m³/min | Alimentazione: A FILO | Tipologia: Soffiatore ed aspiratore | Valigetta: No | Serie: Z | Interruttore elettronico: No | Cavo alimentazione: 2,5 m",/images/makita_products/Makita_Aspiratore_Soffiatore_UB1103.webp
Makita Aspiratore 18V BL Motor DCL501Z,Makita,"Depressione massima: 6,6 kPa | Portata aria: 1,3 m³/min | Alimentazione: A BATTERIA | Batteria Fornita: No | Tipologia: Aspiratore a batteria | Serbatoio: Plastica | Tipologia Batteria: Litio | Motore: Brushless | Batterie Compatibili: BL1830 - BL1840 - BL1850 - BL1860 | Caricabatteria Compatibili: DC18RC - DC18RD | Caricabatteria Fornito: No | Filtro: Cyclone | Utilizzo: Polvere | Capacità serbatoio: 250 ml | Dimensione: 352x189x252 mm | Autonomia: 29/64 min (BL1850) | Accessori Forniti: Tubo flessibile, tubo telescopico, bocchetta pavimenti | Gamma Batteria: 18 V",/images/makita_products/Makita_Aspiratore_18V_BL_Motor_DCL501Z.webp
Makita Aspiratore 18V BL Motor DCL281FZ,Makita,"Depressione massima: 8,20 kPa | Tensione batteria: 18 V | Portata aria: 1,5 m3/min | Alimentazione: A BATTERIA | Batteria Fornita: No | Tipologia: Aspiratore a batteria | Serbatoio: Plastica | Tipologia Batteria: Litio | Motore: Brushless | Batterie Compatibili: BL1830B - BL1840B - BL1850B - BL1860B | Caricabatteria Compatibili: DC18RC - DC18RD - DC18RE | Caricabatteria Fornito: No | Rumorosità: 71 dB(A) | Sacchetti: No | Utilizzo: Ufficio, laboratorio, camper, casa | Capacità serbatoio: 750 ml | Dimensione: 1.016x113x154 mm | Autonomia: 50 min - Normal (BL1850B)20 min - Medium (BL1850B)15 min - Max (BL1850B) | N. Velocità: 3 | Gamma Batteria: 18 V",/images/makita_products/Makita_Aspiratore_18V_BL_Motor_DCL281FZ.webp
Makita Scalpello a Punta 400 SDS-MAX,Makita,"Scalpello a punta Makita da 400 mm con attacco SDS-MAX, progettato per lavori di demolizione su calcestruzzo, muratura e altri materiali da costruzione",/images/makita_products/Makita_Scalpello_a_Punta_400_SDS-MAX.webp
Makita Scalpello Largo 25-400 SDS-MAX,Makita,"Scalpello largo Makita da 25 mm x 400 mm con attacco SDS-MAX, ideale per la rimozione di intonaci, piastrelle e materiali da costruzione",/images/makita_products/Makita_Scalpello_Largo_25-400_SDS-MAX.webp
Makita Scalp. largo x piastra SDS-MAX,Makita,"Scalpello largo Makita per piastra con attacco SDS-MAX, adatto a lavori di demolizione e rimozione su superfici estese.",/images/makita_products/Makita_Scalp._largo_x_piastra_SDS-MAX.webp
Makita Mandrino a sgancio rapido,Makita,"Mandrino Makita con sistema a sgancio rapido, consente un cambio rapido degli accessori compatibili senza utensili.",/images/makita_products/Makita_Mandrino_a_sgancio_rapido.webp
Makita Scalpello sgorbia 26-300 SDS-MAX,Makita,"Scalpello tipo sgorbia Makita da 26 mm x 300 mm con attacco SDS-MAX, indicato per lavorazioni su materiali da costruzione.",/images/makita_products/Makita_Scalpello_sgorbia_26-300_SDS-MAX.webp
Makita Sacchetto raccoglipolvere per levigatrice 151517-7,Makita,"Sacchetto raccoglipolvere Makita codice 151517-7, compatibile con levigatrici selezionate per una raccolta efficiente della polvere.",/images/makita_products/Makita_Sacchetto_raccoglipolvere_per_levigatrice_151517-7.webp
Makita Sacchetto carta X B04900V 5PZ193526-0,Makita,"Sacchetto di carta per aspirazione, confezione da 5 pezzi.",/images/makita_products/Makita_Sacchetto_carta_X_B04900V_5PZ193526-0.webp
Makita Tampone x lucidare x 9227CB P-21733,Makita,Diametro: 150 mm,/images/makita_products/Makita_Tampone_x_lucidare_x_9227CB_P-21733.webp
MAKITA Nastro abrasivo per levigatrice 100x560 mm,Makita,Dimensione: 100x560 mm,/images/makita_products/MAKITA_Nastro_abrasivo_per_levigatrice_100x560_mm.webp
MAKITA Nastro abrasivo per levigatrice 30x533 mm,Makita,Dimensione: 30x533 mm | Pezzi per confezione: 5,/images/makita_products/MAKITA_Nastro_abrasivo_per_levigatrice_30x533_mm.webp
MAKITA Nastro abrasivo per levigatrice 76x457 mm,Makita,Dimensione: 76x457 mm,/images/makita_products/MAKITA_Nastro_abrasivo_per_levigatrice_76x457_mm.webp
MAKITA Carta abrasiva per levigatrice 93x185 mm,Makita,Dimensione: 93X185 mm | Pezzi per confezione: 10,/images/makita_products/MAKITA_Carta_abrasiva_per_levigatrice_93x185_mm.webp
MAKITA Nastro abrasivo per levigatrice 9x533 mm,Makita,Dimensione: 9x533 mm | Pezzi per confezione: 5,/images/makita_products/MAKITA_Nastro_abrasivo_per_levigatrice_9x533_mm.webp
MAKITA Nastro abrasivo per levigatrice 100x610 mm,Makita,Dimensioni: 100x610 mm,/images/makita_products/MAKITA_Nastro_abrasivo_per_levigatrice_100x610_mm.webp
MAKITA Nastro abrasivo per levigatrice 76x533 mm,Makita,Dimensioni: 76x533 mm | Pezzi per confezione: 5,/images/makita_products/MAKITA_Nastro_abrasivo_per_levigatrice_76x533_mm.webp
Makita lama n. 100-6 X 3901,Makita,Foro Lama: 22 mm | Spessore lama: 4 mm | Diametro: 100 mm | Numero denti: 6,/images/makita_products/Makita_lama_n._100-6_X_3901.webp
Makita Rullo per levigatrice in acciaio 100x120 mm P-04400,Makita,Larghezza: 120 mm | Tipologia: levigatrice a rullo | Diametro: 100 mm,/images/makita_products/Makita_Rullo_per_levigatrice_in_acciaio_100x120_mm_P-04400.webp
Makita Coltello per pialla HSS 312 mm,Makita,"Larghezza: 312 mm | Modello Pialla: 1100, 1902, N1923B, 1923H,1901, 1911B,1805B, 1086B, KP301 e KP312 | Lega: HSS con tungsteno",/images/makita_products/Makita_Coltello_per_pialla_HSS_312_mm.webp
Makita Lama per seghetti dritti 300X20,Makita,Lunghezza: 260X20 mm,/images/makita_products/Makita_Lama_per_seghetti_dritti_300X20.webp
