name,brand,description,image_url
Sigillante siliconico Mapei Mapesil AC 310 ml (1 tubetto),Mapei,N/A,/images/mapei_prodotti_paginato/SigillantesiliconicoMapeiMapesilAC310ml1tubetto.webp
Intonaco Mapei Poromap deumificante (Sacco da 20 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/IntonacoMapeiPoromapdeumificanteSaccoda20Kg.webp
Finitura civile Mapei Poromap (Sacco da 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/FinituracivileMapeiPoromapSaccoda25Kg.webp
"Malta cementizia Mapei Keracolor GG (Sacchi da 5, 25 Kg o 4 sacchi da 5 Kg)",Mapei,N/A,/images/mapei_prodotti_paginato/MaltacementiziaMapeiKeracolorGGSacchida525Kgo4sacchida5Kg.webp
"Malta cementizia Mapei Keracolor FF (Sacco da 5, 25 Kg o 4 sacchi da 5 Kg)",Mapei,N/A,/images/mapei_prodotti_paginato/MaltacementiziaMapeiKeracolorFFSaccoda525Kgo4sacchida5Kg.webp
Malta cementizia Mapei Planitop Rasa & Ripara (Sacco da 5 o 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/MaltacementiziaMapeiPlanitopRasaRiparaSaccoda5o25Kg.webp
Malta premiscelata Mapei Topcem Pronto (Sacco da 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/MaltapremiscelataMapeiTopcemProntoSaccoda25Kg.webp
Legnante Mapei Topcem (Sacco da 20 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/LegnanteMapeiTopcemSaccoda20Kg.webp
Primer Mapei Triblock P (Secchio da 5 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/PrimerMapeiTriblockPSecchioda5Kg.webp
Legnante Mapei Stabilcem (Sacco da 20 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/LegnanteMapeiStabilcemSaccoda20Kg.webp
Adesivo Mapei Ultrabond Ms Rapid (Scatola da 12 Pz),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiUltrabondMsRapidScatolada12Pz.webp
Adesivo Mapei Ultrabond Pu Strong (Scatola da 12 Pz),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiUltrabondPuStrongScatolada12Pz.webp
Adesivo Mapei Ultrabond Super Grip (Scatola da 12 Pz),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiUltrabondSuperGripScatolada12Pz.webp
Malta Mapei Ultracolor Plus (Sacco da 22 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/MaltaMapeiUltracolorPlusSaccoda22Kg.webp
Adesivo cementizio Mapei Ultralite S1 (Sacco da 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivocementizioMapeiUltraliteS1Saccoda25Kg.webp
Adesivo cementizio Mapei Ultralite S2 (Sacco da 15 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivocementizioMapeiUltraliteS2Saccoda15Kg.webp
Lisciatura Mapei Ultraplan Contract (Sacco da 24 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/LisciaturaMapeiUltraplanContractSaccoda24Kg.webp
Adesivo cementizio Mapei Adesilex P4 (Sacco da 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivocementizioMapeiAdesilexP4Saccoda25Kg.webp
Adesivo cementizio Mapei Adesilex P9 (Sacco da 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivocementizioMapeiAdesilexP9Saccoda25Kg.webp
Adesivo cementizio Mapei Adesilex P9 Express (Sacco da 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivocementizioMapeiAdesilexP9ExpressSaccoda25Kg.webp
Adesivo Mapei Adesilex PG1 ( Kit da 2 o da 6 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiAdesilexPG1Kitda2oda6Kg.webp
Adesivo Mapei Adesilex PG4 (Kit da 2 o da 6 o da 30 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiAdesilexPG4Kitda2oda6oda30Kg.webp
Adesivo Mapei Adesilex PVC (Scatola da 50 confezioni da 125 g),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiAdesilexPVCScatolada50confezionida125g.webp
Adesivo Mapei Adesilex PVC HP (Scatola da 50 confezioni da 125 g),Mapei,N/A,/images/mapei_prodotti_paginato/AdesivoMapeiAdesilexPVCHPScatolada50confezionida125g.webp
Impregnante Mapei Antipluviol S (Confezione da 5 e 10 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/ImpregnanteMapeiAntipluviolSConfezioneda5e10Kg.webp
Impregnante Mapei Antipluviol (Confezione da 5 o 25 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/ImpregnanteMapeiAntipluviolConfezioneda5o25Kg.webp
Consolidante Mapei Consolidante ETS (Confezione da 10 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/ConsolidanteMapeiConsolidanteETSConfezioneda10Kg.webp
Consolidante Mapei Consolidante ETS WR (Confezione da 10 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/ConsolidanteMapeiConsolidanteETSWRConfezioneda10Kg.webp
Primer Mapei Eco Prim Grip (Confezione da 5 o 10 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/PrimerMapeiEcoPrimGripConfezioneda5o10Kg.webp
Primer Mapei Eco Prim PU 1K (Confezione da 10 Kg),Mapei,N/A,/images/mapei_prodotti_paginato/PrimerMapeiEcoPrimPU1KConfezioneda10Kg.webp
