name,description,category,image_url
Royal Mass Italia,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/RoyalMassItalia.webp
Scudo Mass Italia,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/ScudoMassItalia.webp
Silver Mass Italia,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/SilverMassItalia.webp
Royal Mass Germania,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/RoyalMassGermania.webp
Royal Mass Francia,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/RoyalMassFrancia.webp
Royal Mass Belgio,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/RoyalMassBelgio.webp
Royal Mass Svizzera,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/RoyalMassSvizzera.webp
Royal Mass Spagna,Badili Superleggeri Alluminio,Badili,/images/mass_prodotti/RoyalMassSpagna.webp
Diablo Mass,Badili Acciaio Temprato,Badili,/images/mass_prodotti/DiabloMass.webp
Fort Mass,Badili Acciaio Temprato,Badili,/images/mass_prodotti/FortMass.webp
Steel Mass,Badili Acciaio Temprato,Badili,/images/mass_prodotti/SteelMass.webp
L’Ingegnere Mass Legno,"Martelli carpentiere: 
TRIPLICE TRATTAMENTO TERMICO
VITE SUPERIORE DI BLOCCO
VITE LATERALE DI BLOCCO
DOPPIA CALAMITA
PIASTRINE SALVAMANICO
SPECIALE ACCIAIO LEGATO
MANICI SELEZIONATI
",Martelli,/images/mass_prodotti/LIngegnereMassLegno.webp
L'Ingegnere Mass Fibra,"Martelli carpentiere: 
TRIPLICE TRATTAMENTO TERMICO
VITE SUPERIORE DI BLOCCO
VITE LATERALE DI BLOCCO
DOPPIA CALAMITA
PIASTRINE SALVAMANICO
SPECIALE ACCIAIO LEGATO
MANICI SELEZIONATI
",Martelli,/images/mass_prodotti/LIngegnereMassFibra.webp
L'Ingegnere Mass,"Martelli carpentiere: 
TRIPLICE TRATTAMENTO TERMICO
VITE SUPERIORE DI BLOCCO
VITE LATERALE DI BLOCCO
DOPPIA CALAMITA
PIASTRINE SALVAMANICO
SPECIALE ACCIAIO LEGATO
MANICI SELEZIONATI
",Martelli,/images/mass_prodotti/LIngegnereMass.webp
Martelli Standard Legno,Martelli carpentiere,Martelli,/images/mass_prodotti/MartelliStandardLegno.webp
Martelli Standard Fibra,Martelli carpentiere,Martelli,/images/mass_prodotti/MartelliStandardFibra.webp
Martelli Alla Tedesca,Martelli carpentiere,Martelli,/images/mass_prodotti/MartelliAllaTedesca.webp
Martelline Mass,Martelline,Martelli,/images/mass_prodotti/MartellineMass.webp
Martelline Standard,Martelline,Martelli,/images/mass_prodotti/MartellineStandard.webp
Mazzette Mass,Mazzette,Martelli,/images/mass_prodotti/MazzetteMass.webp
Mazzette Standard,Mazzette,Martelli,/images/mass_prodotti/MazzetteStandard.webp
Mazze Mass,Mazze,Martelli,/images/mass_prodotti/MazzeMass.webp
Mazze Standard,Mazze,Martelli,/images/mass_prodotti/MazzeStandard.webp
Picconi Mass,Picconi,Martelli,/images/mass_prodotti/PicconiMass.webp
Picconi Standard,Picconi,Martelli,/images/mass_prodotti/PicconiStandard.webp
Borse,Porta attrezzi,Carpenteria,/images/mass_prodotti/Borse.webp
Porta Attrezzi,Porta attrezzi,Carpenteria,/images/mass_prodotti/PortaAttrezzi.webp
Cinture,Porta attrezzi,Carpenteria,/images/mass_prodotti/Cinture.webp
Leverino Mass Extra Ovale,Leverini,Carpenteria,/images/mass_prodotti/LeverinoMassExtraOvale.webp
Leverino Mass Extra,Leverini,Carpenteria,/images/mass_prodotti/LeverinoMassExtra.webp
Leverino Standard,Leverini,Carpenteria,/images/mass_prodotti/LeverinoStandard.webp
Piastra Idea Mass,Acessori armatura,Carpenteria,/images/mass_prodotti/PiastraIdeaMass.webp
Tenaglie,Acessori armatura,Carpenteria,/images/mass_prodotti/Tenaglie.webp
Tagliabulloni,Acessori armatura,Carpenteria,/images/mass_prodotti/Tagliabulloni.webp
Scalpelli Excalibur Mass,Scalpelli,Scalpelli,/images/mass_prodotti/ScalpelliExcaliburMass.webp
Scalpelli Red Mass,Scalpelli,Scalpelli,/images/mass_prodotti/ScalpelliRedMass.webp
Scalpelli Widia,Scalpelli,Scalpelli,/images/mass_prodotti/ScalpelliWidia.webp
Raschietti Temprati Mass,Raschie,Raschie,/images/mass_prodotti/RaschiettiTempratiMass.webp
Raschietti Avvitabili,Raschie,Raschie,/images/mass_prodotti/RaschiettiAvvitabili.webp
Raschietti Lama Temprata,Raschie,Raschie,/images/mass_prodotti/RaschiettiLamaTemprata.webp
Raschiafango Extra Mass,Raschiafango,Raschie,/images/mass_prodotti/RaschiafangoExtraMass.webp
Raschiafango Lamiera Zincata,Raschiafango,Raschie,/images/mass_prodotti/RaschiafangoLamieraZincata.webp
Marra Forgiata,Raschiafango,Raschie,/images/mass_prodotti/MarraForgiata.webp
Stendimalta Alluminio,Stendimateriali,Raschie,/images/mass_prodotti/StendimaltaAlluminio.webp
Stendimalta Acciaio,Stendimateriali,Raschie,/images/mass_prodotti/StendimaltaAcciaio.webp
Stendibitume Acciaio,Stendimateriali,Raschie,/images/mass_prodotti/StendibitumeAcciaio.webp
Stendiasfalto Legno,Stendimateriali,Raschie,/images/mass_prodotti/StendiasfaltoLegno.webp
Stendiboiacca Gomma,Stendimateriali,Raschie,/images/mass_prodotti/StendiboiaccaGomma.webp
Lisciatrice Magnesio,Finitura Cemento,Finitura cemento,/images/mass_prodotti/LisciatriceMagnesio.webp
Lisciatrice Magnesio ad U,Finitura Cemento,Finitura cemento,/images/mass_prodotti/LisciatriceMagnesioadU.webp
Lisciatrice Acciaio,Finitura Cemento,Finitura cemento,/images/mass_prodotti/LisciatriceAcciaio.webp
Lisciatrice Alluminio,Finitura Cemento,Finitura cemento,/images/mass_prodotti/LisciatriceAlluminio.webp
Dama Lisciatrice Alluminio,Categorie prodotti,Finitura cemento,/images/mass_prodotti/DamaLisciatriceAlluminio.webp
Scopa Rigatrice,Categorie prodotti,Finitura cemento,/images/mass_prodotti/ScopaRigatrice.webp
Frattoni Cementista Magnesio,Categorie prodotti,Finitura cemento,/images/mass_prodotti/FrattoniCementistaMagnesio.webp
Frattoni Cementista Acciaio,Categorie prodotti,Finitura cemento,/images/mass_prodotti/FrattoniCementistaAcciaio.webp
Spazzoloni Dual Mass,Spazzoloni Cantiere,Scope e spazzoloni,/images/mass_prodotti/SpazzoloniDualMass.webp
Spazzoloni Oro Extra Mass,Spazzoloni Cantiere,Scope e spazzoloni,/images/mass_prodotti/SpazzoloniOroExtraMass.webp
Spazzoloni Blu Piumati Extra Mass,Spazzoloni Cantiere,Scope e spazzoloni,/images/mass_prodotti/SpazzoloniBluPiumatiExtraMass.webp
Scope Dual Mass,Scope Cantiere,Scope e spazzoloni,/images/mass_prodotti/ScopeDualMass.webp
Scope Extra Mass,Scope Cantiere,Scope e spazzoloni,/images/mass_prodotti/ScopeExtraMass.webp
Scope Blu Piumate Extra Mass,Scope Cantiere,Scope e spazzoloni,/images/mass_prodotti/ScopeBluPiumateExtraMass.webp
Scope Interni,Scope Interne,Scope e spazzoloni,/images/mass_prodotti/ScopeInterni.webp
Scope Fibra Alta,Scope Interne,Scope e spazzoloni,/images/mass_prodotti/ScopeFibraAlta.webp
Palette Alzaimmondizia,Scope Interne,Scope e spazzoloni,/images/mass_prodotti/PaletteAlzaimmondizia.webp
Chiavi a cricchetto,Accessori Ponteggio,Ponteggio,/images/mass_prodotti/Chiaviacricchetto.webp
Chiavi Poligonali,Accessori Ponteggio,Ponteggio,/images/mass_prodotti/ChiaviPoligonali.webp
Portachiavi,Accessori Ponteggio,Ponteggio,/images/mass_prodotti/Portachiavi.webp
Protezione Ponteggio,Accessori Ponteggio,Ponteggio,/images/mass_prodotti/ProtezionePonteggio.webp
Sottobasette Ponteggio,Accessori Ponteggio,Ponteggio,/images/mass_prodotti/SottobasettePonteggio.webp
Elmetti,Accessori Ponteggio,Ponteggio,/images/mass_prodotti/Elmetti.webp
M.R.S. Mass,Pistole Silicone e Chimico,Pistole,/images/mass_prodotti/MRSMass.webp
Extra Mass,Pistole,Pistole,/images/mass_prodotti/ExtraMass.webp
White Mass,Pistole,Pistole,/images/mass_prodotti/WhiteMass.webp
Black Mass,Pistole,Pistole,/images/mass_prodotti/BlackMass.webp
Ultra Professional Mass,Pistole,Pistole,/images/mass_prodotti/UltraProfessionalMass.webp
Total Black,Pistole,Pistole,/images/mass_prodotti/TotalBlack.webp
Ergo Robusta,Pistole,Pistole,/images/mass_prodotti/ErgoRobusta.webp
Standard,Pistole,Pistole,/images/mass_prodotti/Standard.webp
Pistole Alu Tube,Pistole Tubo e Sac a Poche,Pistole,/images/mass_prodotti/PistoleAluTube.webp
Pistole Big Tube,Pistole Tubo e Sac a Poche,Pistole,/images/mass_prodotti/PistoleBigTube.webp
Sac a Poche Monouso,Pistole Tubo e Sac a Poche,Pistole,/images/mass_prodotti/SacaPocheMonouso.webp
Sac a Poche Nylon,Pistole Tubo e Sac a Poche,Pistole,/images/mass_prodotti/SacaPocheNylon.webp
Frattoni Inox Superflex Piuma,Frattoni Inox Superflex,Finitura,/images/mass_prodotti/FrattoniInoxSuperflexPiuma.webp
Frattoni Inox Superflex Legno,Frattoni Inox Superflex,Finitura,/images/mass_prodotti/FrattoniInoxSuperflexLegno.webp
Frattoni Inox Superflex Due Mani,Frattoni Inox Superflex,Finitura,/images/mass_prodotti/FrattoniInoxSuperflexDueMani.webp
Spatole Inox Superflex Liscianti,Frattoni Inox Superflex,Finitura,/images/mass_prodotti/SpatoleInoxSuperflexLiscianti.webp
Frattoni Inox Mignon,Frattoni ,Finitura,/images/mass_prodotti/FrattoniInoxMignon.webp
Frattoni USA Inox Mass,Frattoni ,Finitura,/images/mass_prodotti/FrattoniUSAInoxMass.webp
Frattoni USA Acciaio,Frattoni ,Finitura,/images/mass_prodotti/FrattoniUSAAcciaio.webp
Frattoni Due Mani Acciaio,Frattoni ,Finitura,/images/mass_prodotti/FrattoniDueManiAcciaio.webp
Spatole Inox Mass Cartongesso,Spatole,Finitura,/images/mass_prodotti/SpatoleInoxMassCartongesso.webp
Spatole Inox Mass,Spatole,Finitura,/images/mass_prodotti/SpatoleInoxMass.webp
Spatole Inox Mass Intonaco,Spatole,Finitura,/images/mass_prodotti/SpatoleInoxMassIntonaco.webp
Cazzuole Fibra,Cazzuole,Finitura,/images/mass_prodotti/CazzuoleFibra.webp
Cazzuole Legno,Cazzuole,Finitura,/images/mass_prodotti/CazzuoleLegno.webp
Cazzuole Inox,Cazzuole,Finitura,/images/mass_prodotti/CazzuoleInox.webp
Frattoni ABS,Finitura muro,Finitura,/images/mass_prodotti/FrattoniABS.webp
Frattoni Gomma Spugna,Finitura muro,Finitura,/images/mass_prodotti/FrattoniGommaSpugna.webp
Rasatori,Finitura muro,Finitura,/images/mass_prodotti/Rasatori.webp
Frattoni Dentati,Accessori Piastrellista,Accessori piastrellista,/images/mass_prodotti/FrattoniDentati.webp
Frattazzi Spugna,Accessori Piastrellista,Accessori piastrellista,/images/mass_prodotti/FrattazziSpugna.webp
Frattazzi Gomma Fughe,Accessori Piastrellista,Accessori piastrellista,/images/mass_prodotti/FrattazziGommaFughe.webp
Spugne,Accessori Piastrellista,Accessori piastrellista,/images/mass_prodotti/Spugne.webp
Ginocchiere,Categorie prodotti,Accessori piastrellista,/images/mass_prodotti/Ginocchiere.webp
Ventose,Categorie prodotti,Accessori piastrellista,/images/mass_prodotti/Ventose.webp
Miscelatori,Categorie prodotti,Accessori piastrellista,/images/mass_prodotti/Miscelatori.webp
Vaschette,Categorie prodotti,Accessori piastrellista,/images/mass_prodotti/Vaschette.webp
Filo Fluo Extra Mass Giallo,Fili cantiere,Tracciatura,/images/mass_prodotti/FiloFluoExtraMassGiallo.webp
Filo Fluo Extra Mass Arancio,Fili cantiere,Tracciatura,/images/mass_prodotti/FiloFluoExtraMassArancio.webp
Corde Extra Mass,Fili cantiere,Tracciatura,/images/mass_prodotti/CordeExtraMass.webp
ERGO,Traccialinee,Tracciatura,/images/mass_prodotti/ERGO.webp
ALU,Traccialinee,Tracciatura,/images/mass_prodotti/ALU.webp
RAPID,Traccialinee,Tracciatura,/images/mass_prodotti/RAPID.webp
MAXI,Traccialinee,Tracciatura,/images/mass_prodotti/MAXI.webp
MAGNUM,Traccialinee,Tracciatura,/images/mass_prodotti/MAGNUM.webp
Polveri per marcare,Traccialinee,Tracciatura,/images/mass_prodotti/Polveripermarcare.webp
Nastro Fortex segnaletico bianco - rosso,"Tracciatura cantiere
",Tracciatura,/images/mass_prodotti/NastroFortexsegnaleticobianco-rosso.webp
Tracciatori Spray,"Tracciatura cantiere
",Tracciatura,/images/mass_prodotti/TracciatoriSpray.webp
Paline Geodetiche,"Tracciatura cantiere
",Tracciatura,/images/mass_prodotti/PalineGeodetiche.webp
Fessurimetri,"Tracciatura cantiere
",Tracciatura,/images/mass_prodotti/Fessurimetri.webp
Piombi,"Tracciatura cantiere
",Tracciatura,/images/mass_prodotti/Piombi.webp
Squadre,"Tracciatura cantiere
",Tracciatura,/images/mass_prodotti/Squadre.webp
"Matita Automatica Ø 2,8",Matite e cancelleria cantiere,Tracciatura,/images/mass_prodotti/MatitaAutomaticaØ28.webp
"Matita Automatica Ø 5,6",Matite e cancelleria cantiere,Tracciatura,/images/mass_prodotti/MatitaAutomaticaØ56.webp
"Steatite Automatica Ø 5,6",Matite e cancelleria cantiere,Tracciatura,/images/mass_prodotti/SteatiteAutomaticaØ56.webp
Matite Legno,Matite e cancelleria cantiere,Tracciatura,/images/mass_prodotti/MatiteLegno.webp
Gessetti,Matite e cancelleria cantiere,Tracciatura,/images/mass_prodotti/Gessetti.webp
Pennarelli,Matite e cancelleria cantiere,Tracciatura,/images/mass_prodotti/Pennarelli.webp
Oro Ultra Mass,Doppimetri,Misura,/images/mass_prodotti/OroUltraMass.webp
Extra Mass,Doppimetri,Misura,/images/mass_prodotti/ExtraMass.webp
Harp,Doppimetri,Misura,/images/mass_prodotti/Harp.webp
Compact,Flessometri,Misura,/images/mass_prodotti/Compact.webp
Gommato,Categorie prodotti,Misura,/images/mass_prodotti/Gommato.webp
Extreme,Categorie prodotti,Misura,/images/mass_prodotti/Extreme.webp
Double Mass,Categorie prodotti,Misura,/images/mass_prodotti/DoubleMass.webp
Double Terminator Fluo,Categorie prodotti,Misura,/images/mass_prodotti/DoubleTerminatorFluo.webp
Double Inox Mass,Categorie prodotti,Misura,/images/mass_prodotti/DoubleInoxMass.webp
Rotelle Tascabili,Rotelle metriche,Misura,/images/mass_prodotti/RotelleTascabili.webp
Rotelle Pistola,Rotelle metriche,Misura,/images/mass_prodotti/RotellePistola.webp
Rotelle Rapid,Rotelle metriche,Misura,/images/mass_prodotti/RotelleRapid.webp
Livelle Silver Mass,livelle,Misura,/images/mass_prodotti/LivelleSilverMass.webp
