name,brand,description,product_page_url,image_url
MANDRINI AUTOSERRANTI - RIVESTITI NYLON,maurer,NO percussione per trapani a batteria ed elettrici,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1507/desc/,/images/maurer_prodotti/MANDRINIAUTOSERRANTI-RIVESTITINYLON.webp
MANDRINI AUTOSERRANTI - METALLO/NYLON,maurer,"sistema di bloccaggio ""Lock system"" per trapani a batteria ed elettrici OK percussione",https://maurer.ferritalia.it/dettaglio-prodotto/modello/1508/desc/,/images/maurer_prodotti/MANDRINIAUTOSERRANTI-METALLONYLON.webp
MANDRINI A CREMAGLIERA - CON CHIAVE,maurer,per trapani a batteria ed elettrici OK percussione,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1509/desc/,/images/maurer_prodotti/MANDRINIACREMAGLIERA-CONCHIAVE.webp
CHIAVI PER MANDRINI,maurer,10 -13 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1510/desc/,/images/maurer_prodotti/CHIAVIPERMANDRINI.webp
MANDRINI A CREMAGLIERA CON ADATTATORE SDS-PLUS - CON CHIAVE,maurer,13 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1511/desc/,/images/maurer_prodotti/MANDRINIACREMAGLIERACONADATTATORESDS-PLUS-CONCHIAVE.webp
MANDRINO AUTOSERRANTE ATTACCO 1/4,maurer,6 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1196/desc/,/images/maurer_prodotti/MANDRINOAUTOSERRANTEATTACCO14.webp
SCALPELLI SDS-PLUSPunta,maurer,A  punta,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0481/desc/,/images/maurer_prodotti/SCALPELLISDS-PLUSPunta.webp
SCALPELLI SDS-PLUSTaglio,maurer,B  taglio,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0520/desc/,/images/maurer_prodotti/SCALPELLISDS-PLUSTaglio.webp
SCALPELLI SDS-PLUSTaglio piegato,maurer,C  taglio piegato,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0521/desc/,/images/maurer_prodotti/SCALPELLISDS-PLUSTagliopiegato.webp
SCALPELLI SDS-PLUS - SET 3 PEZZI,maurer,punta-taglio-piatto,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0862/desc/,/images/maurer_prodotti/SCALPELLISDS-PLUS-SET3PEZZI.webp
ADATTATORI SDS-PLUS,maurer,per mandrini F1/2,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0863/desc/,/images/maurer_prodotti/ADATTATORISDS-PLUS.webp
SCALPELLI SDS-MAXPunta,maurer,A  punta,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1066/desc/,/images/maurer_prodotti/SCALPELLISDS-MAXPunta.webp
SCALPELLI SDS-MAXTaglio,maurer,B   taglio,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0524/desc/,/images/maurer_prodotti/SCALPELLISDS-MAXTaglio.webp
SCALPELLI SDS-MAXTaglio piegato,maurer,C  taglio piegato,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0525/desc/,/images/maurer_prodotti/SCALPELLISDS-MAXTagliopiegato.webp
ADATTATORE DA ATTACCO SDS-MAX A SDS-PLUS,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/1067/desc/,/images/maurer_prodotti/ADATTATOREDAATTACCOSDS-MAXASDS-PLUS.webp
ASSORTIMENTI PUNTE HSS - 19 PEZZISELECTOR,maurer,box plastica,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0865/desc/,/images/maurer_prodotti/ASSORTIMENTIPUNTEHSS-19PEZZISELECTOR.webp
ASSORTIMENTI PUNTE HSS+WIDIA - 19 PEZZISELECTOR,maurer,box plastica,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0866/desc/,/images/maurer_prodotti/ASSORTIMENTIPUNTEHSSWIDIA-19PEZZISELECTOR.webp
MECCHIA A SPADA,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3773/desc/,/images/maurer_prodotti/MECCHIAASPADA.webp
SET MINISMERIGLIATRICE 52 accessori,maurer,52 accessori,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3631/desc/,/images/maurer_prodotti/SETMINISMERIGLIATRICE52accessori.webp
SET MINISMERIGLIATRICE 186 accessori,maurer,186 accessori,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3632/desc/,/images/maurer_prodotti/SETMINISMERIGLIATRICE186accessori.webp
FRESA CONICA IN ACCIAIO HSS,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3762/desc/,/images/maurer_prodotti/FRESACONICAINACCIAIOHSS.webp
LIMA ROTATIVA CILINDRICA,maurer,per metallo,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3776/desc/,/images/maurer_prodotti/LIMAROTATIVACILINDRICA.webp
LIMA ROTATIVA CONICA,maurer,per metallo,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3777/desc/,/images/maurer_prodotti/LIMAROTATIVACONICA.webp
LIMA ROTATIVA CILINDRICA PUNTA BOMBATA,maurer,per metallo,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3778/desc/,/images/maurer_prodotti/LIMAROTATIVACILINDRICAPUNTABOMBATA.webp
LIMA ROTATIVA SFERICA,maurer,per metallo,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3779/desc/,/images/maurer_prodotti/LIMAROTATIVASFERICA.webp
LIMA ROTATIVA CON PUNTA HSS,maurer,per metallo,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3780/desc/,/images/maurer_prodotti/LIMAROTATIVACONPUNTAHSS.webp
RASPA ROTATIVA CILINDRICA,maurer,per legno,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3782/desc/,/images/maurer_prodotti/RASPAROTATIVACILINDRICA.webp
RASPA ROTATIVA CONICA,maurer,per legno,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3783/desc/,/images/maurer_prodotti/RASPAROTATIVACONICA.webp
RASPA ROTATIVA SFERICA,maurer,per legno,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3784/desc/,/images/maurer_prodotti/RASPAROTATIVASFERICA.webp
RASPA ROTATIVA PER SVASARE,maurer,per legno,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3785/desc/,/images/maurer_prodotti/RASPAROTATIVAPERSVASARE.webp
RASPA ROTATIVA CON PUNTA HSS,maurer,per legno,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3781/desc/,/images/maurer_prodotti/RASPAROTATIVACONPUNTAHSS.webp
ASSORTIMENTO LIME E RASPE ROTATIVE,maurer,per legno,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3786/desc/,/images/maurer_prodotti/ASSORTIMENTOLIMEERASPEROTATIVE.webp
SVASATORE IN ACCIAIO HSS,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3763/desc/,/images/maurer_prodotti/SVASATOREINACCIAIOHSS.webp
CUFFIA CON LACCIO DI CHIUSURA,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3767/desc/,/images/maurer_prodotti/CUFFIACONLACCIODICHIUSURA.webp
CUFFIA CON FISSAGGIO A STRAPPO,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3768/desc/,/images/maurer_prodotti/CUFFIACONFISSAGGIOASTRAPPO.webp
RUOTA IN TESSUTO maschio,maurer,accessori per utensili elettrici,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3769/desc/,/images/maurer_prodotti/RUOTAINTESSUTOmaschio.webp
RUOTA IN TESSUTO femmina,maurer,accessori per utensili elettrici,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3770/desc/,/images/maurer_prodotti/RUOTAINTESSUTOfemmina.webp
TAMPONE IN SPUGNA,maurer,14 MA + gambo ø 6 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3771/desc/,/images/maurer_prodotti/TAMPONEINSPUGNA.webp
TAMPONE IN SPUGNA CON FISSAGGIO A STRAPPO,maurer,125 mm diametro,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3772/desc/,/images/maurer_prodotti/TAMPONEINSPUGNACONFISSAGGIOASTRAPPO.webp
SEGHE A TAZZA HSS-BIMETAL,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0869/desc/,/images/maurer_prodotti/SEGHEATAZZAHSS-BIMETAL.webp
ALBERI PER SEGHE A TAZZA - CODOLO ESAGONALE,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0870/desc/,/images/maurer_prodotti/ALBERIPERSEGHEATAZZA-CODOLOESAGONALE.webp
ALBERI PER SEGHE A TAZZA - CON TRASCINATORI,maurer,con trascinatori,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0871/desc/,/images/maurer_prodotti/ALBERIPERSEGHEATAZZA-CONTRASCINATORI.webp
PUNTE HSS - PER SEGHE A TAZZA,maurer,varie misure,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0872/desc/,/images/maurer_prodotti/PUNTEHSS-PERSEGHEATAZZA.webp
SEGHE A TAZZA HSS-BIMETAL - KIT 9 PEZZI,maurer,22 - 29 - 35 - 44 - 51 - 64 / + 2 alberi,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0873/desc/,/images/maurer_prodotti/SEGHEATAZZAHSS-BIMETAL-KIT9PEZZI.webp
"SEGHE A TAZZA - PER LEGNO, PLASTICHE",maurer,con punta di centraggio,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0874/desc/,/images/maurer_prodotti/SEGHEATAZZA-PERLEGNOPLASTICHE.webp
SET FRESE PANTOGRAFO,maurer,frese carburo tungsteno gambo: 6 mm modanature assortite: n°9 Ø 3÷19 mm con cuscinetto - per refilare e sagomare: n° 6,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0568/desc/,/images/maurer_prodotti/SETFRESEPANTOGRAFO.webp
FRESE CONICHE A GRADINO - HSS,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0569/desc/,/images/maurer_prodotti/FRESECONICHEAGRADINO-HSS.webp
LAME PER SEGHETTI ALTERNATIVITipo BOSCH,maurer,attacco / shank / vastaga / anschluss: TIPO BOSCH,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0877/desc/,/images/maurer_prodotti/LAMEPERSEGHETTIALTERNATIVITipoBOSCH.webp
LAME PER SEGHETTI ALTERNATIVITipo ATLAS COPCO - BLACK&DECKE,maurer,attacco / shank / vastaga / anschluss: ATLAS COPCO - BLACK&DECKER - ELU - FESTO - HITACHI - MAKITA - METABO - PEUGEOT - RYOBI - YAMATO,https://maurer.ferritalia.it/dettaglio-prodotto/modello/3200/desc/,/images/maurer_prodotti/LAMEPERSEGHETTIALTERNATIVITipoATLASCOPCO-BLACKDECKE.webp
LAME PER SEGA A GATTUCCIO,maurer,attacco / shank / vastaga / anschluss: TIPO BOSCH,https://maurer.ferritalia.it/dettaglio-prodotto/modello/4342/desc/,/images/maurer_prodotti/LAMEPERSEGAAGATTUCCIO.webp
LAME PER SEGHE CIRCOLARI - DENTI AL CARBURO DI TUNGSTENOLMPMod. A1,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0878/desc/,/images/maurer_prodotti/LAMEPERSEGHECIRCOLARI-DENTIALCARBURODITUNGSTENOLMPModA1.webp
LAME PER SEGHE CIRCOLARI - DENTI AL CARBURO DI TUNGSTENOLMSMod. A,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0879/desc/,/images/maurer_prodotti/LAMEPERSEGHECIRCOLARI-DENTIALCARBURODITUNGSTENOLMSModA.webp
RIDUZIONI,maurer,disponibile in vari formati/misure/colorazioni,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0880/desc/,/images/maurer_prodotti/RIDUZIONI.webp
DISCHI DIAMANTATI - CORONA TURBO,maurer,"per cemento, tegole, granito",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5754/desc/,/images/maurer_prodotti/DISCHIDIAMANTATI-CORONATURBO.webp
DISCHI DIAMANTATI - CORONA TURBO/S,maurer,"Ø 110 per marmo, ardesia, piastrelle, ceramica, tegole Ø 230 per pietra, mattoni, calcestruzzo, granito silenziato anima in acciaio speciale",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5764/desc/,/images/maurer_prodotti/DISCHIDIAMANTATI-CORONATURBOS.webp
DISCHI DIAMANTATI - CORONA LASER,maurer,"per granito, pietra, calcestruzzo, cemento",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5763/desc/,/images/maurer_prodotti/DISCHIDIAMANTATI-CORONALASER.webp
DISCO DIAMANTATO - CORONA TURBO/G,maurer,"per gres, ceramica, marmo",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5765/desc/,/images/maurer_prodotti/DISCODIAMANTATO-CORONATURBOG.webp
DISCHI DIAMANTATI - CORONA SEGMENTATA,maurer,"per pietra, mattoni, refrattari",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5759/desc/,/images/maurer_prodotti/DISCHIDIAMANTATI-CORONASEGMENTATA.webp
DISCO DIAMANTATO - CORONA CONTINUA,maurer,"per mattoni, piastrelle, ceramica",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5750/desc/,/images/maurer_prodotti/DISCODIAMANTATO-CORONACONTINUA.webp
DISCO TAGLIO UNIVERSALE PER METALLO,maurer,"consigliato per più tipi di metallo tra cui: acciaio, lamiera, tondi per cemento armato, ghisa, alluminio e metallo non ferroso long life: dura molto più a lungo di un normale disco da taglio bordo diamantato",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5090/desc/,/images/maurer_prodotti/DISCOTAGLIOUNIVERSALEPERMETALLO.webp
DISCHI TAGLIO UNIVERSALE PER LEGNO,maurer,"consigliato per più tipi di materiali tra cui: legname da costruzione, legno compensato, legno con chiodi e residui di calcestruzzo, truciolare grezzo, materiali in fibra, MDF, resina epossidica, fibra di vetro, plastica e cartongesso long life: dura molto più a lungo di un normale disco da taglio bordo carburo di tungsteno",https://maurer.ferritalia.it/dettaglio-prodotto/modello/5091/desc/,/images/maurer_prodotti/DISCHITAGLIOUNIVERSALEPERLEGNO.webp
MOLE ROTATIVE CORINDONE - CON GAMBOSet 5 pz.,maurer,gambo: 6 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0904/desc/,/images/maurer_prodotti/MOLEROTATIVECORINDONE-CONGAMBOSet5pz.webp
MOLE ROTATIVE CORINDONE - CON GAMBOSet 10 pz.,maurer,gambo: 3-6 mm,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0905/desc/,/images/maurer_prodotti/MOLEROTATIVECORINDONE-CONGAMBOSet10pz.webp
SPAZZOLE A DISCO,maurer,gambo: Ø 6 mm fili abrasivi nylon: Grana 80,https://maurer.ferritalia.it/dettaglio-prodotto/modello/0906/desc/,/images/maurer_prodotti/SPAZZOLEADISCO.webp
