name,brand,description,image_url
SEGONCINI AD ARCO - TELAIO TUBOLARE,Papillon,"attacco portalama girevole
2 lame - metallo e legno",/images/papillon_prodotti/SEGONCINI_AD_ARCO_-_TELAIO_TUBOLARE.webp
SEGONCINI AD ARCO - TELAIO TUBOLARE,Papillon,attacco portalama girevole,/images/papillon_prodotti/SEGONCINI_AD_ARCO_-_TELAIO_TUBOLARE.webp
SEGONCINI AD ARCO - TELAIO TUBOLARE,Papillon,"attacco portalama fisso
telaio tubolare con leva di tensione",/images/papillon_prodotti/SEGONCINI_AD_ARCO_-_TELAIO_TUBOLARE.webp
LAME DENTATURA CASTELLO - PER TAGLIO LEGNA VERDE,Papillon,N/A,/images/papillon_prodotti/LAME_DENTATURA_CASTELLO_-_PER_TAGLIO_LEGNA_VERDE.webp
LAME DENTATURA TRIANG. - PER TAGLIO LEGNA SECCA,Papillon,N/A,/images/papillon_prodotti/LAME_DENTATURA_TRIANG._-_PER_TAGLIO_LEGNA_SECCA.webp
APPLIQUE DA PARETE PER ESTERNOGLAMOUR DUO,Papillon,"luce bidirezionale, la luce è diffusa nella parte superiore e inferiore della lampada
per esterni
alluminio pressofuso
diffusore in vetro
doppio portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Nero
grado di protezione: IP65
dimensione: 8x10,7x17,3 cm",/images/papillon_prodotti/APPLIQUE_DA_PARETE_PER_ESTERNOGLAMOUR_DUO.webp
APPLIQUE DA PARETE PER ESTERNOGRACE DUO,Papillon,"luce bidirezionale, la luce è diffusa nella parte superiore e inferiore della lampada
per esterni
alluminio pressofuso
diffusore in vetro
doppio portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Bianco
grado di protezione: IP65
dimensione: 6,8x7,8x16 cm",/images/papillon_prodotti/APPLIQUE_DA_PARETE_PER_ESTERNOGRACE_DUO.webp
APPLIQUE DA PARETE PER ESTERNOELEGANT DUO,Papillon,"luce bidirezionale, la luce è diffusa nella parte superiore e inferiore della lampada
per esterni
alluminio pressofuso
diffusore in vetro
doppio portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Bianco
grado di protezione: IP65
dimensione: 6,8x7,8x16 cm",/images/papillon_prodotti/APPLIQUE_DA_PARETE_PER_ESTERNOELEGANT_DUO.webp
APPLIQUE DA SOFFITTO PER ESTERNOFINE,Papillon,"per esterni
alluminio pressofuso
diffusore policarbonato opalino
portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Nero
grado di protezione: IP65
dimensione: Ø6x10 cm",/images/papillon_prodotti/APPLIQUE_DA_SOFFITTO_PER_ESTERNOFINE.webp
APPLIQUE DA PARETE PER ESTERNODISTINCT,Papillon,"per esterni
alluminio pressofuso
diffusore in vetro
portalampada: GU10
accessori per il fissaggio inclusi
lampada esclusa
colore Grigio
grado di protezione: IP44
dimensione: 8,5x9,6x14,4 cm",/images/papillon_prodotti/APPLIQUE_DA_PARETE_PER_ESTERNODISTINCT.webp
