name,marca,descrizione,image_url
Aspirapolvere leggero e compatto Karcher T 7/1 Classic Professional,KARCHER,"Perfetto per aspirare in ambienti di piccole dimensioni Applicazioni in ambito alberghiero, uffici, campeggi Leggero da trasportare Più informazioni",/images/prodotti_karcher/Aspirapolvere_leggero_e_compatto_Karcher_T_7_1_Classic_Professional.webp
Aspirapolvere aspiratore solidi-liquidi Karcher NT 48/1 Professional,KARCHER,"Ideato per le esigenze specifiche di imprese di pulizia , settore Automotive ed artigiani. Capacità serbatoio (l) 48 Potenza alla bocchetta, max . (W) Max. 1380 Più informazioni",/images/prodotti_karcher/Aspirapolvere_aspiratore_solidi-liquidi_Karcher_NT_48_1_Professional.webp
Aspiratore aspirapolvere per solidi e liquidi Karcher NT 27/1 Professional,KARCHER,"Aspiratore solidi-liquidi compatto facile da usare e manovrabile per tutte le applicazioni professionali, Potenza alla bocchetta, max. (W) Max. 1380 Più informazioni",/images/prodotti_karcher/Aspiratore_aspirapolvere_per_solidi_e_liquidi_Karcher_NT_27_1_Professional.webp
Tubo in acciaio prolunga per aspirapolvere serie NT Karcher 9.039-339.0,KARCHER,Ricambio originale per aspiratori NEW NT Più informazioni,/images/prodotti_karcher/Tubo_in_acciaio_prolunga_per_aspirapolvere_serie_NT_Karcher_9.039-339.0.webp
Detergente idropulitrici Karcher RM610 per auto e moto 1Lt,KARCHER,"Potente, perfetto per la pulizia a fondo della tua auto e moto , compatibile con le idropulitri serie K3 alla K7 Più informazioni",/images/prodotti_karcher/Detergente_idropulitrici_Karcher_RM610_per_auto_e_moto_1Lt.webp
Detergente idropulitrice per mattoni lt1 Karcher RM611,KARCHER,"Scioglie sporco attivo per una pulizia più veloce ed efficiente dovuta ad emissioni di smog, attacchi fungini, e muffe Più informazioni",/images/prodotti_karcher/Detergente_idropulitrice_per_mattoni_lt1_Karcher_RM611.webp
Detergente idropulitrice per materiali in plastica lt1 Karcher RM613,KARCHER,"Scioglie sporco attivo per una rapida pulizia contro emissioni di smog, grassi, sterco di uccelli Più informazioni",/images/prodotti_karcher/Detergente_idropulitrice_per_materiali_in_plastica_lt1_Karcher_RM613.webp
Detergente universale per idropulitrici 1lt Karcher RM626,KARCHER,"Potente, efficiente adatto come detergente per tutti gli usi , rimuove facilmente olio, grasso e terreni ricchi di mineral, pulizia rapida ed efficace Più informazioni",/images/prodotti_karcher/Detergente_universale_per_idropulitrici_1lt_Karcher_RM626.webp
Idropulitrice acqua calda biodiesel Karcher HDS 5/11 U,KARCHER,Pistola alta pressione EASY!Force e raccordi rapidi EASY!Lock Portata max (l/h) 450 Pressione di esercizio (bar/MPa) 110 / 11 Temperatura Max. (alimentazione 12°C) (°C) Max. 80 Più informazioni,/images/prodotti_karcher/Idropulitrice_acqua_calda_biodiesel_Karcher_HDS_5_11_U.webp
"Karcher T7 Plus lavasuperfici per idropulitrici serie K4, K5, K7",KARCHER,Efficace per la pulizia delle aree esterne senza schizzi. Braccio rotante a doppio getto per rimuove lo sporco da grandi superfici Più informazioni,"/images/prodotti_karcher/Karcher_T7_Plus_lavasuperfici_per_idropulitrici_serie_K4,_K5,_K7.webp"
