name,brand,descrizione,categoria,image_url
Pompa di superficie 18V per acqua,ryobi,"Pompa di superficie per acqua, ideale per differenti applicazioni Fino a 1.500 litri di acqua trasferiti in 1 ora Ottima prevalenza del rilascio dell'acqua aspirata, fino a 14 metri Intelligente sistema di auto-spegnimento per proteggerla dall'aspirazione a secco e dal sovraccarico",elettroutensili,/images/ryobi_prodotti/Pompadisuperficie18Vperacqua.webp
Levigatrice a Nastro 18V,ryobi,Potente e veloce levigatrice 76 x 457mm ideale per grandi aree Rimuove fino a 700g di materiale in un'ora Sacco di raccolta per tenere l'area di lavoro sempre pulita Impugnatura frontale a 3 posizioni,elettroutensili,/images/ryobi_prodotti/LevigatriceaNastro18V.webp
Pompa Telescopica 18V,ryobi,"Pompa telescopica di alta qualità adatta per drenaggio, trasferimento rapido dell'acqua e irrigazione Dotata di comodo gancio per fissare la pompa all'interno di un serbatoio o una cisterna. Quindi, riutilizza l'acqua piovana raccolta in giardino per innaffiare le piante",elettroutensili,/images/ryobi_prodotti/PompaTelescopica18V.webp
Groppinatrice 18G 18V,ryobi,"Tecnologia AirStrike™ per eccezionali prestazioni, eliminando la necessità di aria o costose cartucce di gas Calibro groppini 18GA (1.2 mm), per applicazioni di precisione, lunghezze 15-50 mm Precisa regolazione della profondità e della pressione",elettroutensili,/images/ryobi_prodotti/Groppinatrice18G18V.webp
Lima a Nastro 18V,ryobi,"Sottile lima a nastro, ideale per levigare o rifinire in spazi ristretti Velocità variabile fino a 630m/min per ogni tipo di applicazione Cambio nastro senza chiavi Regolazione allinamento nastro senza chiavi",elettroutensili,/images/ryobi_prodotti/LimaaNastro18V.webp
Sega circolare 150mm 18V ONE+,ryobi,"Ideale per tagliare pannelli di legno (piani di cucine), compensato e truciolare Impressionante capacità di taglio: 45mm a 90°, 32mm a 45° Profondità di taglio regolabile Bocca di aspirazione polveri orientabile e di facile collegamento ad un aspirapolveri",elettroutensili,/images/ryobi_prodotti/Segacircolare150mm18VONE.webp
Utensile Multifunzione 18V,ryobi,"Utensile versatile: leviga, livella e taglia differenti materiali Testa orientabile a 4 posizioni per ogni tipo di lavoro e applicazione Leva di sgancio rapido per il cambio degli accessori, attacco magnetico per semplificare l’operazione",elettroutensili,/images/ryobi_prodotti/UtensileMultifunzione18V.webp
Sega circolare multi-materiale 18V,ryobi,"Sega circolare multi-materiale 85 mm, utile per tagliare differenti materiali: legno, metallo, plastica, piastrelle, ... Innovativo meccanismo di taglio ad immersione su legno, per la massima precisione Fino a 4.250 g/min e massima capacità di taglio 26 mm su legno (2 mm su metallo e 9 mm su piastrelle)",elettroutensili,/images/ryobi_prodotti/Segacircolaremulti-materiale18V.webp
Levigatrice a nastro 800W 76mm,ryobi,Potente motore da 800W Sostituzione rapida del nastro abrasivo Azione ciclonica per la massima raccolta delle polveri Impugnatura regolabile in 4 posizioni,elettroutensili,/images/ryobi_prodotti/Levigatriceanastro800W76mm.webp
Smerigliatrice Angolare 18V,ryobi,Smerigliatrice a batteria 115mm ideale per tagliare diversi tipi di materiali e spianare saldature Carter di sicurezza orientabile senza l’ausilio di utensili Pulsante di blocco dell’albero per la sostituzione rapida della mola,elettroutensili,/images/ryobi_prodotti/SmerigliatriceAngolare18V.webp
Smerigliatrice angolare 2000W 230mm,ryobi,Ampio interruttore con rivestimento antiscivolo Impugnatura posteriore regolabile a 180° gradi Carter di sicurezza orientabile senza l'ausilio di attrezzi Impugnatura laterale regolabile in due posizioni con vano di trasporto della chiave di servizio,elettroutensili,/images/ryobi_prodotti/Smerigliatriceangolare2000W230mm.webp
Groppinatrice angolata 18V 15GA,ryobi,Tecnologia ad aria compressa AirStrike™ per il massimo della maneggevolezza Compatibile con groppini angolati 15GA da 24 a 64 mm Regolazione della profondità di uscita dei groppini Blocco in caso di mancanza dei groppini nel caricatore,elettroutensili,/images/ryobi_prodotti/Groppinatriceangolata18V15GA.webp
Utensile multifunzione 300W,ryobi,Potente motore 300W con oscillazioni a vuoto 10.000-22.000 osc/min Angolo di oscillazione di 3.2° Regolazione testa a 4 posizioni per una mo0lteplicità di applicazioni anche in punti difficili da raggiungere,elettroutensili,/images/ryobi_prodotti/Utensilemultifunzione300W.webp
