name,brand,description,image_url
SAITOR-F   3A,SAIT,"Ruota abrasiva lamellare con flangia.Corindone filled.Specifico per acciaio inox, ideale anche per acciai, acciai legati, metalli non ferrosi e loro leghe.",/images/sait_prodotti/SAITOR-F3A.webp
SAITAC-RL 4S,SAIT,"Carta con corindone e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Per lavorazioni manuali e con macchine orbitali a secco.
- Scarso effetto impanante.",/images/sait_prodotti/SAITAC-RL4S.webp
SAITLAM-PE   S,SAIT,"Disco abrasivo lamellare con supporto in polimero.Tela con abrasivo ceramico.
- Utilizzo professionale, lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-PES.webp
SAITAC-RL 6S,SAIT,"Carta con abrasivo ceramico e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Per lavorazioni manuali e con macchine orbitali a secco.
- Basso intasamento.",/images/sait_prodotti/SAITAC-RL6S.webp
SAITDIAM PAD,SAIT,N/A,/images/sait_prodotti/SAITDIAMPAD.webp
SE-FR FILO ONDULATO,SAIT,"Spazzola frontale (pennello) con filo ondulato, per utilizzo con trapano idonea per operazioni leggere di sbavatura, rimozione di scorie, ruggini in punti difficili da raggiungere.",/images/sait_prodotti/SE-FRFILOONDULATO.webp
SAITLAM-FK Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",/images/sait_prodotti/SAITLAM-FKZ.webp
PORTAROTOLI ROTOLISSIMO,SAIT,"Espositore portarotoli adatto a contenere n° 8 rotoli in grane differenti, nelle dimensioni in altezza 115/120 mm x lunghezza 50/25 m.Importante dispositivo di misurazione e strappo alla lunghezza desiderata.
Dimensioni H x L x P (cm): 174 x 40 x 45.",/images/sait_prodotti/PORTAROTOLIROTOLISSIMO.webp
SAITLAM-FU A,SAIT,Disco abrasivo lamellare con supporto in fibra di vetro.Tela con corindone.,/images/sait_prodotti/SAITLAM-FUA.webp
GHIERE MOLE,SAIT,Ghiere di fissaggio per mole.,/images/sait_prodotti/GHIEREMOLE.webp
SAITDIAM-CT CR CORONA CONTINUA,SAIT,"Disco professionale a corona continua di livello PREMIUM per il taglio estremamente preciso e privo di scheggiature di ceramiche smaltate, piastrelle e gres.",/images/sait_prodotti/SAITDIAM-CTCRCORONACONTINUA.webp
SAITLAM-FU Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",/images/sait_prodotti/SAITLAM-FUZ.webp
SAITVEL-TP Aeromax,SAIT,"L’Aeromax System Saitvel-TP è un utensile per carteggiare a mano superfici sagomate e piane con dischi Ø 150 mm. (qualsiasi foro).Molto curati la qualità, il design ma anche e soprattutto il sistema di aspirazione delle polveri.Tutti gli adattatori sono concepiti con una multi foratura per l’aspirazione delle polveri e provvisti di attacco autogrip.La sostituzione degli adattatori è veloce, intuibile, sicura e duratura.
È composto da:
- una calotta con impugnatura ergonomica.- un adattatore piano 150 x 75 F MICRO.- un adattatore convesso 150 x 75 F MICRO.- un adattatore concavo 150 x 75 F MICRO.- una valvola di regolazione aspirazione.",/images/sait_prodotti/SAITVEL-TPAeromax.webp
SAITDIAM-CT CS CORONA CONTINUA,SAIT,Disco professionale sottile a corona continua di livello PREMIUM per il taglio estremamente preciso e privo di scheggiature di ceramiche smaltate e delicate.,/images/sait_prodotti/SAITDIAM-CTCSCORONACONTINUA.webp
GIRAFFA GE 5 + SH Kit,SAIT,"Levigatrice Giraffa per pareti e soffitti
Tensione di rete: V/Hz 230/50Potenza assorbita: 500WPotenza erogata: 270WNr. di giri a vuoto: 1100-1650/minØ disco abrasivo: 225 mmAttacco utensile: a strappoAngolo d’inclinazione testa: 100°Lunghezza: 1520 mmLunghezza cavo: 5 mPeso: 3,9 KgIn dotazione:- Tubo di aspirazione antistatico Ø 32 mm x 4 m con attacco a scatto e manicotto, con regolazione dell’aria secondaria- 1 platorello autoaggrappante supersoft- 1 anello di serraggio rapido",/images/sait_prodotti/GIRAFFAGE5SHKit.webp
SAITAC-RL 4V,SAIT,"Carta con corindone e additivo anti-intasante, doppia resina, supporto C - al lattice - cosparsione aperta.Per lavorazioni manuali e con macchine orbitali a secco.
- Basso intasamento.- Finitura accurata.",/images/sait_prodotti/SAITAC-RL4V.webp
SAITLAM-PK Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-PKZ.webp
L8-11 125,SAIT,"Smerigliatrice angolare 800 watt - Ø mola/disco 115-125 mm
• Forma compatta, sottile ed ergonomica, leggera e maneggevole.• Ottima protezione antipolvere del motore e degli ingranaggi.• Motore ad alto rendimento per elevate prestazioni.• Blocco contro partenze dopo l’interruzione della corrente.• Interruttore scorrevole con arresto.• Cuffia di protezione regolabile senza chiavi.• Arresto dell’albero porta utensile.",/images/sait_prodotti/L8-11125.webp
PLANET-MARS   Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela in zirconio. Impiego universale.
Specifico per metalli ferrosi e non ferrosi.",/images/sait_prodotti/PLANET-MARSZ.webp
SAITDIAM-CT GR CORONA CONTINUA,SAIT,"Disco professionale a corona continua di livello TOP per il taglio senza scheggiature e veloce di ceramiche, gres porcellanato smaltato e klinker anche di alto spessore.
- Eccellenti prestazioni.- Lunga durata.",/images/sait_prodotti/SAITDIAM-CTGRCORONACONTINUA.webp
L 10-10 125,SAIT,"Smerigliatrice angolare 1010 watt - Ø mola/disco 115-125 mm
• Forma compatta, ergonomica, perfetta da impugnare.• Triplice protezione antipolvere degli avvolgimenti indotto. Riduce l'usura del motore ed aumenta la durata.• Blocco contro partenze dopo l'interruzione della corrente.• Griglia di protezione rinforzata sulla testa dell’avvolgimento.• Rivestimento dell’avvolgimento dello statore con polveri epossidiche.• Cuffia di protezione regolabile senza chiavi.• Arresto dell’albero porta utensile.",/images/sait_prodotti/L10-10125.webp
SAITLAM-DOUBLE   Z,SAIT,"Disco abrasivo lamellare a doppia lamella con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",/images/sait_prodotti/SAITLAM-DOUBLEZ.webp
ESPOSITORE GP,SAIT,"Espositore da parete completo di barre porta ganci, 1 ripiano in lamiera piegata e una struttura porta rotoli.Adatto a mole, dischi lamellari, dischi su fibra, dischi di carta/tela, nastri per macchine portatili, fogli, minirotoli ed accessori.L’insegna retroilluminata con illuminazione a led può essere fissata sopra il corpo dell’espositore all’altezza desiderata.
Dimensioni H x L x P (cm): 210÷223 x 93÷104 x 50.",/images/sait_prodotti/ESPOSITOREGP.webp
SAITDIAM-CT JV CORONA CONTINUA,SAIT,"Disco professionale a corona continua di livello TOP per il taglio estremamente veloce e senza scheggiature di gres, gres porcellanato e ceramiche.Corona con geometria e profilo innovativi per esaltare le performance.",/images/sait_prodotti/SAITDIAM-CTJVCORONACONTINUA.webp
SAITLAM-DOUBLE   Z,SAIT,"Disco abrasivo lamellare a doppia lamella con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.",/images/sait_prodotti/SAITLAM-DOUBLEZ.webp
SAITLAM-TE   S,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela “speciale” in polycotton con abrasivo ceramico.
- Utilizzo professionale, lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-TES.webp
SAITPAD-BZ,SAIT,"Platorello in polimero per dischi abrasivi su fibra.
SAITPAD-DH: flessibilità media, indicato per lavorazioni di superfici piane e arrotondate.SAITPAD-DHHARD: indicato per lavorazioni che richiedono rigidità e resistenza alla fatica per l’elevata pressione di lavoro, in particolare asportazione calamina.",/images/sait_prodotti/SAITPAD-BZ.webp
LE 14-7 125 INOX,SAIT,"Macchina INOXFLEX 1400 watt - Ø mola/disco 115-125 mm, Con regolazione della velocità
• Elettronica a microprocessore VR: preselezione del numero di giri, stabilizzazione del numero di giri tramite dinamo tachimetrica, avviamento progressivo, blocco contro partenze dopo l'interruzione della corrente, protezione contro il sovraccarico e controllo della temperatura.• Motore ad alto rendimento per elevate prestazioni.• Ingranaggio riduttore speciale: per una coppia elevata nelle velocità medio/basse. Evita la formazione di aloni bluastri e distorsioni causati dalla produzione di calore.• Impugnatura SoftVib con chiave brevettata.• Cuffia di protezione regolabile senza chiavi.• Arresto dell’albero porta utensile.",/images/sait_prodotti/LE14-7125INOX.webp
SAITLAM-UK Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-UKZ.webp
SAITDIAM D-VEL 100 D (DRY),SAIT,"Disco autoaggrappante, alto rendimento per la lavorazione di graniti, marmi, pietra. Utilizzo a secco.Nella lavorazione di marmo bianco e di materiali lapidei chiari, i dischi se usati a secco possono macchiare; si consiglia pertanto l’utilizzo ad umido.N° di giri consigliato 2.000-2.500 1/min.Velocità max 4.000 1/min.",/images/sait_prodotti/SAITDIAMD-VEL100DDRY.webp
SAITPAD-DH,SAIT,"Platorello componibile per dischi abrasivi su fibra.
Indicato per lavorazioni di cordoni di saldatura e spigoli.Il platorello è composto da più dischi sovrapposti; è possibile sostituire il solo disco esterno quando usurato.SAITPAD-DH: flessibilità media, formato da 3 dischi, per pressioni di lavoro medie.SAITPAD-DHHARD: formato da 4 dischi, per pressioni di lavoro elevate.
Idoneo per dischi piani e semi-bombati.",/images/sait_prodotti/SAITPAD-DH.webp
LG 1704 VR,SAIT,"Levigatrice a secco 1500 watt - Ø max dischi autoaggrappanti 180 mm, Con regolazione della velocità
Elettronica ad onda piena VR: con preselezione e stabilizzazione del numero di giri, avviamento progressivo, blocco contro partenze dopo l'interruzione della corrente e protezione contro il sovraccarico.• Motore ad alto rendimento per elevate prestazioni.• Arresto albero portamola: facile sostituzione degli accessori.• Particolarmente indicata per l’impiego di dischi velcrati.• La calotta posizionata esattamente sopra la testa di bocciardatura consente il controllo ottimale della macchina.",/images/sait_prodotti/LG1704VR.webp
PLANET-ONE   Z,SAIT,Disco abrasivo lamellare con supporto in polimero.Tela in zirconio. Impiego universale.Specifico per metalli ferrosi e non ferrosi.,/images/sait_prodotti/PLANET-ONEZ.webp
BSE 14-3 100,SAIT,"Macchina satinatrice 1400 watt - Ø max utensile 125 mm, Con regolazione di velocità
Elettronica a microprocessore: preselezione del numero di giri, stabilizzazione del numero di giri tramite dinamo tachimetrica, avviamento progressivo, arresto dell’avviamento, protezione contro il sovraccarico e controllo della temperatura.• Modulo elettronico completamente incapsulato per evitare i danni causati da polveri e detriti di lavorazione. La triplice protezione degli avvolgimenti riduce l’usura del motore assicurando una maggiore durata.• Cuffia di protezione regolabile: per prodotti fino a Ø 125 mm.• Interruttore unipolare.• Arresto dell’albero porta accessorio.",/images/sait_prodotti/BSE14-3100.webp
SAITDIAM D-VEL 100 W (WET),SAIT,"Disco autoaggrappante, alto rendimento per la lavorazione di graniti, marmi, pietra. Utilizzo ad umido.N° di giri consigliato 2.000-2.500 1/min.Velocità max 4.000 1/min.",/images/sait_prodotti/SAITDIAMD-VEL100WWET.webp
SAITPAD-DQ,SAIT,"Platorello in polimero per dischi abrasivi su fibra.
Flessibilità elevata, dotato di scanalature di raffreddamento.Indicato per lavorazioni di cordoni di saldatura e superfici piane.
Idoneo per dischi piani e semi-bombati.",/images/sait_prodotti/SAITPAD-DQ.webp
BSE 14-3 100,SAIT,"Macchina satinatrice 1400 watt - Ø max utensile 125 mm, Con regolazione di velocità
Elettronica a microprocessore: preselezione del numero di giri, stabilizzazione del numero di giri tramite dinamo tachimetrica, avviamento progressivo, arresto dell’avviamento, protezione contro il sovraccarico e controllo della temperatura.• Modulo elettronico completamente incapsulato per evitare i danni causati da polveri e detriti di lavorazione. La triplice protezione degli avvolgimenti riduce l’usura del motore assicurando una maggiore durata.• Cuffia di protezione regolabile: per prodotti fino a Ø 125 mm.• Interruttore unipolare.• Arresto dell’albero porta accessorio.",/images/sait_prodotti/BSE14-3100.webp
SAITLAM-UP Z,SAIT,"Disco abrasivo lamellare con supporto in fibra di vetro.Tela con zirconio.
- Lunga durata.
Consigliato utilizzo con elettroutensili ad elevata potenza.",/images/sait_prodotti/SAITLAM-UPZ.webp
SAITDIAM-EB ED,SAIT,Disco professionale elettro-depositato per il taglio a secco di marmi.,/images/sait_prodotti/SAITDIAM-EBED.webp
SAITPAD-DZ,SAIT,"Platorello in polimero per dischi abrasivi su fibra.
Dotato di scanalature radiali per migliorare il raffreddamento.SAITPAD-DZ: flessibilità media indicato per lavorazioni che richiedono maggiore flessibilità per adattarsi alle superfici.SAITPAD-DZ HARD: prodotto ad elevata rigidità per dischi ad alta capacità di asportazione.
Idoneo per dischi piani e semi-bombati.",/images/sait_prodotti/SAITPAD-DZ.webp
L 24-6-230,SAIT,"Smerigliatrice angolare 2400 watt - Ø mola/disco 180-230 mm
• Robusta carcassa del motore e dell’ingranaggio. Il robusto e durevole ingranaggio in acciaio ed il cuscinetto del mandrino protetto da un coperchio metallico aumentano l’affidabilità e la durata.• Carcassa del motore molto sottile e comoda da impugnare per controllo e maneggevolezza ottimali.• Impugnatura SoftVib per ridotte vibrazioni, inseribile in tre diverse posizioni.• Impugnatura posteriore con inserto antiscivolo per una presa piu` sicura.• Interruttore con pulsante di blocco.• Blocco contro partenze accidentali dopo l’interruzione della corrente.• Limitazione della corrente di spunto per un avviamento sicuro senza sovraccarico della rete elettrica.• Arresto dell’albero porta disco.",/images/sait_prodotti/L24-6-230.webp
