marca,name,descrizione,image_url
spit,BATTERY X5/6 SPIT - Batteria per gli avvitatori normali e ad impulsi delle serie Spit 5 e 6,"Lunga durata e affidabilità
Caratteristiche e vantaggi:
La tecnologia al litio permette
Affidabile e duratura
Prestazioni, senza calo di potenza o autoscarica, in
una batteria ancora più leggera",/images/spit_prodotti/BATTERYX56SPIT-BatteriapergliavvitatorinormalieadimpulsidelleserieSpit5e6.webp
spit,KIT MANDRINO + PORTA MANDRINO SDS+,mandrino portapunte dsd,/images/spit_prodotti/KITMANDRINOPORTAMANDRINOSDS.webp
spit,DOSATORE GRASSO PUNTE 30 GR.,grasso per punte ,/images/spit_prodotti/DOSATOREGRASSOPUNTE30GR.webp
spit,TUBO ASPIRAZIONE 5 MT AC (RICAMBIO),Tubo di ricambio per aspiratore / aspiraliquidi Spit AC 1625 o AC 1630P.,/images/spit_prodotti/TUBOASPIRAZIONE5MTACRICAMBIO.webp
spit,W18 - Avvitatore a batteria ad impulsi 18V con doppio porta-utensile,"Avvitatore ad impulsi compatto ad elevate prestazioni, piattaforma Cordless Essentials 18V
Caratteristiche e vantaggi:
Elevata coppia di serraggio: 210 Nm
Motore Brushless
Gestione elettronica delle funzioni
Meccanica avanzata
Doppio mandrino: 1/4"" e 1/2""
Compatibile con batteria 18V 5Ah",/images/spit_prodotti/W18-Avvitatoreabatteriaadimpulsi18Vcondoppioporta-utensile.webp
spit,KIT ACCESSORI DI PULIZIA AC 1625/1630P/1600,"1 manico curvo

2 tubi di prolunga

1 adattatore per aspirazione di acqua e polvere

1 spazzola per la polvere

1 raschietto/lavapavimenti per acqua",/images/spit_prodotti/KITACCESSORIDIPULIZIAAC16251630P1600.webp
spit,SACCHETTI PLASTICA M - Sacchetti di plastica per AC 1630PM,Disponibili in confezioni da 5 pezzi (formato “5U”) compatibili specificamente con il modello AC 1630PM.,/images/spit_prodotti/SACCHETTIPLASTICAM-SacchettidiplasticaperAC1630PM.webp
spit,KIT 2 FILTRI POLIESTERE AC 1625/1630P/1600,"filtro a cassette pieghettate realizzato in poliestere, talvolta con nanostrato o materiale nanobeschichtet, completo di guarnizione in gomma",/images/spit_prodotti/KIT2FILTRIPOLIESTEREAC16251630P1600.webp
spit,BATTERIA 18V 2Ah - Batteria 2Ah per gamma Spit Cordless Essentials 18V,"Batteria compatta
Caratteristiche e vantaggi:
Leggera e di lunga durata
Compatibile con gamma 18V: L18, S18, P18",/images/spit_prodotti/BATTERIA18V2Ah-Batteria2AhpergammaSpitCordlessEssentials18V.webp
spit,BATTERIA 18V 5Ah - Batteria 5Ah per gamma Spit Cordless Essentials 18V,"Batteria ad elevata autonomia
Caratteristiche e vantaggi:
Carica rapida
Idonea per impieghi intensivi
Compatibile con la gamma 18V: AG18, D18, W18, S18; P18",/images/spit_prodotti/BATTERIA18V5Ah-Batteria5AhpergammaSpitCordlessEssentials18V.webp
spit,P18+ - Avvitatore per cartongesso 18V,"Avvitatore leggero, estremamente autonomo e con prestazioni paragonabili ad avvitatore a filo. Piattaforma Cordless Essentials 18V
Caratteristiche e vantaggi:
Prestazioni equivalenti ad un avvitatore a filo;
Ottimo bilanciamento;
Millimetrica regolazione della profondità di foratura;
Caricatore per viti in banda per ottimizzare i tempi;
Compatibile con batterie 18V - 2 Ah e 5 Ah;",/images/spit_prodotti/P18-Avvitatorepercartongesso18V.webp
spit,Caricabatterie rapido per gamma 18V,"Caratteristiche e vantaggi:
Carica rapida
Compatibile con le batterie 18V 2Ah e 5Ah",/images/spit_prodotti/Caricabatterierapidopergamma18V.webp
spit,ENERGY PACK 18V 2Ah - Energy Pack 2Ah per gamma Spit Cordless Essentials 18V,"Pack batterie (2) e caricabatterie compact per gamma 18V
Caratteristiche e vantaggi:
2 batterie 18V - 2Ah
1 caricatore compact
Compatibile con: L18, S18, P18",/images/spit_prodotti/ENERGYPACK18V2Ah-EnergyPack2AhpergammaSpitCordlessEssentials18V.webp
spit,ENERGY PACK 18V 5Ah - Energy Pack 5Ah per gamma Spit Cordless Essentials 18V,"Kit batterie e caricatore rapido per piattaforma 18V
Caratteristiche e vantaggi:
2 batterie 18V -  5 Ah
1 caricatore rapido
Compatibile con: AG18, D18, W18, S18",/images/spit_prodotti/ENERGYPACK18V5Ah-EnergyPack5AhpergammaSpitCordlessEssentials18V.webp
spit,"SPEED 55 EASYCLICK - Sistema ad aggancio/sgancio rapido ""Easyclick""","Rende l'avvitamento delle lastre più semplice e veloce
Caratteristiche e vantaggi:
Sistema di aggancio e sgancio rapido, in un click, senza bisogno di chiavi
Design compatto, leggero e affidabile
Eccellente resistenza alla polvere per la massima durata di funzionamento",/images/spit_prodotti/SPEED55EASYCLICK-SistemaadagganciosganciorapidoEasyclick.webp
spit,BATTERIA 18V 8Ah - Batteria 8Ah per gamma Spit Cordless Essentials 18V,"Lunga durata della batteria per applicazioni pesanti.
Caratteristiche e vantaggi:
Autonomia 8Ah;
Funziona con gli utensili S18+, P18+, D18+, D18, CS18, AG18+, AG18+, S18 e W18.",/images/spit_prodotti/BATTERIA18V8Ah-Batteria8AhpergammaSpitCordlessEssentials18V.webp
spit,S18+ - Avvitatore a percussione a batteria 18V,"Avvitatore maneggevole e robusto, piattaforma Cordless Essentials 18V
Caratteristiche e vantaggi:
Avvitatore a percussione robusto grazie al motore brushless;
14+1 livelli di coppia e cambio a 2 velocità;
Mandrino in metallo da 13 mm con regolazione rapida senza chiave;
Luce a led;
Manico morbido e antiscivolo;
Maniglia laterale antivibrante per applicazioni con coppia elevata;",/images/spit_prodotti/S18-Avvitatoreapercussioneabatteria18V.webp
spit,330 SDS+ - Martello elettropneumatico combinato SDS+ 850 W,"Massimo comfort e la maggior energia, il vero martello combinato ""tutto-in-uno""
Caratteristiche e vantaggi:
Attrezzo a 3 funzioni: sola rotazione/roto-percussione/scalpellatura
Interruttore elettronico con regolatore di velocità
Inversore di rotazione e pulsante di blocco per usi intensivi
Portautensile intercambiabile con mandrino autoserrante (opzionale) per utilizzo punte cilindriche
Attacco snodato del cavo, prevenzione rotture in fase d'impiego
Impugnatura Soft Grip, per una presa salda e confortevole",/images/spit_prodotti/330SDS-MartelloelettropneumaticocombinatoSDS850W.webp
spit,332 SDS+ - Martello Elettropneumatico combinato SDS+ 800 W,"Massima potenza e comfort con basso livello di vibrazioni
Caratteristiche e vantaggi:
Attrezzo ergonomico e ben bilanciato
Interruttore elettronico con regolatore di velocità
Pulsante di blocco per usi intensivi
Inversore di rotazione per favorire sblocco delle punte
Portautensile interscambiabile con mandrino autoserrante (opzionale) per punte cilindriche
Sistema antivibrazione per un maggior comfort
Attacco snodato del cavo, prevenzione rotture in fase d'impiego",/images/spit_prodotti/332SDS-MartelloElettropneumaticocombinatoSDS800W.webp
spit,343 SVC SDS+ - Martello elettropneumatico combinato SDS+ 900W,"Massima potenza e comfort con il controllo delle vibrazioni (SVC)
Caratteristiche e vantaggi:
Attrezzo compatto e confortevole
Interruttore elettronico con regolatore di velocità
Inversore di rotazione per favorire sblocco delle punte
Portautensile intercambiabile con mandrino autoserrante (opzionale) per punte cilindriche
Innovativo sistema antivibrazione (SVC) per impieghi prolungati in grande comfort
Attacco snodato del cavo, prevenzione rotture in fase d'impiego",/images/spit_prodotti/343SVCSDS-MartelloelettropneumaticocombinatoSDS900W.webp
spit,493 SVC SDS MAX - Martello demolitore SDS MAX 1700W,"Martello demolitore di massima qualità con alto rapporto peso/potenza e basso livello di vibrazioni
Caratteristiche e vantaggi:
L'elevata potenza ed energia di battuta fanno di questo demolitore uno dei più prestazionali della categoria
Progettato SVC (basso valore di vibrazioni)",/images/spit_prodotti/493SVCSDSMAX-MartellodemolitoreSDSMAX1700W.webp
spit,D18 - Martello combinato a batteria D18 SDS+ 18V,"Martello combinato 18V leggero e versatile, piattaforma Cordless Essentials 18V
Caratteristiche e vantaggi:
3 funzioni: foratura, percussione e scalpellatura
Regolazione dell'orientamento dello scalpello
Mandrino SDS + una mano per cambiare facilmente punte e scalpelli
Motore brushless
Compatibile con batteria da 18 V - 5 Ah",/images/spit_prodotti/D18-MartellocombinatoabatteriaD18SDS18V.webp
spit,D18+ - Martello combinato SDS+ a batteria 18V,"Martello combinato lungo con motore brushless, piattaforma Cordless Essentials 18V
Caratteristiche e vantaggi:
Martello combinato versatile grazie alle funzioni di rotazione, roto-percussione e scalpellatura;
Design compatto senza compromettere le prestazioni;
Elevati diametri di foratura e velocità costante grazie al motore brushless.",/images/spit_prodotti/D18-MartellocombinatoSDSabatteria18V.webp
