name,description,url,image_url
Ancoraggio invisibile per tra…,"Ancoraggio invisibile per travi tipo pesante - in acciaio zincato a fuoco certificato ETA-09/0301
idonea per fissaggi a scomparsa in ambienti esterni ed interni classe di servizio 2
il fissaggio dei due componenti metallici agli elementi in legno avviene per mezzo di viti a tutto filetto, si consigliano le nostre viti VG 5x80 (cod.art.0685 109 480)",https://www.unishop.it/150/0685-109-412-01,/images/unishop_products_carpe/Ancoraggioinvisibilepertra.webp
Dima per ancoraggi invisibili,Dima per ancoraggi invisibili - in materiale plastico,https://www.unishop.it/0685-109-415-01,/images/unishop_products_carpe/Dimaperancoraggiinvisibili.webp
Supporto a T da avvitare con…,"Supporto a T da avvitare con anima piena - in acciaio zincato a fuoco idoneo per il fissaggio a scomparsa di montanti e travi in legno su calcestruzzo.
Fissaggio del trave mediante viti autoforanti SAF e relativi tappi in legno.",https://www.unishop.it/90x110/0685-050-002-01,/images/unishop_products_carpe/SupportoaTdaavvitarecon.webp
Supporto a T da avvitare con…,"Supporto a T da avvitare con anima forata - in acciaio zincato a fuoco idoneo per il fissaggio a scomparsa di montanti e travi in legno su calcestruzzo.
Fissaggio del trave mediante viti zincate a caldo come da DIN 601.
Foro ovale 20 x 70.",https://www.unishop.it/90x110/0685-109-302-01,/images/unishop_products_carpe/SupportoaTdaavvitarecon.webp
Supporto da avvitare con perno,"Supporto da avvitare con perno - in acciaio zincato a fuoco idoneo per il fissaggio a scomparsa di montanti e travi in legno su calcestruzzo.
Fissaggio del trave mediante ancorante chimico o Edilfix.",https://www.unishop.it/90x90/0685-109-301-01,/images/unishop_products_carpe/Supportodaavvitareconperno.webp
Giunzione invisibile Alufix c…,"Giunzione invisibile Alufix con anima piena - in alluminio, anima a spada idonea per fissaggi invisibili in ambienti esterni ed interni classe di servizio 2.
Possibilità di impiego per il fissaggio di travi in parallelo.
 certificata ETA-13/0757in alluminio estruso, lega EN AW 6005 A. Soddisfa i requisiti di resistenza al fuoco.spalla preforata fissabile su legno con chiodi o viti da carpenteria, o fissabile su calcestruzzo mediante ancoranti pesanti metallici, viti multi-monti, barre filettate e resina chimica.montaggio sull’anima mediante viti autoforanti SAF",https://www.unishop.it/120/0685-000-120-01,/images/unishop_products_carpe/GiunzioneinvisibileAlufixc.webp
Giunzione invisibile Alufix c…,"Giunzione invisibile Alufix con anima preforata - in alluminio, anima a spada idonea per fissaggi invisibili in ambienti esterni ed interni classe di servizio 2.
Possibilità di impiego per il fissaggio di travi in parallelo.
 certificata ETA-13/0757in alluminio estruso, lega EN AW 6005 A. Soddisfa i requisiti di resistenza al fuoco.spalla preforata fissabile su legno con chiodi o viti da carpenteria, o fissabile su calcestruzzo mediante ancoranti pesanti metallici, viti multi-monti, barre filettate e resina chimica.montaggio sull’anima mediante spinotti lisci diam. 12mm secondo EN14592:2008+A1:2012",https://www.unishop.it/160/0685-005-160-01,/images/unishop_products_carpe/GiunzioneinvisibileAlufixc.webp
Spinotti lisci in acciaio,"Spinotti lisci in acciaio - in acciaio zincato, calibrati e rettificati certificato EN14592:2008+A1
idoneo per fissaggio con giunzioni invisibili ALUFIX con anima preforata.
Estremità smussata per rendere più agevole l’inserimento nel legno",https://www.unishop.it/12x100/0685-012-100-01,/images/unishop_products_carpe/Spinottilisciinacciaio.webp
Supporto a bicchiere per pali…,"Supporto a bicchiere per pali quadri - in acciaio zincato a fuoco certificato ETA-13/0026
idoneo per il fissaggio travi verticali su calcestruzzo.
Fissaggio del trave mediante viti Ruspert®Silver (art 0196 8..)",https://www.unishop.it/161x161/0685-109-107-01,/images/unishop_products_carpe/Supportoabicchiereperpali.webp
Supporto a bicchiere per pali…,"Supporto a bicchiere per pali tondi - in acciaio zincato a fuoco certificato ETA-13/0026
idoneo per il fissaggio travi verticali su calcestruzzo.
Fissaggio del trave mediante viti Ruspert®Silver (art 0196 8..)",https://www.unishop.it/oe80/0685-109-110-01,/images/unishop_products_carpe/Supportoabicchiereperpali.webp
