name,brand,description,price,image_url
Weber ip610 extra kg.25 into premisc. bcl.64,Weber,Intonaco premiscelato di sottofondo a base di calce-cemento ad applicazione manuale o meccanizzata per superfici tradizionali in interno e esterno.,N/A,/images/weber_prodotti/Weberip610extrakg25intopremiscbcl64.webp
Webercote flexcover 14kg bianco rivestimento flessibile,Weber,"Rivestimento flessibile bianco per proteggere e decorare superfici esterne, resistente alle intemperie e alle muffe.",N/A,/images/weber_prodotti/Webercoteflexcover14kgbiancorivestimentoflessibile.webp
Schiuma poliuretanica manuale ml.750 universale monocomponente,Weber,"Pu foam universal è una schiuma riempitiva universale, poliuretanica monocomponente, autoespandente, da poter utilizzare sia manuale che con pistola erogatrice.",N/A,/images/weber_prodotti/Schiumapoliuretanicamanualeml750universalemonocomponente.webp
Pulitore per schiuma pu ml.500,Weber,Detergente spray per schiuma poliuretanica non indurita. ideale anche per la pulizia di pistole per schiuma o residui di schiuma non indurita.,N/A,/images/weber_prodotti/Pulitoreperschiumapuml500.webp
One bond adhesive gun 750ml schiuma adesiva pistola,Weber,"Adesivo poliuretanico in schiuma per incollaggio di pannelli isolanti, mattoni ed elementi decorativi, per pistola.",N/A,/images/weber_prodotti/Onebondadhesivegun750mlschiumaadesivapistola.webp
Weber ancorante ep c2 ml.470,Weber,"ancorante chimico epossidico bi-componente con prestazione sismica di classe c2. supporti : laterizio, mattoni, pietra mista, termolaterizio, tufo / arenaria",N/A,/images/weber_prodotti/Weberancoranteepc2ml470.webp
Webertec ep300 (a+b) kg. 5,Weber,"webertec ep300 è una resina epossidica bicomponente, tixotropica addensata da usare su superfici in cls come livellamento, recupero asperità superficiali, stuccatura.",N/A,/images/weber_prodotti/Webertecep300abkg5.webp
Lastra webertherm rp20/60 60x100 sp. 6 cm. pacco mq. 3,Weber,"isolante, fonoassorbente, per sistemi a capotto termico in lana di roccia, ad elevata traspirabilità, ignifugo resistente al fuoco, idonei ai criteri minimi ambientali ( decr. cam)",N/A,/images/weber_prodotti/Lastraweberthermrp206060x100sp6cmpaccomq3.webp
Weber color premium stucco col. cement 612 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolcement612dakg5.webp
Weber color premium stucco col. avorio 100 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolavorio100dakg5.webp
Weber color premium stucco col. ginger 101  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolginger101kg5.webp
Weber color premium stucco col. sabbia lavica  208 kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolsabbialavica208kg5.webp
Weber color premium stucco col. tabacco 203  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocoltabacco203kg5.webp
Weber color premium stucco col. terracotta 301  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolterracotta301kg5.webp
Weber color premium stucco col. perla 600 kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolperla600kg5.webp
Weber color premium stucco col. basalto 607 kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolbasalto607kg5.webp
Weber color premium stucco col. antracite 614 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolantracite614dakg5.webp
Weber color premium stucco col. ferro 601  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolferro601kg5.webp
Weber color premium stucco col. fumo di londra 603  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolfumodilondra603kg5.webp
Weber color premium stucco col. bianco 001  kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolbianco001kg5.webp
Weber color premium stucco col. antracite 614 da kg.5,Weber,"Stucco decorativo cementizio colorato per fughe fino a 15 mm, ad alte prestazioni, idrorepellente, anti-macchia, resistente a batteri, muffe e funghi",N/A,/images/weber_prodotti/Webercolorpremiumstuccocolantracite614dakg5.webp
Webertec flangia per il fissaggio di reti strutturali,Weber,Accessorio per il fissaggio della rete per il sistema di anti sfondellamento webertec,N/A,/images/weber_prodotti/Webertecflangiaperilfissaggiodiretistrutturali.webp
